OSHP	12,16	bn:03771785n	http://babelnet.org/rdf/s03771785n	http://dbpedia.org/resource/Ohio_State_Highway_Patrol
trooper	17,24	bn:00016876n	http://babelnet.org/rdf/s00016876n	null
injured	25,32	bn:00089751v	http://babelnet.org/rdf/s00089751v	null
accidental	36,46	bn:00096263a	http://babelnet.org/rdf/s00096263a	null
shooting	47,55	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
HEATH , OH	58,68	bn:00483838n	http://babelnet.org/rdf/s00483838n	http://dbpedia.org/resource/Heath,_Ohio
WCMH	71,75	bn:03462323n	http://babelnet.org/rdf/s03462323n	http://dbpedia.org/resource/WCMH-TV
Ohio State Highway Patrol	83,108	bn:03771785n	http://babelnet.org/rdf/s03771785n	http://dbpedia.org/resource/Ohio_State_Highway_Patrol
trooper	109,116	bn:00016876n	http://babelnet.org/rdf/s00016876n	null
shot	117,121	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
leg	137,140	bn:00050541n	http://babelnet.org/rdf/s00050541n	http://dbpedia.org/resource/Leg
Wednesday	141,150	bn:00054897n	http://babelnet.org/rdf/s00054897n	http://dbpedia.org/resource/Wednesday
Heath	164,169	bn:00483838n	http://babelnet.org/rdf/s00483838n	http://dbpedia.org/resource/Heath,_Ohio
Police department	170,187	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
according	190,199	bn:00082227v	http://babelnet.org/rdf/s00082227v	null
Highway Patrol	207,221	bn:02542900n	http://babelnet.org/rdf/s02542900n	http://dbpedia.org/resource/Highway_patrol
shooting	229,237	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
happened	238,246	bn:00085337v	http://babelnet.org/rdf/s00085337v	null
pm	258,260	bn:00007393n	http://babelnet.org/rdf/s00007393n	http://dbpedia.org/resource/Autopsy
Wednesday	261,270	bn:00054897n	http://babelnet.org/rdf/s00054897n	http://dbpedia.org/resource/Wednesday
Heath	278,283	bn:00043447n	http://babelnet.org/rdf/s00043447n	null
Police Department	284,301	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
Road	317,321	bn:00067975n	http://babelnet.org/rdf/s00067975n	http://dbpedia.org/resource/Road
According	325,334	bn:00082227v	http://babelnet.org/rdf/s00082227v	null
patrol	340,346	bn:00061041n	http://babelnet.org/rdf/s00061041n	http://dbpedia.org/resource/Patrol
spokesperson	347,359	bn:00047203n	http://babelnet.org/rdf/s00047203n	http://dbpedia.org/resource/Spokesperson
shooting	366,374	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
happened	375,383	bn:00085337v	http://babelnet.org/rdf/s00085337v	null
trooper	392,399	bn:00016876n	http://babelnet.org/rdf/s00016876n	null
attempting	404,414	bn:00082906v	http://babelnet.org/rdf/s00082906v	null
holster	418,425	bn:13695955v	http://babelnet.org/rdf/s13695955v	null
service weapon	430,444	bn:02629438n	http://babelnet.org/rdf/s02629438n	http://dbpedia.org/resource/Service_rifle
Trooper	452,459	bn:00016876n	http://babelnet.org/rdf/s00016876n	null
area	484,488	bn:00005513n	http://babelnet.org/rdf/s00005513n	http://dbpedia.org/resource/Area
hospital	489,497	bn:00044896n	http://babelnet.org/rdf/s00044896n	http://dbpedia.org/resource/Hospital
medical helicopter	501,519	bn:02655880n	http://babelnet.org/rdf/s02655880n	http://dbpedia.org/resource/Air_medical_services
injuries	526,534	bn:00043011n	http://babelnet.org/rdf/s00043011n	http://dbpedia.org/resource/Harm
described	540,549	bn:00082233v	http://babelnet.org/rdf/s00082233v	null
life	559,563	bn:00051045n	http://babelnet.org/rdf/s00051045n	null
threatening	566,577	bn:00094927v	http://babelnet.org/rdf/s00094927v	null
Keep	581,585	bn:00012877n	http://babelnet.org/rdf/s00012877n	http://dbpedia.org/resource/Sky_Living
checking	586,594	bn:00084848v	http://babelnet.org/rdf/s00084848v	null
real	609,613	bn:00102543a	http://babelnet.org/rdf/s00102543a	null
time	616,620	bn:00019848n	http://babelnet.org/rdf/s00019848n	null
updates	621,628	bn:00079238n	http://babelnet.org/rdf/s00079238n	null
story	637,642	bn:00056857n	http://babelnet.org/rdf/s00056857n	http://dbpedia.org/resource/Narration
alerts	652,658	bn:00082507v	http://babelnet.org/rdf/s00082507v	null
breaking news	663,676	bn:00035056n	http://babelnet.org/rdf/s00035056n	http://dbpedia.org/resource/Breaking_news
grab	679,683	bn:00084654v	http://babelnet.org/rdf/s00084654v	null
free	688,692	bn:00103302a	http://babelnet.org/rdf/s00103302a	null
News	698,702	bn:00057546n	http://babelnet.org/rdf/s00057546n	http://dbpedia.org/resource/News
App	703,706	bn:00005095n	http://babelnet.org/rdf/s00005095n	http://dbpedia.org/resource/Application_software
Android	721,728	bn:00430004n	http://babelnet.org/rdf/s00430004n	http://dbpedia.org/resource/Android_(operating_system)
sign up	744,751	bn:00085726v	http://babelnet.org/rdf/s00085726v	null
email	756,761	bn:00029345n	http://babelnet.org/rdf/s00029345n	http://dbpedia.org/resource/Email
alerts	762,768	bn:00082507v	http://babelnet.org/rdf/s00082507v	null
