dead	16,20	bn:00100948a	http://babelnet.org/rdf/s00100948a	null
weekend	27,34	bn:00080816n	http://babelnet.org/rdf/s00080816n	http://dbpedia.org/resource/Workweek_and_weekend
shooting	35,43	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
Bowling	46,53	bn:00083845v	http://babelnet.org/rdf/s00083845v	null
Green man	54,63	bn:00074441n	http://babelnet.org/rdf/s00074441n	http://dbpedia.org/resource/Traffic_light
arrested	64,72	bn:00082728v	http://babelnet.org/rdf/s00082728v	null
man	77,80	bn:00044576n	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
arrested	85,93	bn:00082728v	http://babelnet.org/rdf/s00082728v	null
Sunday	94,100	bn:00028190n	http://babelnet.org/rdf/s00028190n	http://dbpedia.org/resource/Lord's_Day
shooting	109,117	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
restaurant	123,133	bn:00029545n	http://babelnet.org/rdf/s00029545n	http://dbpedia.org/resource/Restaurant
parking lot	137,148	bn:00015795n	http://babelnet.org/rdf/s00015795n	http://dbpedia.org/resource/Parking_lot
Bowling	156,163	bn:00083845v	http://babelnet.org/rdf/s00083845v	null
Green Police	164,176	bn:00127471n	http://babelnet.org/rdf/s00127471n	http://dbpedia.org/resource/Environmental_law
Police Department	170,187	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
called	192,198	bn:00084385v	http://babelnet.org/rdf/s00084385v	null
Greenview	202,211	bn:00260972n	http://babelnet.org/rdf/s00260972n	http://dbpedia.org/resource/Greenview,_Edmonton
Hospital	212,220	bn:00044896n	http://babelnet.org/rdf/s00044896n	http://dbpedia.org/resource/Hospital
pm	229,231	bn:00007393n	http://babelnet.org/rdf/s00007393n	http://dbpedia.org/resource/Autopsy
old	250,253	bn:00107786a	http://babelnet.org/rdf/s00107786a	null
Victor	254,260	bn:00053713n	http://babelnet.org/rdf/s00053713n	null
died	275,279	bn:00084343v	http://babelnet.org/rdf/s00084343v	null
gunshot wound	287,300	bn:00191195n	http://babelnet.org/rdf/s00191195n	http://dbpedia.org/resource/Ballistic_trauma
torso	308,313	bn:00011748n	http://babelnet.org/rdf/s00011748n	http://dbpedia.org/resource/Trunk_(anatomy)
Witnesses	317,326	bn:00081454n	http://babelnet.org/rdf/s00081454n	http://dbpedia.org/resource/Witness
said	327,331	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
shooting	336,344	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
took place	345,355	bn:00085337v	http://babelnet.org/rdf/s00085337v	null
parking lot	363,374	bn:00015795n	http://babelnet.org/rdf/s00015795n	http://dbpedia.org/resource/Parking_lot
Scottsville	401,412	bn:00729658n	http://babelnet.org/rdf/s00729658n	http://dbpedia.org/resource/Scottsville,_Virginia
Road	413,417	bn:00067975n	http://babelnet.org/rdf/s00067975n	http://dbpedia.org/resource/Road
told	441,445	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
police	446,452	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
unknown	456,463	bn:00112923a	http://babelnet.org/rdf/s00112923a	null
person	464,470	bn:00046516n	http://babelnet.org/rdf/s00046516n	http://dbpedia.org/resource/Individual
shot	475,479	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
friend	484,490	bn:00036538n	http://babelnet.org/rdf/s00036538n	null
later	497,502	bn:00114165r	http://babelnet.org/rdf/s00114165r	null
changed	503,510	bn:00082553v	http://babelnet.org/rdf/s00082553v	null
story	515,520	bn:00056857n	http://babelnet.org/rdf/s00056857n	http://dbpedia.org/resource/Narration
admitted	525,533	bn:00082267v	http://babelnet.org/rdf/s00082267v	null
sitting in	541,551	bn:00093784v	http://babelnet.org/rdf/s00093784v	null
vehicle	554,561	bn:00079675n	http://babelnet.org/rdf/s00079675n	http://dbpedia.org/resource/Vehicle
looking	576,583	bn:00090448v	http://babelnet.org/rdf/s00090448v	null
handgun	589,596	bn:00042808n	http://babelnet.org/rdf/s00042808n	http://dbpedia.org/resource/Handgun
trying	604,610	bn:00082844v	http://babelnet.org/rdf/s00082844v	null
buy	614,617	bn:00084331v	http://babelnet.org/rdf/s00084331v	null
believed	637,645	bn:00083369v	http://babelnet.org/rdf/s00083369v	null
gun	650,653	bn:00042221n	http://babelnet.org/rdf/s00042221n	http://dbpedia.org/resource/Gun
empty	658,663	bn:00102176a	http://babelnet.org/rdf/s00102176a	null
pulled	668,674	bn:00087234v	http://babelnet.org/rdf/s00087234v	null
trigger	679,686	bn:00042238n	http://babelnet.org/rdf/s00042238n	http://dbpedia.org/resource/Trigger_(firearms)
