Police	12,18	bn:00022026n	Concept	[wn:08209687n]	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
investigate	19,30	bn:00089885v	Concept	[wn:00789138v]	http://babelnet.org/rdf/s00089885v	null
deadly	31,37	bn:00100969a	Concept	[wn:00993667a]	http://babelnet.org/rdf/s00100969a	null
shooting	38,46	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
Mount Holly	50,61	bn:14621715n	Named Entity	[]	http://babelnet.org/rdf/s14621715n	http://dbpedia.org/resource/Mount_Holly,_New_Jersey
park	62,66	bn:00060690n	Concept	[wn:08615149n]	http://babelnet.org/rdf/s00060690n	http://dbpedia.org/resource/Park
Sign in	69,76	bn:03885719n	Concept	[]	http://babelnet.org/rdf/s03885719n	http://dbpedia.org/resource/Login
account	87,94	bn:00082231v	Concept	[wn:02607432v]	http://babelnet.org/rdf/s00082231v	null
Sign in	123,130	bn:03885719n	Concept	[]	http://babelnet.org/rdf/s03885719n	http://dbpedia.org/resource/Login
profile	147,154	bn:00064627n	Concept	[wn:07002599n]	http://babelnet.org/rdf/s00064627n	null
Welcome	156,163	bn:00080852n	Concept	[wn:06631322n]	http://babelnet.org/rdf/s00080852n	null
sign in	178,185	bn:00084868v	Concept	[wn:00966152v]	http://babelnet.org/rdf/s00084868v	null
asking	198,204	bn:00082817v	Concept	[wn:00784342v]	http://babelnet.org/rdf/s00082817v	null
submitting	216,226	bn:00094523v	Concept	[wn:00878636v]	http://babelnet.org/rdf/s00094523v	null
registration	232,244	bn:00030959n	Concept	[wn:00050037n]	http://babelnet.org/rdf/s00030959n	null
information	245,256	bn:00046698n	Concept	[wn:06634376n]	http://babelnet.org/rdf/s00046698n	null
agree to	263,271	bn:00082227v	Concept	[wn:02700104v]	http://babelnet.org/rdf/s00082227v	null
Terms of Service	276,292	bn:03801411n	Concept	[]	http://babelnet.org/rdf/s03801411n	http://dbpedia.org/resource/Terms_of_service
Privacy Policy	297,311	bn:00536841n	Concept	[]	http://babelnet.org/rdf/s00536841n	http://dbpedia.org/resource/Privacy_policy
account	331,338	bn:00000738n	Concept	[wn:06514093n]	http://babelnet.org/rdf/s00000738n	http://dbpedia.org/resource/Histories_(Herodotus)
sent	350,354	bn:00086868v	Concept	[wn:01951480v]	http://babelnet.org/rdf/s00086868v	null
confirmation	357,369	bn:00017984n	Concept	[wn:05825245n]	http://babelnet.org/rdf/s00017984n	null
email	370,375	bn:00029345n	Concept	[wn:06279326n]	http://babelnet.org/rdf/s00029345n	http://dbpedia.org/resource/Email
check	413,418	bn:00084848v	Concept	[wn:00661824v]	http://babelnet.org/rdf/s00084848v	null
email	424,429	bn:00029345n	Concept	[wn:06279326n]	http://babelnet.org/rdf/s00029345n	http://dbpedia.org/resource/Email
click	434,439	bn:00085112v	Concept	[wn:01893771v]	http://babelnet.org/rdf/s00085112v	null
link	447,451	bn:00051400n	Concept	[wn:13792692n]	http://babelnet.org/rdf/s00051400n	null
activate	455,463	bn:00082306v	Concept	[wn:01643657v]	http://babelnet.org/rdf/s00082306v	null
account	469,476	bn:00000738n	Concept	[wn:06514093n]	http://babelnet.org/rdf/s00000738n	http://dbpedia.org/resource/Histories_(Herodotus)
Thank you	480,489	bn:00076767n	Concept	[wn:07229245n]	http://babelnet.org/rdf/s00076767n	null
registering	494,505	bn:00092674v	Concept	[wn:02471690v]	http://babelnet.org/rdf/s00092674v	null
Thank you	509,518	bn:00076767n	Concept	[wn:07229245n]	http://babelnet.org/rdf/s00076767n	null
registering	523,534	bn:00092674v	Concept	[wn:02471690v]	http://babelnet.org/rdf/s00092674v	null
look forward to	541,556	bn:13694211v	Concept	[]	http://babelnet.org/rdf/s13694211v	null
seeing	557,563	bn:00093430v	Concept	[wn:02129289v]	http://babelnet.org/rdf/s00093430v	null
website	573,580	bn:00047172n	Concept	[wn:06359193n]	http://babelnet.org/rdf/s00047172n	http://dbpedia.org/resource/Grothendieck_topology
frequently	583,593	bn:00115452r	Concept	[wn:00035058r]	http://babelnet.org/rdf/s00115452r	null
Visit	596,601	bn:00080111n	Concept	[wn:01233156n]	http://babelnet.org/rdf/s00080111n	null
sign in	609,616	bn:00084868v	Concept	[wn:00966152v]	http://babelnet.org/rdf/s00084868v	null
