College Basketball	12,30	bn:03643032n	http://babelnet.org/rdf/s03643032n	http://dbpedia.org/resource/College_basketball
Basketball Player	20,37	bn:00008889n	http://babelnet.org/rdf/s00008889n	http://dbpedia.org/resource/Basketball
Injured	38,45	bn:00043013n	http://babelnet.org/rdf/s00043013n	http://dbpedia.org/resource/Major_trauma
South Philly	49,61	bn:01060098n	http://babelnet.org/rdf/s01060098n	http://dbpedia.org/resource/South_Philadelphia
Shooting	62,70	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
Following	71,80	bn:00088421v	http://babelnet.org/rdf/s00088421v	null
Game	88,92	bn:00037180n	http://babelnet.org/rdf/s00037180n	http://dbpedia.org/resource/Game
Best	97,101	bn:00010097n	http://babelnet.org/rdf/s00010097n	null
Ski Lodges	102,112	bn:00071964n	http://babelnet.org/rdf/s00071964n	http://dbpedia.org/resource/Skiing
U.S	120,123	bn:00003341n	http://babelnet.org/rdf/s00003341n	http://dbpedia.org/resource/United_States
look	127,131	bn:00006386n	http://babelnet.org/rdf/s00006386n	http://dbpedia.org/resource/Facial_expression
best	152,156	bn:00098274a	http://babelnet.org/rdf/s00098274a	null
ski lodges	157,167	bn:00071964n	http://babelnet.org/rdf/s00071964n	http://dbpedia.org/resource/Skiing
United States	175,188	bn:00003341n	http://babelnet.org/rdf/s00003341n	http://dbpedia.org/resource/United_States
See	204,207	bn:00070252n	http://babelnet.org/rdf/s00070252n	http://dbpedia.org/resource/Episcopal_see
Destinations	208,220	bn:00026601n	http://babelnet.org/rdf/s00026601n	null
square miles	243,255	bn:00073724n	http://babelnet.org/rdf/s00073724n	http://dbpedia.org/resource/Square_mile
Paris , France	259,273	bn:00015540n	http://babelnet.org/rdf/s00015540n	http://dbpedia.org/resource/Paris
main attractions	292,308	bn:02914671n	http://babelnet.org/rdf/s02914671n	http://dbpedia.org/resource/Main_Attraction_(album)
visitors	313,321	bn:00080115n	http://babelnet.org/rdf/s00080115n	null
discover	325,333	bn:00086708v	http://babelnet.org/rdf/s00086708v	null
ranging	334,341	bn:00092360v	http://babelnet.org/rdf/s00092360v	null
Museums	347,354	bn:00056426n	http://babelnet.org/rdf/s00056426n	http://dbpedia.org/resource/Museum
Churches	357,365	bn:00018995n	http://babelnet.org/rdf/s00018995n	http://dbpedia.org/resource/Church_(building)
Monuments	368,377	bn:00054297n	http://babelnet.org/rdf/s00054297n	http://dbpedia.org/resource/Memorial
Squares	382,389	bn:00036107n	http://babelnet.org/rdf/s00036107n	http://dbpedia.org/resource/Square
as well	390,397	bn:00114246r	http://babelnet.org/rdf/s00114246r	null
examples	401,409	bn:00032099n	http://babelnet.org/rdf/s00032099n	null
contemporary	413,425	bn:00100360a	http://babelnet.org/rdf/s00100360a	null
traditional architecture	430,454	bn:03741358n	http://babelnet.org/rdf/s03741358n	http://dbpedia.org/resource/Vernacular_architecture
far	465,468	bn:00115326r	http://babelnet.org/rdf/s00115326r	null
sites	478,483	bn:00049847n	http://babelnet.org/rdf/s00049847n	null
average	492,499	bn:00097854a	http://babelnet.org/rdf/s00097854a	null
tourist	500,507	bn:00044419n	http://babelnet.org/rdf/s00044419n	null
attempt	511,518	bn:00082906v	http://babelnet.org/rdf/s00082906v	null
visit	522,527	bn:00093433v	http://babelnet.org/rdf/s00093433v	null
short	537,542	bn:00110561a	http://babelnet.org/rdf/s00110561a	null
stay	543,547	bn:00074076n	http://babelnet.org/rdf/s00074076n	null
city of lights	555,569	bn:00015540n	http://babelnet.org/rdf/s00015540n	http://dbpedia.org/resource/Paris
list	579,583	bn:00051508n	http://babelnet.org/rdf/s00051508n	http://dbpedia.org/resource/Listing_(computer)
most famous	596,607	bn:00099411a	http://babelnet.org/rdf/s00099411a	null
see	617,620	bn:00093430v	http://babelnet.org/rdf/s00093430v	null
attractions	621,632	bn:00077747n	http://babelnet.org/rdf/s00077747n	http://dbpedia.org/resource/Tourism
order	639,644	bn:00059303n	http://babelnet.org/rdf/s00059303n	null
