Deputies	12,20	bn:00026425n	http://babelnet.org/rdf/s00026425n	null
investigating	21,34	bn:00089885v	http://babelnet.org/rdf/s00089885v	null
report	35,41	bn:00067181n	http://babelnet.org/rdf/s00067181n	http://dbpedia.org/resource/Report
accidental	45,55	bn:00096263a	http://babelnet.org/rdf/s00096263a	null
shooting	56,64	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
Banning	70,77	bn:00083063v	http://babelnet.org/rdf/s00083063v	null
man	82,85	bn:00044576n	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
found	90,95	bn:00082811v	http://babelnet.org/rdf/s00082811v	null
gunshot wound	103,116	bn:00191195n	http://babelnet.org/rdf/s00191195n	http://dbpedia.org/resource/Ballistic_trauma
Tuesday	117,124	bn:00078546n	http://babelnet.org/rdf/s00078546n	http://dbpedia.org/resource/Tuesday
night	125,130	bn:00025236n	http://babelnet.org/rdf/s00025236n	http://dbpedia.org/resource/Night
April 4	133,140	bn:01158694n	http://babelnet.org/rdf/s01158694n	http://dbpedia.org/resource/April_4
accidental	152,162	bn:00096263a	http://babelnet.org/rdf/s00096263a	null
shooting	163,171	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
reported	176,184	bn:00082233v	http://babelnet.org/rdf/s00082233v	null
Banning	190,197	bn:00083063v	http://babelnet.org/rdf/s00083063v	null
investigation	208,221	bn:00047354n	http://babelnet.org/rdf/s00047354n	null
early	233,238	bn:00101935a	http://babelnet.org/rdf/s00101935a	null
stages	239,245	bn:00061898n	http://babelnet.org/rdf/s00061898n	null
Riverside County	252,268	bn:02057140n	http://babelnet.org/rdf/s02057140n	http://dbpedia.org/resource/Riverside_County,_California
County Sheriff	262,276	bn:03786221n	http://babelnet.org/rdf/s03786221n	http://dbpedia.org/resource/Sheriff
Department	280,290	bn:00026309n	http://babelnet.org/rdf/s00026309n	http://dbpedia.org/resource/Departments_of_France
considering	295,306	bn:00085647v	http://babelnet.org/rdf/s00085647v	null
accidental	313,323	bn:00096263a	http://babelnet.org/rdf/s00096263a	null
shooting	324,332	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
Deputy	335,341	bn:00026425n	http://babelnet.org/rdf/s00026425n	null
Michael	342,349	bn:00054715n	http://babelnet.org/rdf/s00054715n	http://dbpedia.org/resource/Michael_(archangel)
said	358,362	bn:00087644v	http://babelnet.org/rdf/s00087644v	null
incident	370,378	bn:00046282n	http://babelnet.org/rdf/s00046282n	null
reported	383,391	bn:00082233v	http://babelnet.org/rdf/s00082233v	null
block	418,423	bn:00011308n	http://babelnet.org/rdf/s00011308n	http://dbpedia.org/resource/Block_(district_subdivision)
Morongo	427,434	bn:02101278n	http://babelnet.org/rdf/s02101278n	http://dbpedia.org/resource/Morongo_Band_of_Mission_Indians
Road	435,439	bn:00067975n	http://babelnet.org/rdf/s00067975n	http://dbpedia.org/resource/Road
Banning	451,458	bn:00083063v	http://babelnet.org/rdf/s00083063v	null
location	466,474	bn:00051760n	http://babelnet.org/rdf/s00051760n	http://dbpedia.org/resource/Location_(geography)
appears	480,487	bn:00082690v	http://babelnet.org/rdf/s00082690v	null
be on	491,496	bn:00083203v	http://babelnet.org/rdf/s00083203v	null
Morongo Indian Reservation	501,527	bn:02101278n	http://babelnet.org/rdf/s02101278n	http://dbpedia.org/resource/Morongo_Band_of_Mission_Indians
injured	535,542	bn:00105122a	http://babelnet.org/rdf/s00105122a	null
man	543,546	bn:00044576n	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
hospitalized	551,563	bn:00089483v	http://babelnet.org/rdf/s00089483v	null
considered	579,589	bn:00085647v	http://babelnet.org/rdf/s00085647v	null
injuries	590,598	bn:00043011n	http://babelnet.org/rdf/s00043011n	http://dbpedia.org/resource/Harm
life	613,617	bn:00051045n	http://babelnet.org/rdf/s00051045n	null
threatening	618,629	bn:00087612v	http://babelnet.org/rdf/s00087612v	null
said	640,644	bn:00087644v	http://babelnet.org/rdf/s00087644v	null
