details	16,23	bn:00026622n	http://babelnet.org/rdf/s00026622n	null
emerge	24,30	bn:00085361v	http://babelnet.org/rdf/s00085361v	null
woman	34,39	bn:00001530n	http://babelnet.org/rdf/s00001530n	http://dbpedia.org/resource/Woman
charged	40,47	bn:00083234v	http://babelnet.org/rdf/s00083234v	null
fatal	51,56	bn:00102827a	http://babelnet.org/rdf/s00102827a	null
hit	57,60	bn:00044274n	http://babelnet.org/rdf/s00044274n	null
run	69,72	bn:00093170v	http://babelnet.org/rdf/s00093170v	null
Sammamish	76,85	bn:00584354n	http://babelnet.org/rdf/s00584354n	http://dbpedia.org/resource/Sammamish,_Washington
park	86,90	bn:00060690n	http://babelnet.org/rdf/s00060690n	http://dbpedia.org/resource/Park
old	107,110	bn:00107786a	http://babelnet.org/rdf/s00107786a	null
woman	116,121	bn:00001530n	http://babelnet.org/rdf/s00001530n	http://dbpedia.org/resource/Woman
initially	126,135	bn:00114055r	http://babelnet.org/rdf/s00114055r	null
ordered	136,143	bn:00087644v	http://babelnet.org/rdf/s00087644v	null
held	144,148	bn:00089384v	http://babelnet.org/rdf/s00089384v	null
bail	164,168	bn:00007974n	http://babelnet.org/rdf/s00007974n	http://dbpedia.org/resource/Bail
judge	177,182	bn:00048488n	http://babelnet.org/rdf/s00048488n	http://dbpedia.org/resource/Judge
Wednesday	186,195	bn:00054897n	http://babelnet.org/rdf/s00054897n	http://dbpedia.org/resource/Wednesday
lowered	196,203	bn:00084074v	http://babelnet.org/rdf/s00084074v	null
bail	208,212	bn:00007974n	http://babelnet.org/rdf/s00007974n	http://dbpedia.org/resource/Bail
whereabouts	233,244	bn:00080991n	http://babelnet.org/rdf/s00080991n	null
gold	250,254	bn:00006911n	http://babelnet.org/rdf/s00006911n	http://dbpedia.org/resource/Gold
Infiniti	255,263	bn:02441043n	http://babelnet.org/rdf/s02441043n	http://dbpedia.org/resource/Infiniti
SUV	264,267	bn:00068678n	http://babelnet.org/rdf/s00068678n	http://dbpedia.org/resource/Sport_utility_vehicle
allegedly	268,277	bn:00114224r	http://babelnet.org/rdf/s00114224r	null
used	278,282	bn:13783090v	http://babelnet.org/rdf/s13783090v	null
week	288,292	bn:00043484n	http://babelnet.org/rdf/s00043484n	http://dbpedia.org/resource/Week
run down	296,304	bn:00093191v	http://babelnet.org/rdf/s00093191v	null
old man	317,324	bn:00041536n	http://babelnet.org/rdf/s00041536n	http://dbpedia.org/resource/Greybeard
Sammamish	330,339	bn:00584354n	http://babelnet.org/rdf/s00584354n	http://dbpedia.org/resource/Sammamish,_Washington
park	340,344	bn:00060690n	http://babelnet.org/rdf/s00060690n	http://dbpedia.org/resource/Park
unknown	354,361	bn:00112923a	http://babelnet.org/rdf/s00112923a	null
charges	368,375	bn:00017789n	http://babelnet.org/rdf/s00017789n	null
filed	376,381	bn:00088164v	http://babelnet.org/rdf/s00088164v	null
Wednesday	382,391	bn:00054897n	http://babelnet.org/rdf/s00054897n	http://dbpedia.org/resource/Wednesday
woman	404,409	bn:00001530n	http://babelnet.org/rdf/s00001530n	http://dbpedia.org/resource/Woman
arrested	410,418	bn:00082728v	http://babelnet.org/rdf/s00082728v	null
connection	422,432	bn:00021902n	http://babelnet.org/rdf/s00021902n	null
death	442,447	bn:00025582n	http://babelnet.org/rdf/s00025582n	http://dbpedia.org/resource/Death
provide	448,455	bn:00088643v	http://babelnet.org/rdf/s00088643v	null
new	456,459	bn:00107267a	http://babelnet.org/rdf/s00107267a	null
details	460,467	bn:00026622n	http://babelnet.org/rdf/s00026622n	null
chaotic	475,482	bn:00099526a	http://babelnet.org/rdf/s00099526a	null
incident	483,491	bn:02612327n	http://babelnet.org/rdf/s02612327n	http://dbpedia.org/resource/Graph_(mathematics)
Rials	505,510	bn:00067687n	http://babelnet.org/rdf/s00067687n	http://dbpedia.org/resource/Yemeni_rial
charged	532,539	bn:00083234v	http://babelnet.org/rdf/s00083234v	null
felony	545,551	bn:00034010n	http://babelnet.org/rdf/s00034010n	http://dbpedia.org/resource/Felony
hit	552,555	bn:00044274n	http://babelnet.org/rdf/s00044274n	null
run for	564,571	bn:00093182v	http://babelnet.org/rdf/s00093182v	null
failing	572,579	bn:00087966v	http://babelnet.org/rdf/s00087966v	null
stop	583,587	bn:00089154v	http://babelnet.org/rdf/s00089154v	null
provide	592,599	bn:00088643v	http://babelnet.org/rdf/s00088643v	null
aid	600,603	bn:00002157n	http://babelnet.org/rdf/s00002157n	null
fired	630,635	bn:00088225v	http://babelnet.org/rdf/s00088225v	null
multiple	636,644	bn:00107028a	http://babelnet.org/rdf/s00107028a	null
shots	645,650	bn:00071206n	http://babelnet.org/rdf/s00071206n	null
Rials	654,659	bn:00067687n	http://babelnet.org/rdf/s00067687n	http://dbpedia.org/resource/Yemeni_rial
vehicle	661,668	bn:00079675n	http://babelnet.org/rdf/s00079675n	http://dbpedia.org/resource/Vehicle
apparently	675,685	bn:00114319r	http://babelnet.org/rdf/s00114319r	null
tried	686,691	bn:00082844v	http://babelnet.org/rdf/s00082844v	null
stop	695,699	bn:00089154v	http://babelnet.org/rdf/s00089154v	null
SUV	704,707	bn:00068678n	http://babelnet.org/rdf/s00068678n	http://dbpedia.org/resource/Sport_utility_vehicle
leaving	713,720	bn:00088939v	http://babelnet.org/rdf/s00088939v	null
Beaver Lake Park	721,737	bn:03741501n	http://babelnet.org/rdf/s03741501n	http://dbpedia.org/resource/Beaver_Lake_Park_(Washington)
charging	740,748	bn:00083234v	http://babelnet.org/rdf/s00083234v	null
papers	749,755	bn:00028015n	http://babelnet.org/rdf/s00028015n	http://dbpedia.org/resource/Document
say	756,759	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
Arrested	763,771	bn:00946750n	http://babelnet.org/rdf/s00946750n	http://dbpedia.org/resource/Arrest
Saturday	772,780	bn:00068696n	http://babelnet.org/rdf/s00068696n	http://dbpedia.org/resource/Saturday
Skyway	784,790	bn:00002239n	http://babelnet.org/rdf/s00002239n	http://dbpedia.org/resource/Skyway
Rials	793,798	bn:00067687n	http://babelnet.org/rdf/s00067687n	http://dbpedia.org/resource/Yemeni_rial
charged	808,815	bn:00083234v	http://babelnet.org/rdf/s00083234v	null
second	821,827	bn:00095974a	http://babelnet.org/rdf/s00095974a	null
degree	830,836	bn:00025965n	http://babelnet.org/rdf/s00025965n	http://dbpedia.org/resource/Degree_(music)
identity theft	837,851	bn:00045829n	http://babelnet.org/rdf/s00045829n	http://dbpedia.org/resource/Identity_theft
counts	860,866	bn:00023140n	http://babelnet.org/rdf/s00023140n	http://dbpedia.org/resource/Numeral_system
second	870,876	bn:00095974a	http://babelnet.org/rdf/s00095974a	null
degree	879,885	bn:00025965n	http://babelnet.org/rdf/s00025965n	http://dbpedia.org/resource/Degree_(music)
vehicle	886,893	bn:00079675n	http://babelnet.org/rdf/s00079675n	http://dbpedia.org/resource/Vehicle
prowl	894,899	bn:00064931n	http://babelnet.org/rdf/s00064931n	null
initially	911,920	bn:00114055r	http://babelnet.org/rdf/s00114055r	null
ordered	921,928	bn:00087644v	http://babelnet.org/rdf/s00087644v	null
held	929,933	bn:00089384v	http://babelnet.org/rdf/s00089384v	null
bail	949,953	bn:00007974n	http://babelnet.org/rdf/s00007974n	http://dbpedia.org/resource/Bail
judge	962,967	bn:00048488n	http://babelnet.org/rdf/s00048488n	http://dbpedia.org/resource/Judge
Wednesday	968,977	bn:00054897n	http://babelnet.org/rdf/s00054897n	http://dbpedia.org/resource/Wednesday
