Woman	12,17	bn:00001530n	http://babelnet.org/rdf/s00001530n	http://dbpedia.org/resource/Woman
dies	18,22	bn:00084343v	http://babelnet.org/rdf/s00084343v	null
shooting	26,34	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
man	37,40	bn:00044576n	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
faces	41,46	bn:00085597v	http://babelnet.org/rdf/s00085597v	null
involuntary manslaughter	47,71	bn:00053255n	http://babelnet.org/rdf/s00053255n	http://dbpedia.org/resource/Manslaughter
charge	72,78	bn:00017789n	http://babelnet.org/rdf/s00017789n	null
woman	83,88	bn:00001530n	http://babelnet.org/rdf/s00001530n	http://dbpedia.org/resource/Woman
shot in the head	97,113	bn:13603031n	http://babelnet.org/rdf/s13603031n	null
Twin	119,123	bn:00078753n	http://babelnet.org/rdf/s00078753n	http://dbpedia.org/resource/Twin
Falls	124,129	bn:00007406n	http://babelnet.org/rdf/s00007406n	http://dbpedia.org/resource/Autumn
apartment	130,139	bn:00004836n	http://babelnet.org/rdf/s00004836n	http://dbpedia.org/resource/Apartment
Thursday	143,151	bn:00076744n	http://babelnet.org/rdf/s00076744n	http://dbpedia.org/resource/Thursday
night	152,157	bn:00025236n	http://babelnet.org/rdf/s00025236n	http://dbpedia.org/resource/Night
died	158,162	bn:00084343v	http://babelnet.org/rdf/s00084343v	null
wound	172,177	bn:00050776n	http://babelnet.org/rdf/s00050776n	http://dbpedia.org/resource/Grievous_bodily_harm
Twin	185,189	bn:00078753n	http://babelnet.org/rdf/s00078753n	http://dbpedia.org/resource/Twin
Falls	190,195	bn:00007406n	http://babelnet.org/rdf/s00007406n	http://dbpedia.org/resource/Autumn
Police Department	196,213	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
identified	214,224	bn:00089574v	http://babelnet.org/rdf/s00089574v	null
woman	229,234	bn:00001530n	http://babelnet.org/rdf/s00001530n	http://dbpedia.org/resource/Woman
old	248,251	bn:00107786a	http://babelnet.org/rdf/s00107786a	null
Budden	260,266	bn:03667767n	http://babelnet.org/rdf/s03667767n	http://dbpedia.org/resource/Budden
St. Luke	286,294	bn:00052281n	http://babelnet.org/rdf/s00052281n	http://dbpedia.org/resource/Luke
Magic Valley	298,310	bn:01071114n	http://babelnet.org/rdf/s01071114n	http://dbpedia.org/resource/Magic_Valley
died	321,325	bn:00084343v	http://babelnet.org/rdf/s00084343v	null
injury	335,341	bn:00043011n	http://babelnet.org/rdf/s00043011n	http://dbpedia.org/resource/Harm
Twin	349,353	bn:00078753n	http://babelnet.org/rdf/s00078753n	http://dbpedia.org/resource/Twin
Falls	354,359	bn:00007406n	http://babelnet.org/rdf/s00007406n	http://dbpedia.org/resource/Autumn
Police Department	360,377	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
arrested	378,386	bn:00082728v	http://babelnet.org/rdf/s00082728v	null
relation	407,415	bn:00016124n	http://babelnet.org/rdf/s00016124n	http://dbpedia.org/resource/Human_sexual_activity
incident	423,431	bn:00046282n	http://babelnet.org/rdf/s00046282n	null
charged	446,453	bn:00083234v	http://babelnet.org/rdf/s00083234v	null
involuntary manslaughter	459,483	bn:00053255n	http://babelnet.org/rdf/s00053255n	http://dbpedia.org/resource/Manslaughter
arraigned	503,512	bn:00082775v	http://babelnet.org/rdf/s00082775v	null
court	516,521	bn:00023308n	http://babelnet.org/rdf/s00023308n	http://dbpedia.org/resource/Court
Friday	525,531	bn:00036512n	http://babelnet.org/rdf/s00036512n	http://dbpedia.org/resource/Friday
Twin Falls County	539,556	bn:03861603n	http://babelnet.org/rdf/s03861603n	http://dbpedia.org/resource/Twin_Falls_County,_Idaho
County Coroner	550,564	bn:00022801n	http://babelnet.org/rdf/s00022801n	http://dbpedia.org/resource/Coroner
scheduled	565,574	bn:00093336v	http://babelnet.org/rdf/s00093336v	null
autopsy	578,585	bn:00007393n	http://babelnet.org/rdf/s00007393n	http://dbpedia.org/resource/Autopsy
Monday morning	590,604	bn:03008582n	http://babelnet.org/rdf/s03008582n	http://dbpedia.org/resource/Monday_Morning_(Christina_Aguilera_song)
Click here	608,618	bn:01553188n	http://babelnet.org/rdf/s01553188n	http://dbpedia.org/resource/Click_Here_:_(To_Find_Out_How_I_Survived_Seventh_Grade)
read	622,626	bn:00092424v	http://babelnet.org/rdf/s00092424v	null
original	631,639	bn:00107982a	http://babelnet.org/rdf/s00107982a	null
story	640,645	bn:00056857n	http://babelnet.org/rdf/s00056857n	http://dbpedia.org/resource/Narration
