old	22,25	bn:00107786a	http://babelnet.org/rdf/s00107786a	null
shot	26,30	bn:00071206n	http://babelnet.org/rdf/s00071206n	null
death	34,39	bn:00025582n	http://babelnet.org/rdf/s00025582n	http://dbpedia.org/resource/Death
Rialto	43,49	bn:00198924n	http://babelnet.org/rdf/s00198924n	http://dbpedia.org/resource/Rialto,_California
identified	53,63	bn:00089575v	http://babelnet.org/rdf/s00089575v	null
San Bernardino County	70,91	bn:03686133n	http://babelnet.org/rdf/s03686133n	http://dbpedia.org/resource/San_Bernardino_County,_California
County Coroner	85,99	bn:00022801n	http://babelnet.org/rdf/s00022801n	http://dbpedia.org/resource/Coroner
Office	103,109	bn:00001961n	http://babelnet.org/rdf/s00001961n	http://dbpedia.org/resource/Government_agency
Monday	113,119	bn:00055609n	http://babelnet.org/rdf/s00055609n	http://dbpedia.org/resource/Monday
Feb.	122,126	bn:00033882n	http://babelnet.org/rdf/s00033882n	http://dbpedia.org/resource/February
released	131,139	bn:00090297v	http://babelnet.org/rdf/s00090297v	null
old boy	164,171	bn:00058803n	http://babelnet.org/rdf/s00058803n	null
shot	180,184	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
death	188,193	bn:00025582n	http://babelnet.org/rdf/s00025582n	http://dbpedia.org/resource/Death
Saturday	194,202	bn:00068696n	http://babelnet.org/rdf/s00068696n	http://dbpedia.org/resource/Saturday
Hassan	206,212	bn:03685072n	http://babelnet.org/rdf/s03685072n	http://dbpedia.org/resource/Hassan_(crater)
Rialto	223,229	bn:00198924n	http://babelnet.org/rdf/s00198924n	http://dbpedia.org/resource/Rialto,_California
pronounced	236,246	bn:00106429a	http://babelnet.org/rdf/s00106429a	null
dead	247,251	bn:00100948a	http://babelnet.org/rdf/s00100948a	null
p.m.	260,264	bn:00116519r	http://babelnet.org/rdf/s00116519r	null
Saturday	265,273	bn:00068696n	http://babelnet.org/rdf/s00068696n	http://dbpedia.org/resource/Saturday
Arrowhead Regional Medical Center	277,310	bn:00155110n	http://babelnet.org/rdf/s00155110n	http://dbpedia.org/resource/Arrowhead_Regional_Medical_Center
Rialto	314,320	bn:00198924n	http://babelnet.org/rdf/s00198924n	http://dbpedia.org/resource/Rialto,_California
police	321,327	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
Lt	328,330	bn:03312078n	http://babelnet.org/rdf/s03312078n	http://dbpedia.org/resource/LT_(car)
Paul	333,337	bn:00004984n	http://babelnet.org/rdf/s00004984n	http://dbpedia.org/resource/Paul_the_Apostle
Stella	338,344	bn:00017070n	http://babelnet.org/rdf/s00017070n	http://dbpedia.org/resource/Celts
said	345,349	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
Monday	350,356	bn:00055609n	http://babelnet.org/rdf/s00055609n	http://dbpedia.org/resource/Monday
shooter	366,373	bn:00071203n	http://babelnet.org/rdf/s00071203n	null
Police	388,394	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
know	402,406	bn:00085261v	http://babelnet.org/rdf/s00085261v	null
intended	428,436	bn:00105249a	http://babelnet.org/rdf/s00105249a	null
target	437,443	bn:00053445n	http://babelnet.org/rdf/s00053445n	null
Stella	446,452	bn:00017070n	http://babelnet.org/rdf/s00017070n	http://dbpedia.org/resource/Celts
said	453,457	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
freshman	477,485	bn:00036487n	http://babelnet.org/rdf/s00036487n	http://dbpedia.org/resource/Freshman
Rialto	489,495	bn:00198924n	http://babelnet.org/rdf/s00198924n	http://dbpedia.org/resource/Rialto,_California
Eisenhower	499,509	bn:00029275n	http://babelnet.org/rdf/s00029275n	http://dbpedia.org/resource/Dwight_D._Eisenhower
High School	510,521	bn:00044028n	http://babelnet.org/rdf/s00044028n	http://dbpedia.org/resource/High_school
said	524,528	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
Rialto Unified School District	529,559	bn:03577564n	http://babelnet.org/rdf/s03577564n	http://dbpedia.org/resource/Rialto_Unified_School_District
spokeswoman	560,571	bn:00047203n	http://babelnet.org/rdf/s00047203n	http://dbpedia.org/resource/Spokesperson
Syeda	572,577	bn:03428696n	http://babelnet.org/rdf/s03428696n	http://dbpedia.org/resource/Sayyid
Jafri	578,583	bn:01891236n	http://babelnet.org/rdf/s01891236n	http://dbpedia.org/resource/Jafri
left	589,593	bn:00088939v	http://babelnet.org/rdf/s00088939v	null
school	598,604	bn:00069619n	http://babelnet.org/rdf/s00069619n	http://dbpedia.org/resource/School
October	608,615	bn:00058593n	http://babelnet.org/rdf/s00058593n	http://dbpedia.org/resource/October
plans	624,629	bn:00062759n	http://babelnet.org/rdf/s00062759n	http://dbpedia.org/resource/Program_management
