Family	12,18	bn:00032892n	http://babelnet.org/rdf/s00032892n	http://dbpedia.org/resource/Household
demands	19,26	bn:00026103n	http://babelnet.org/rdf/s00026103n	null
stiffer	27,34	bn:13745814a	http://babelnet.org/rdf/s13745814a	null
charge	35,41	bn:00017789n	http://babelnet.org/rdf/s00017789n	null
old	56,59	bn:00107786a	http://babelnet.org/rdf/s00107786a	null
shooter	60,67	bn:00071203n	http://babelnet.org/rdf/s00071203n	null
Family	70,76	bn:00032892n	http://babelnet.org/rdf/s00032892n	http://dbpedia.org/resource/Household
demands	77,84	bn:00026103n	http://babelnet.org/rdf/s00026103n	null
stiffer	85,92	bn:13745814a	http://babelnet.org/rdf/s13745814a	null
charge	93,99	bn:00017789n	http://babelnet.org/rdf/s00017789n	null
old	114,117	bn:00107786a	http://babelnet.org/rdf/s00107786a	null
shooter	118,125	bn:00071203n	http://babelnet.org/rdf/s00071203n	null
Teen	126,130	bn:00001480n	http://babelnet.org/rdf/s00001480n	null
thought	131,138	bn:00083370v	http://babelnet.org/rdf/s00083370v	null
cop	146,149	bn:00013777n	http://babelnet.org/rdf/s00013777n	null
shooter	152,159	bn:00071203n	http://babelnet.org/rdf/s00071203n	null
sights	167,173	bn:00071507n	http://babelnet.org/rdf/s00071507n	null
Photo	175,180	bn:00032381n	http://babelnet.org/rdf/s00032381n	http://dbpedia.org/resource/Photograph
Elizabeth	183,192	bn:00030384n	http://babelnet.org/rdf/s00030384n	http://dbpedia.org/resource/Elizabeth_II
Conley	193,199	bn:15730662n	http://babelnet.org/rdf/s15730662n	http://dbpedia.org/resource/Conley
Houston Chronicle	202,219	bn:01866041n	http://babelnet.org/rdf/s01866041n	http://dbpedia.org/resource/Houston_Chronicle
Image	220,225	bn:00045970n	http://babelnet.org/rdf/s00045970n	http://dbpedia.org/resource/Mental_image
Caption	235,242	bn:00015762n	http://babelnet.org/rdf/s00015762n	null
Close	243,248	bn:00019918n	http://babelnet.org/rdf/s00019918n	null
Image	249,254	bn:00045970n	http://babelnet.org/rdf/s00045970n	http://dbpedia.org/resource/Mental_image
Quanell X	262,271	bn:00142854n	http://babelnet.org/rdf/s00142854n	http://dbpedia.org/resource/Quanell_X
press conference	280,296	bn:00057552n	http://babelnet.org/rdf/s00057552n	http://dbpedia.org/resource/News_conference
mother	306,312	bn:00034027n	http://babelnet.org/rdf/s00034027n	http://dbpedia.org/resource/Mother
family	317,323	bn:00032892n	http://babelnet.org/rdf/s00032892n	http://dbpedia.org/resource/Household
Derrick	327,334	bn:00026474n	http://babelnet.org/rdf/s00026474n	http://dbpedia.org/resource/Derrick
Green	335,340	bn:00041648n	http://babelnet.org/rdf/s00041648n	http://dbpedia.org/resource/Green
street	348,354	bn:00074595n	http://babelnet.org/rdf/s00074595n	http://dbpedia.org/resource/Street
Green	366,371	bn:00041648n	http://babelnet.org/rdf/s00041648n	http://dbpedia.org/resource/Green
shot	376,380	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
times	387,392	bn:00077270n	http://babelnet.org/rdf/s00077270n	http://dbpedia.org/resource/Time
old	408,411	bn:00107786a	http://babelnet.org/rdf/s00107786a	null
last Tuesday	412,424	bn:03255599n	http://babelnet.org/rdf/s03255599n	http://dbpedia.org/resource/Last_Tuesday
X and	427,432	bn:01645671n	http://babelnet.org/rdf/s01645671n	http://dbpedia.org/resource/X_Andromedae
family	437,443	bn:00032892n	http://babelnet.org/rdf/s00032892n	http://dbpedia.org/resource/Household
demanding	448,457	bn:00086546v	http://babelnet.org/rdf/s00086546v	null
district attorneys	467,485	bn:00024945n	http://babelnet.org/rdf/s00024945n	http://dbpedia.org/resource/District_attorney
office	486,492	bn:00001961n	http://babelnet.org/rdf/s00001961n	http://dbpedia.org/resource/Government_agency
file	493,497	bn:00025320n	http://babelnet.org/rdf/s00025320n	null
attempted murder	498,514	bn:03798384n	http://babelnet.org/rdf/s03798384n	http://dbpedia.org/resource/Attempted_murder
murder charges	508,522	bn:00056344n	http://babelnet.org/rdf/s00056344n	null
Quanell X	530,539	bn:00142854n	http://babelnet.org/rdf/s00142854n	http://dbpedia.org/resource/Quanell_X
press conference	548,564	bn:00057552n	http://babelnet.org/rdf/s00057552n	http://dbpedia.org/resource/News_conference
mother	574,580	bn:00034027n	http://babelnet.org/rdf/s00034027n	http://dbpedia.org/resource/Mother
family	585,591	bn:00032892n	http://babelnet.org/rdf/s00032892n	http://dbpedia.org/resource/Household
Derrick	595,602	bn:00026474n	http://babelnet.org/rdf/s00026474n	http://dbpedia.org/resource/Derrick
Green	603,608	bn:00041648n	http://babelnet.org/rdf/s00041648n	http://dbpedia.org/resource/Green
street	616,622	bn:00074595n	http://babelnet.org/rdf/s00074595n	http://dbpedia.org/resource/Street
Green	634,639	bn:00041648n	http://babelnet.org/rdf/s00041648n	http://dbpedia.org/resource/Green
shot	644,648	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
times	655,660	bn:00077270n	http://babelnet.org/rdf/s00077270n	http://dbpedia.org/resource/Time
old	676,679	bn:00107786a	http://babelnet.org/rdf/s00107786a	null
last Tuesday	680,692	bn:03255599n	http://babelnet.org/rdf/s03255599n	http://dbpedia.org/resource/Last_Tuesday
X and	695,700	bn:01645671n	http://babelnet.org/rdf/s01645671n	http://dbpedia.org/resource/X_Andromedae
family	705,711	bn:00032892n	http://babelnet.org/rdf/s00032892n	http://dbpedia.org/resource/Household
demanding	716,725	bn:00086546v	http://babelnet.org/rdf/s00086546v	null
Photo	744,749	bn:00032381n	http://babelnet.org/rdf/s00032381n	http://dbpedia.org/resource/Photograph
Elizabeth	752,761	bn:00030384n	http://babelnet.org/rdf/s00030384n	http://dbpedia.org/resource/Elizabeth_II
Conley	762,768	bn:15730662n	http://babelnet.org/rdf/s15730662n	http://dbpedia.org/resource/Conley
Houston Chronicle	771,788	bn:01866041n	http://babelnet.org/rdf/s01866041n	http://dbpedia.org/resource/Houston_Chronicle
Image	789,794	bn:00045970n	http://babelnet.org/rdf/s00045970n	http://dbpedia.org/resource/Mental_image
Ken	802,805	bn:00020463n	http://babelnet.org/rdf/s00020463n	null
