teen	20,24	bn:00001480n	Concept	[wn:09772029n]	http://babelnet.org/rdf/s00001480n	null
accidentally	25,37	bn:00114104r	Concept	[wn:00062650r]	http://babelnet.org/rdf/s00114104r	null
shoots	38,44	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
face	60,64	bn:00032600n	Concept	[wn:05600637n]	http://babelnet.org/rdf/s00032600n	http://dbpedia.org/resource/Face
TODAY	67,72	bn:00077462n	Concept	[wn:15262921n]	http://babelnet.org/rdf/s00077462n	null
STORIES	80,87	bn:00056857n	Concept	[wn:07221094n]	http://babelnet.org/rdf/s00056857n	http://dbpedia.org/resource/Narration
waiting	95,102	bn:00082963v	Concept	[wn:00720063v]	http://babelnet.org/rdf/s00082963v	null
power	107,112	bn:00063940n	Concept	[wn:05190804n]	http://babelnet.org/rdf/s00063940n	http://dbpedia.org/resource/Power_(social_and_political)
eligible	128,136	bn:00102123a	Concept	[wn:00851744a]	http://babelnet.org/rdf/s00102123a	null
credit	143,149	bn:00023667n	Concept	[wn:06688274n]	http://babelnet.org/rdf/s00023667n	null
Historic	158,166	bn:00044268n	Concept	[wn:06155567n]	http://babelnet.org/rdf/s00044268n	http://dbpedia.org/resource/History
winds	167,172	bn:00002216n	Concept	[wn:11525955n]	http://babelnet.org/rdf/s00002216n	http://dbpedia.org/resource/Air_current
March 8	176,183	bn:01280100n	Named Entity	[]	http://babelnet.org/rdf/s01280100n	http://dbpedia.org/resource/March_8
knocked out	191,202	bn:00090030v	Concept	[wn:01414088v]	http://babelnet.org/rdf/s00090030v	null
power	203,208	bn:00063940n	Concept	[wn:05190804n]	http://babelnet.org/rdf/s00063940n	http://dbpedia.org/resource/Power_(social_and_political)
electric	222,230	bn:00102083a	Concept	[wn:02826877a]	http://babelnet.org/rdf/s00102083a	null
customers	231,240	bn:00019763n	Concept	[wn:09984659n]	http://babelnet.org/rdf/s00019763n	http://dbpedia.org/resource/Customer
Michigan	244,252	bn:00041581n	Named Entity	[wn:09099526n]	http://babelnet.org/rdf/s00041581n	http://dbpedia.org/resource/Great_Lakes_region
Customers	255,264	bn:00019763n	Concept	[wn:09984659n]	http://babelnet.org/rdf/s00019763n	http://dbpedia.org/resource/Customer
power	273,278	bn:00063940n	Concept	[wn:05190804n]	http://babelnet.org/rdf/s00063940n	http://dbpedia.org/resource/Power_(social_and_political)
more than	283,292	bn:00106935a	Concept	[wn:01555133a]	http://babelnet.org/rdf/s00106935a	null
days	295,299	bn:00000086n	Concept	[wn:15155220n]	http://babelnet.org/rdf/s00000086n	http://dbpedia.org/resource/Day
eligible	309,317	bn:00102123a	Concept	[wn:00851744a]	http://babelnet.org/rdf/s00102123a	null
credit	324,330	bn:00023667n	Concept	[wn:06688274n]	http://babelnet.org/rdf/s00023667n	null
utility bill	340,352	bn:00000746n	Concept	[wn:06516955n]	http://babelnet.org/rdf/s00000746n	http://dbpedia.org/resource/Invoice
