Arrested	20,28	bn:00946750n	http://babelnet.org/rdf/s00946750n	http://dbpedia.org/resource/Arrest
Charged	31,38	bn:03789598n	http://babelnet.org/rdf/s03789598n	http://dbpedia.org/resource/Charged_(album)
Connection	42,52	bn:00021902n	http://babelnet.org/rdf/s00021902n	null
Shooting	56,64	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
Bolling	68,75	bn:13778041v	http://babelnet.org/rdf/s13778041v	null
WVIR	86,90	bn:02749137n	http://babelnet.org/rdf/s02749137n	http://dbpedia.org/resource/WVIR-TV
Charlottesville , VA	91,111	bn:03806599n	http://babelnet.org/rdf/s03806599n	http://dbpedia.org/resource/Charlottesville,_Virginia
News	112,116	bn:00047028n	http://babelnet.org/rdf/s00047028n	null
Sports	119,125	bn:00006759n	http://babelnet.org/rdf/s00006759n	http://dbpedia.org/resource/Athletics_(sport)
Weather	130,137	bn:00006808n	http://babelnet.org/rdf/s00006808n	http://dbpedia.org/resource/Weather
Charlottesville	144,159	bn:03806599n	http://babelnet.org/rdf/s03806599n	http://dbpedia.org/resource/Charlottesville,_Virginia
Police Department	160,177	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
charging	181,189	bn:00083234v	http://babelnet.org/rdf/s00083234v	null
men	198,201	bn:00044576n	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
believe	207,214	bn:00083369v	http://babelnet.org/rdf/s00083369v	null
involved	220,228	bn:00082428v	http://babelnet.org/rdf/s00082428v	null
shooting	234,242	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
sent	248,252	bn:00086868v	http://babelnet.org/rdf/s00086868v	null
teenager	255,263	bn:00001480n	http://babelnet.org/rdf/s00001480n	null
hospital	271,279	bn:00044896n	http://babelnet.org/rdf/s00044896n	http://dbpedia.org/resource/Hospital
Authorities	283,294	bn:00001961n	http://babelnet.org/rdf/s00001961n	http://dbpedia.org/resource/Government_agency
charging	299,307	bn:00083234v	http://babelnet.org/rdf/s00083234v	null
old	318,321	bn:00107786a	http://babelnet.org/rdf/s00107786a	null
Wells	328,333	bn:00042374n	http://babelnet.org/rdf/s00042374n	http://dbpedia.org/resource/H._G._Wells
old	348,351	bn:00107786a	http://babelnet.org/rdf/s00107786a	null
Quintus	352,359	bn:02702842n	http://babelnet.org/rdf/s02702842n	http://dbpedia.org/resource/Quintus
Brooks	360,366	bn:00013340n	http://babelnet.org/rdf/s00013340n	null
malicious	372,381	bn:00106361a	http://babelnet.org/rdf/s00106361a	null
wounding	382,390	bn:00089751v	http://babelnet.org/rdf/s00089751v	null
firearm	404,411	bn:00034676n	http://babelnet.org/rdf/s00034676n	http://dbpedia.org/resource/Firearm
commission	419,429	bn:00021015n	http://babelnet.org/rdf/s00021015n	http://dbpedia.org/resource/Committee
felony	435,441	bn:00034010n	http://babelnet.org/rdf/s00034010n	http://dbpedia.org/resource/Felony
facing	457,463	bn:00085596v	http://babelnet.org/rdf/s00085596v	null
felony	466,472	bn:00034010n	http://babelnet.org/rdf/s00034010n	http://dbpedia.org/resource/Felony
count	473,478	bn:00023140n	http://babelnet.org/rdf/s00023140n	http://dbpedia.org/resource/Numeral_system
eluding	482,489	bn:00085002v	http://babelnet.org/rdf/s00085002v	null
