Teen	12,16	bn:00001480n	http://babelnet.org/rdf/s00001480n	null
shot	17,21	bn:00071206n	http://babelnet.org/rdf/s00071206n	null
dead	22,26	bn:00100951a	http://babelnet.org/rdf/s00100951a	null
drive	30,35	bn:00028786n	http://babelnet.org/rdf/s00028786n	http://dbpedia.org/resource/Parkway
Teen	56,60	bn:00001480n	http://babelnet.org/rdf/s00001480n	null
shot	61,65	bn:00091652v	http://babelnet.org/rdf/s00091652v	null
dead	66,70	bn:00100948a	http://babelnet.org/rdf/s00100948a	null
drive	74,79	bn:00028777n	http://babelnet.org/rdf/s00028777n	null
Photo	99,104	bn:00032381n	http://babelnet.org/rdf/s00032381n	http://dbpedia.org/resource/Photograph
Evan	107,111	bn:01752217n	http://babelnet.org/rdf/s01752217n	http://dbpedia.org/resource/Evaň
Evan	125,129	bn:01752217n	http://babelnet.org/rdf/s01752217n	http://dbpedia.org/resource/Evaň
teenager	143,151	bn:00001480n	http://babelnet.org/rdf/s00001480n	null
shot	156,160	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
death	164,169	bn:00025582n	http://babelnet.org/rdf/s00025582n	http://dbpedia.org/resource/Death
drive	175,180	bn:00028777n	http://babelnet.org/rdf/s00028777n	null
believed	199,207	bn:00083373v	http://babelnet.org/rdf/s00083373v	null
old boy	228,235	bn:00058803n	http://babelnet.org/rdf/s00058803n	null
shot	240,244	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
death	248,253	bn:00025582n	http://babelnet.org/rdf/s00025582n	http://dbpedia.org/resource/Death
Monday	254,260	bn:00055609n	http://babelnet.org/rdf/s00055609n	http://dbpedia.org/resource/Monday
night	261,266	bn:00025236n	http://babelnet.org/rdf/s00025236n	http://dbpedia.org/resource/Night
drive	272,277	bn:00028777n	http://babelnet.org/rdf/s00028777n	null
shooting	283,291	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
unincorporated	298,312	bn:00112860a	http://babelnet.org/rdf/s00112860a	null
stretch	313,320	bn:15060902n	http://babelnet.org/rdf/s15060902n	http://dbpedia.org/resource/Stretch_(2011_film)
