Accidental	12,22	bn:01796836n	http://babelnet.org/rdf/s01796836n	http://dbpedia.org/resource/Vagrancy_(biology)
Shooting	23,31	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
Leads	32,37	bn:00050340n	http://babelnet.org/rdf/s00050340n	null
Man	38,41	bn:00044576n	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
File	45,49	bn:00025320n	http://babelnet.org/rdf/s00025320n	null
False	52,57	bn:01610254n	http://babelnet.org/rdf/s01610254n	http://dbpedia.org/resource/False_(logic)
Report	58,64	bn:00067181n	http://babelnet.org/rdf/s00067181n	http://dbpedia.org/resource/Report
Cover	68,73	bn:00021526n	http://babelnet.org/rdf/s00021526n	null
Attempt	79,86	bn:00007011n	http://babelnet.org/rdf/s00007011n	null
March 9th	92,101	bn:01280226n	http://babelnet.org/rdf/s01280226n	http://dbpedia.org/resource/March_9
Officers	111,119	bn:00054972n	http://babelnet.org/rdf/s00054972n	http://dbpedia.org/resource/Officer_(armed_forces)
Winston	129,136	bn:02538414n	http://babelnet.org/rdf/s02538414n	http://dbpedia.org/resource/Winston_(horse)
Salem Police Department	139,162	bn:17244739n	http://babelnet.org/rdf/s17244739n	http://dbpedia.org/resource/Salem_Police_Department_(Massachusetts)
responded	163,172	bn:00092421v	http://babelnet.org/rdf/s00092421v	null
East	181,185	bn:00029050n	http://babelnet.org/rdf/s00029050n	http://dbpedia.org/resource/East
Sprague	186,193	bn:01953120n	http://babelnet.org/rdf/s01953120n	http://dbpedia.org/resource/Sprague_(towboat)
Street	194,200	bn:00074595n	http://babelnet.org/rdf/s00074595n	http://dbpedia.org/resource/Street
reported	206,214	bn:00082233v	http://babelnet.org/rdf/s00082233v	null
shooting	215,223	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
Officers	226,234	bn:00054972n	http://babelnet.org/rdf/s00054972n	http://dbpedia.org/resource/Officer_(armed_forces)
located	235,242	bn:00106113a	http://babelnet.org/rdf/s00106113a	null
Anthony Earl	243,255	bn:00387851n	http://babelnet.org/rdf/s00387851n	http://dbpedia.org/resource/Tony_Earl
Earl Johnson	251,263	bn:00797595n	http://babelnet.org/rdf/s00797595n	http://dbpedia.org/resource/Earl_Johnson_(baseball)
residence	271,280	bn:00000355n	http://babelnet.org/rdf/s00000355n	null
gunshot wound	288,301	bn:00191195n	http://babelnet.org/rdf/s00191195n	http://dbpedia.org/resource/Ballistic_trauma
leg	309,312	bn:00050541n	http://babelnet.org/rdf/s00050541n	http://dbpedia.org/resource/Leg
told	323,327	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
officers	328,336	bn:00054972n	http://babelnet.org/rdf/s00054972n	http://dbpedia.org/resource/Officer_(armed_forces)
residence	356,365	bn:00000355n	http://babelnet.org/rdf/s00000355n	null
black males	376,387	bn:00010820n	http://babelnet.org/rdf/s00010820n	http://dbpedia.org/resource/Black_people
entered	388,395	bn:00085363v	http://babelnet.org/rdf/s00085363v	null
armed	396,401	bn:00082764v	http://babelnet.org/rdf/s00082764v	null
handguns	407,415	bn:00042808n	http://babelnet.org/rdf/s00042808n	http://dbpedia.org/resource/Handgun
attempting	416,426	bn:00082844v	http://babelnet.org/rdf/s00082844v	null
rob	430,433	bn:00093070v	http://babelnet.org/rdf/s00093070v	null
advised	448,455	bn:00082416v	http://babelnet.org/rdf/s00082416v	null
struggled	459,468	bn:00088159v	http://babelnet.org/rdf/s00088159v	null
males	485,490	bn:00001533n	http://babelnet.org/rdf/s00001533n	http://dbpedia.org/resource/Man
control	495,502	bn:00022283n	http://babelnet.org/rdf/s00022283n	null
handgun	508,515	bn:00042808n	http://babelnet.org/rdf/s00042808n	http://dbpedia.org/resource/Handgun
shot	524,528	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
said	539,543	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
fled	547,551	bn:00088291v	http://babelnet.org/rdf/s00088291v	null
residence	556,565	bn:00000355n	http://babelnet.org/rdf/s00000355n	null
leaving	566,573	bn:00088939v	http://babelnet.org/rdf/s00088939v	null
males	583,588	bn:00001533n	http://babelnet.org/rdf/s00001533n	http://dbpedia.org/resource/Man
inside	589,595	bn:00115906r	http://babelnet.org/rdf/s00115906r	null
Winston	599,606	bn:02538414n	http://babelnet.org/rdf/s02538414n	http://dbpedia.org/resource/Winston_(horse)
Salem Police Department	609,632	bn:17244739n	http://babelnet.org/rdf/s17244739n	http://dbpedia.org/resource/Salem_Police_Department_(Massachusetts)
Criminal Investigation	633,655	bn:03314720n	http://babelnet.org/rdf/s03314720n	http://dbpedia.org/resource/Criminal_investigation
Division	656,664	bn:00027911n	http://babelnet.org/rdf/s00027911n	http://dbpedia.org/resource/Division_(military)
Patrol	667,673	bn:00061041n	http://babelnet.org/rdf/s00061041n	http://dbpedia.org/resource/Patrol
Special Operations Division	676,703	bn:01136396n	http://babelnet.org/rdf/s01136396n	http://dbpedia.org/resource/Special_Operations_Division_(Bundeswehr)
Special Weapons and Tactics	708,735	bn:00073203n	http://babelnet.org/rdf/s00073203n	http://dbpedia.org/resource/SWAT
personnel	736,745	bn:00035770n	http://babelnet.org/rdf/s00035770n	null
responded	746,755	bn:00092421v	http://babelnet.org/rdf/s00092421v	null
scene	763,768	bn:03215231n	http://babelnet.org/rdf/s03215231n	http://dbpedia.org/resource/BDSM
establishing	769,781	bn:00087732v	http://babelnet.org/rdf/s00087732v	null
protective	784,794	bn:00109142a	http://babelnet.org/rdf/s00109142a	null
perimeter	795,804	bn:01070064n	http://babelnet.org/rdf/s01070064n	http://dbpedia.org/resource/Perimeter_(video_game)
residence	816,825	bn:00000355n	http://babelnet.org/rdf/s00000355n	null
Police	828,834	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
efforts	835,842	bn:00029899n	http://babelnet.org/rdf/s00029899n	http://dbpedia.org/resource/Exertion
included	843,851	bn:00089660v	http://babelnet.org/rdf/s00089660v	null
surrounding	869,880	bn:00083797v	http://babelnet.org/rdf/s00083797v	null
streets	881,888	bn:00074595n	http://babelnet.org/rdf/s00074595n	http://dbpedia.org/resource/Street
approximately	893,906	bn:00114073r	http://babelnet.org/rdf/s00114073r	null
minutes	910,917	bn:00055094n	http://babelnet.org/rdf/s00055094n	http://dbpedia.org/resource/Minute
officers	924,932	bn:00054972n	http://babelnet.org/rdf/s00054972n	http://dbpedia.org/resource/Officer_(armed_forces)
searched	933,941	bn:00090460v	http://babelnet.org/rdf/s00090460v	null
armed	950,955	bn:00097496a	http://babelnet.org/rdf/s00097496a	null
males	956,961	bn:00001533n	http://babelnet.org/rdf/s00001533n	http://dbpedia.org/resource/Man
males	968,973	bn:00001533n	http://babelnet.org/rdf/s00001533n	http://dbpedia.org/resource/Man
located	983,990	bn:00106113a	http://babelnet.org/rdf/s00106113a	null
transported	1014,1025	bn:00084554v	http://babelnet.org/rdf/s00084554v	null
North Carolina	1029,1043	bn:00057100n	http://babelnet.org/rdf/s00057100n	http://dbpedia.org/resource/North_Carolina
Baptist	1044,1051	bn:00008459n	http://babelnet.org/rdf/s00008459n	http://dbpedia.org/resource/Baptists
Medical Center	1052,1066	bn:00054109n	http://babelnet.org/rdf/s00054109n	null
treated	1080,1087	bn:00087116v	http://babelnet.org/rdf/s00087116v	null
later	1092,1097	bn:00114165r	http://babelnet.org/rdf/s00114165r	null
released	1098,1106	bn:00090297v	http://babelnet.org/rdf/s00090297v	null
life	1119,1123	bn:00051045n	http://babelnet.org/rdf/s00051045n	null
threatening	1124,1135	bn:00094927v	http://babelnet.org/rdf/s00094927v	null
injury	1136,1142	bn:00043011n	http://babelnet.org/rdf/s00043011n	http://dbpedia.org/resource/Harm
Investigators	1146,1159	bn:00026633n	http://babelnet.org/rdf/s00026633n	http://dbpedia.org/resource/Detective
incident	1168,1176	bn:00046282n	http://babelnet.org/rdf/s00046282n	null
established	1177,1188	bn:00087732v	http://babelnet.org/rdf/s00087732v	null
Anthony Earl	1194,1206	bn:00387851n	http://babelnet.org/rdf/s00387851n	http://dbpedia.org/resource/Tony_Earl
Earl Johnson	1202,1214	bn:00797595n	http://babelnet.org/rdf/s00797595n	http://dbpedia.org/resource/Earl_Johnson_(baseball)
fabricated	1215,1225	bn:00085788v	http://babelnet.org/rdf/s00085788v	null
report	1230,1236	bn:00067181n	http://babelnet.org/rdf/s00067181n	http://dbpedia.org/resource/Report
shot	1246,1250	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
attempted	1261,1270	bn:00082844v	http://babelnet.org/rdf/s00082844v	null
armed robbery	1271,1284	bn:00005736n	http://babelnet.org/rdf/s00005736n	null
attempt	1288,1295	bn:00082844v	http://babelnet.org/rdf/s00082844v	null
conceal	1299,1306	bn:00085509v	http://babelnet.org/rdf/s00085509v	null
shot	1319,1323	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
