Teenager	12,20	bn:00001480n	http://babelnet.org/rdf/s00001480n	null
Shot	21,25	bn:00071206n	http://babelnet.org/rdf/s00071206n	null
Restaurant	41,51	bn:00029545n	http://babelnet.org/rdf/s00029545n	http://dbpedia.org/resource/Restaurant
UPDATE	54,60	bn:00079238n	http://babelnet.org/rdf/s00079238n	null
official	83,91	bn:00107770a	http://babelnet.org/rdf/s00107770a	null
tells	92,97	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
News	98,102	bn:00047028n	http://babelnet.org/rdf/s00047028n	null
victim	109,115	bn:00079940n	http://babelnet.org/rdf/s00079940n	null
shot	120,124	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
parking lot	132,143	bn:00015795n	http://babelnet.org/rdf/s00015795n	http://dbpedia.org/resource/Parking_lot
right	163,168	bn:00031712n	http://babelnet.org/rdf/s00031712n	http://dbpedia.org/resource/Ethics
store	174,179	bn:00071215n	http://babelnet.org/rdf/s00071215n	null
Chevron	187,194	bn:02215273n	http://babelnet.org/rdf/s02215273n	http://dbpedia.org/resource/Chevron_Corporation
station	195,202	bn:00074049n	http://babelnet.org/rdf/s00074049n	null
Dauphin Island	211,225	bn:00168186n	http://babelnet.org/rdf/s00168186n	http://dbpedia.org/resource/Dauphin_Island,_Alabama
Parkway	226,233	bn:00028786n	http://babelnet.org/rdf/s00028786n	http://dbpedia.org/resource/Parkway
victim	240,246	bn:00079940n	http://babelnet.org/rdf/s00079940n	null
old	261,264	bn:00107786a	http://babelnet.org/rdf/s00107786a	null
current	271,278	bn:00100790a	http://babelnet.org/rdf/s00100790a	null
condition	279,288	bn:00021644n	http://babelnet.org/rdf/s00021644n	null
unknown	292,299	bn:00112923a	http://babelnet.org/rdf/s00112923a	null
clerk	304,309	bn:00019735n	http://babelnet.org/rdf/s00019735n	http://dbpedia.org/resource/Clerk
gas station	317,328	bn:00034468n	http://babelnet.org/rdf/s00034468n	http://dbpedia.org/resource/Filling_station
said	329,333	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
shooter	338,345	bn:00071203n	http://babelnet.org/rdf/s00071203n	null
victim	354,360	bn:00079940n	http://babelnet.org/rdf/s00079940n	null
stopped	361,368	bn:00089154v	http://babelnet.org/rdf/s00089154v	null
convenience store	376,393	bn:00022327n	http://babelnet.org/rdf/s00022327n	http://dbpedia.org/resource/Convenience_store
incident	414,422	bn:02612327n	http://babelnet.org/rdf/s02612327n	http://dbpedia.org/resource/Graph_(mathematics)
ORIGINAL	426,434	bn:00053715n	http://babelnet.org/rdf/s00053715n	null
STORY	435,440	bn:00056857n	http://babelnet.org/rdf/s00056857n	http://dbpedia.org/resource/Narration
Mobile , AL	442,453	bn:01369952n	http://babelnet.org/rdf/s01369952n	http://dbpedia.org/resource/Mobile,_Alabama
Sunday night	460,472	bn:01374916n	http://babelnet.org/rdf/s01374916n	http://dbpedia.org/resource/Sunday_Night_(Australian_TV_program)
News	473,477	bn:00047028n	http://babelnet.org/rdf/s00047028n	null
received	480,488	bn:00089246v	http://babelnet.org/rdf/s00089246v	null
word	489,493	bn:00081546n	http://babelnet.org/rdf/s00081546n	http://dbpedia.org/resource/Word
gunshots	499,507	bn:00042242n	http://babelnet.org/rdf/s00042242n	http://dbpedia.org/resource/Gunshot
heard	513,518	bn:00089277v	http://babelnet.org/rdf/s00089277v	null
Chevron	526,533	bn:02215273n	http://babelnet.org/rdf/s02215273n	http://dbpedia.org/resource/Chevron_Corporation
gas station	534,545	bn:00034468n	http://babelnet.org/rdf/s00034468n	http://dbpedia.org/resource/Filling_station
located	546,553	bn:00106113a	http://babelnet.org/rdf/s00106113a	null
Dauphin Island	557,571	bn:00168186n	http://babelnet.org/rdf/s00168186n	http://dbpedia.org/resource/Dauphin_Island,_Alabama
Parkway	572,579	bn:00028786n	http://babelnet.org/rdf/s00028786n	http://dbpedia.org/resource/Parkway
crews	592,597	bn:00023774n	http://babelnet.org/rdf/s00023774n	null
arrived	598,605	bn:00082788v	http://babelnet.org/rdf/s00082788v	null
scene	613,618	bn:00069550n	http://babelnet.org/rdf/s00069550n	null
Mobile	619,625	bn:00017029n	http://babelnet.org/rdf/s00017029n	http://dbpedia.org/resource/Mobile_phone
Police Officers	626,641	bn:00058698n	http://babelnet.org/rdf/s00058698n	http://dbpedia.org/resource/Police_officer
said	642,646	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
releasing	661,670	bn:00084099v	http://babelnet.org/rdf/s00084099v	null
information	675,686	bn:00046705n	http://babelnet.org/rdf/s00046705n	http://dbpedia.org/resource/Information
time	695,699	bn:00077270n	http://babelnet.org/rdf/s00077270n	http://dbpedia.org/resource/Time
Witnesses	703,712	bn:00046703n	http://babelnet.org/rdf/s00046703n	null
told	713,717	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
crews	722,727	bn:00023774n	http://babelnet.org/rdf/s00023774n	null
unidentified	736,748	bn:00112838a	http://babelnet.org/rdf/s00112838a	null
male	749,753	bn:00001533n	http://babelnet.org/rdf/s00001533n	http://dbpedia.org/resource/Man
shot	758,762	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
sustained	767,776	bn:00082434v	http://babelnet.org/rdf/s00082434v	null
life	783,787	bn:00051045n	http://babelnet.org/rdf/s00051045n	null
threatening	788,799	bn:00087612v	http://babelnet.org/rdf/s00087612v	null
injures	800,807	bn:00089751v	http://babelnet.org/rdf/s00089751v	null
update	819,825	bn:00095450v	http://babelnet.org/rdf/s00095450v	null
story	831,836	bn:00056857n	http://babelnet.org/rdf/s00056857n	http://dbpedia.org/resource/Narration
information	845,856	bn:00046705n	http://babelnet.org/rdf/s00046705n	http://dbpedia.org/resource/Information
available	865,874	bn:00097846a	http://babelnet.org/rdf/s00097846a	null
