Old Boy	22,29	bn:00058803n	http://babelnet.org/rdf/s00058803n	null
Walking	43,50	bn:00095597v	http://babelnet.org/rdf/s00095597v	null
Home	51,55	bn:00000356n	http://babelnet.org/rdf/s00000356n	http://dbpedia.org/resource/Home
School	61,67	bn:00069619n	http://babelnet.org/rdf/s00069619n	http://dbpedia.org/resource/School
South L.A.	71,81	bn:01331341n	http://babelnet.org/rdf/s01331341n	http://dbpedia.org/resource/South_Los_Angeles
Family	93,99	bn:00032893n	http://babelnet.org/rdf/s00032893n	http://dbpedia.org/resource/Family
enable	109,115	bn:00087587v	http://babelnet.org/rdf/s00087587v	null
Javascript	116,126	bn:00055423n	http://babelnet.org/rdf/s00055423n	http://dbpedia.org/resource/JavaScript
watch	130,135	bn:00095665v	http://babelnet.org/rdf/s00095665v	null
video	141,146	bn:00076373n	http://babelnet.org/rdf/s00076373n	http://dbpedia.org/resource/Television
old boy	160,167	bn:00058803n	http://babelnet.org/rdf/s00058803n	null
killed	168,174	bn:00090098v	http://babelnet.org/rdf/s00090098v	null
triple	184,190	bn:00111755a	http://babelnet.org/rdf/s00111755a	null
shooting	191,199	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
neighborhood	225,237	bn:00051758n	http://babelnet.org/rdf/s00051758n	http://dbpedia.org/resource/Neighbourhood
South Los Angeles	241,258	bn:01331341n	http://babelnet.org/rdf/s01331341n	http://dbpedia.org/resource/South_Los_Angeles
Tuesday afternoon	259,276	bn:00844586n	http://babelnet.org/rdf/s00844586n	http://dbpedia.org/resource/Tuesday_Afternoon
identified	281,291	bn:00089574v	http://babelnet.org/rdf/s00089574v	null
Cleveland Jr.	301,314	bn:03314079n	http://babelnet.org/rdf/s03314079n	http://dbpedia.org/resource/Cleveland_Brown,_Jr.
mother	322,328	bn:00034027n	http://babelnet.org/rdf/s00034027n	http://dbpedia.org/resource/Mother
Wednesday	332,341	bn:00054897n	http://babelnet.org/rdf/s00054897n	http://dbpedia.org/resource/Wednesday
mother	357,363	bn:00034027n	http://babelnet.org/rdf/s00034027n	http://dbpedia.org/resource/Mother
speaking	366,374	bn:00090943v	http://babelnet.org/rdf/s00090943v	null
reporters	378,387	bn:00057562n	http://babelnet.org/rdf/s00057562n	null
family	400,406	bn:00032893n	http://babelnet.org/rdf/s00032893n	http://dbpedia.org/resource/Family
home	410,414	bn:00000356n	http://babelnet.org/rdf/s00000356n	http://dbpedia.org/resource/Home
said	417,421	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
son	426,429	bn:00051877n	http://babelnet.org/rdf/s00051877n	http://dbpedia.org/resource/Logos
walking	434,441	bn:00095597v	http://babelnet.org/rdf/s00095597v	null
home	442,446	bn:00000356n	http://babelnet.org/rdf/s00000356n	http://dbpedia.org/resource/Home
school	452,458	bn:00069619n	http://babelnet.org/rdf/s00069619n	http://dbpedia.org/resource/School
shot	471,475	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
gunfire	482,489	bn:00042242n	http://babelnet.org/rdf/s00042242n	http://dbpedia.org/resource/Gunshot
shots	501,506	bn:00071206n	http://babelnet.org/rdf/s00071206n	null
reported	514,522	bn:00082233v	http://babelnet.org/rdf/s00082233v	null
intersection	532,544	bn:00047215n	http://babelnet.org/rdf/s00047215n	http://dbpedia.org/resource/Intersection
Vermont Avenue	548,562	bn:03146248n	http://babelnet.org/rdf/s03146248n	http://dbpedia.org/resource/Vermont_Avenue
60th Street	567,578	bn:03480323n	http://babelnet.org/rdf/s03480323n	http://dbpedia.org/resource/60th_Street_(SEPTA_station)
p.m.	590,594	bn:00116519r	http://babelnet.org/rdf/s00116519r	null
according	597,606	bn:00082228v	http://babelnet.org/rdf/s00082228v	null
LAPD	610,614	bn:01484860n	http://babelnet.org/rdf/s01484860n	http://dbpedia.org/resource/Los_Angeles_Police_Department
