Man	12,15	bn:00044576n	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
Accidentally	16,28	bn:00000690n	http://babelnet.org/rdf/s00000690n	http://dbpedia.org/resource/Accident
Shoots	29,35	bn:00071199n	http://babelnet.org/rdf/s00071199n	http://dbpedia.org/resource/Shoot
Self	36,40	bn:00029935n	http://babelnet.org/rdf/s00029935n	null
Leg	44,47	bn:00050541n	http://babelnet.org/rdf/s00050541n	http://dbpedia.org/resource/Leg
New	54,57	bn:01734858n	http://babelnet.org/rdf/s01734858n	http://dbpedia.org/resource/New_(surname)
Gun	58,61	bn:00042221n	http://babelnet.org/rdf/s00042221n	http://dbpedia.org/resource/Gun
Purchase	62,70	bn:00065265n	http://babelnet.org/rdf/s00065265n	null
Copyright	73,82	bn:00022536n	http://babelnet.org/rdf/s00022536n	http://dbpedia.org/resource/Copyright
Broadcasting	96,108	bn:00082493v	http://babelnet.org/rdf/s00082493v	null
Inc	111,114	bn:01879020n	http://babelnet.org/rdf/s01879020n	http://dbpedia.org/resource/Inc._(magazine)
rights	120,126	bn:00067807n	http://babelnet.org/rdf/s00067807n	http://dbpedia.org/resource/Rights
reserved	127,135	bn:00092878v	http://babelnet.org/rdf/s00092878v	null
material	143,151	bn:00019980n	http://babelnet.org/rdf/s00019980n	http://dbpedia.org/resource/Textile
published	163,172	bn:00084099v	http://babelnet.org/rdf/s00084099v	null
broadcast	175,184	bn:00013234n	http://babelnet.org/rdf/s00013234n	null
rewritten	187,196	bn:00092998v	http://babelnet.org/rdf/s00092998v	null
redistributed	202,215	bn:00092580v	http://babelnet.org/rdf/s00092580v	null
SANDY , Utah	219,231	bn:00573702n	http://babelnet.org/rdf/s00573702n	http://dbpedia.org/resource/Sandy,_Utah
ABC4	234,238	bn:03542261n	http://babelnet.org/rdf/s03542261n	http://dbpedia.org/resource/ABC4
Utah	239,243	bn:00009584n	http://babelnet.org/rdf/s00009584n	http://dbpedia.org/resource/Utah
old man	258,265	bn:00041536n	http://babelnet.org/rdf/s00041536n	http://dbpedia.org/resource/Greybeard
recovering	269,279	bn:00085750v	http://babelnet.org/rdf/s00085750v	null
police	286,292	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
say	293,296	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
accidentally	300,312	bn:00114102r	http://babelnet.org/rdf/s00114102r	null
shot	313,317	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
thigh	333,338	bn:00076911n	http://babelnet.org/rdf/s00076911n	http://dbpedia.org/resource/Thigh
happened	345,353	bn:00085337v	http://babelnet.org/rdf/s00085337v	null
a.m.	367,371	bn:00943015n	http://babelnet.org/rdf/s00943015n	http://dbpedia.org/resource/Andrew_Moore_(musician)
Wednesday	372,381	bn:00054897n	http://babelnet.org/rdf/s00054897n	http://dbpedia.org/resource/Wednesday
Scheel	389,395	bn:01083758n	http://babelnet.org/rdf/s01083758n	http://dbpedia.org/resource/Scheel
parking lot	399,410	bn:00015795n	http://babelnet.org/rdf/s00015795n	http://dbpedia.org/resource/Parking_lot
State	433,438	bn:00023236n	http://babelnet.org/rdf/s00023236n	http://dbpedia.org/resource/State_(polity)
Lt	448,450	bn:03312078n	http://babelnet.org/rdf/s03312078n	http://dbpedia.org/resource/LT_(car)
Dean	453,457	bn:00025571n	http://babelnet.org/rdf/s00025571n	null
Police Department	478,495	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
said	496,500	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
just	508,512	bn:00114626r	http://babelnet.org/rdf/s00114626r	null
purchased	513,522	bn:00084331v	http://babelnet.org/rdf/s00084331v	null
weapon	527,533	bn:00005704n	http://babelnet.org/rdf/s00005704n	http://dbpedia.org/resource/Weapon
gun	552,555	bn:00042221n	http://babelnet.org/rdf/s00042221n	http://dbpedia.org/resource/Gun
vehicle	567,574	bn:00079675n	http://babelnet.org/rdf/s00079675n	http://dbpedia.org/resource/Vehicle
parking lot	582,593	bn:00015795n	http://babelnet.org/rdf/s00015795n	http://dbpedia.org/resource/Parking_lot
time	605,609	bn:00077270n	http://babelnet.org/rdf/s00077270n	http://dbpedia.org/resource/Time
loaded	613,619	bn:00084812v	http://babelnet.org/rdf/s00084812v	null
handgun	624,631	bn:00042808n	http://babelnet.org/rdf/s00042808n	http://dbpedia.org/resource/Handgun
attempted	636,645	bn:00082906v	http://babelnet.org/rdf/s00082906v	null
gun	658,661	bn:00042221n	http://babelnet.org/rdf/s00042221n	http://dbpedia.org/resource/Gun
holster	667,674	bn:00044463n	http://babelnet.org/rdf/s00044463n	http://dbpedia.org/resource/Handgun_holster
gun	697,700	bn:00042221n	http://babelnet.org/rdf/s00042221n	http://dbpedia.org/resource/Gun
discharged	701,711	bn:00085477v	http://babelnet.org/rdf/s00085477v	null
shooting	714,722	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
right	734,739	bn:00109848a	http://babelnet.org/rdf/s00109848a	null
