Teen	12,16	bn:00001480n	Concept	[wn:09772029n]	http://babelnet.org/rdf/s00001480n	null
fair	20,24	bn:00102719a	Concept	[wn:00956131a]	http://babelnet.org/rdf/s00102719a	null
condition	25,34	bn:00021644n	Concept	[wn:13920835n]	http://babelnet.org/rdf/s00021644n	null
following	35,44	bn:00088428v	Concept	[wn:02455407v]	http://babelnet.org/rdf/s00088428v	null
accidental	45,55	bn:00096263a	Concept	[wn:01338909a]	http://babelnet.org/rdf/s00096263a	null
shooting	56,64	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
Reno County	68,79	bn:03854295n	Named Entity	[]	http://babelnet.org/rdf/s03854295n	http://dbpedia.org/resource/Reno_County,_Kansas
UPDATE	82,88	bn:00079238n	Concept	[wn:06643303n]	http://babelnet.org/rdf/s00079238n	null
Reno County	106,117	bn:03854295n	Named Entity	[]	http://babelnet.org/rdf/s03854295n	http://dbpedia.org/resource/Reno_County,_Kansas
County Sheriff	111,125	bn:03786221n	Concept	[]	http://babelnet.org/rdf/s03786221n	http://dbpedia.org/resource/Sheriff
Office	129,135	bn:00001961n	Concept	[wn:08337324n]	http://babelnet.org/rdf/s00001961n	http://dbpedia.org/resource/Government_agency
says	136,140	bn:00093287v	Concept	[wn:01009240v]	http://babelnet.org/rdf/s00093287v	null
teen	143,147	bn:00001480n	Concept	[wn:09772029n]	http://babelnet.org/rdf/s00001480n	null
accidentally	156,168	bn:00114102r	Concept	[wn:00040547r]	http://babelnet.org/rdf/s00114102r	null
shot	169,173	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
chest	181,186	bn:00018207n	Concept	[wn:05552607n]	http://babelnet.org/rdf/s00018207n	http://dbpedia.org/resource/Thorax
weekend	196,203	bn:00080816n	Concept	[wn:15170504n]	http://babelnet.org/rdf/s00080816n	http://dbpedia.org/resource/Workweek_and_weekend
fair	214,218	bn:00102719a	Concept	[wn:00956131a]	http://babelnet.org/rdf/s00102719a	null
condition	219,228	bn:00021644n	Concept	[wn:13920835n]	http://babelnet.org/rdf/s00021644n	null
According	232,241	bn:00082227v	Concept	[wn:02700104v]	http://babelnet.org/rdf/s00082227v	null
sheriff	249,256	bn:00071038n	Concept	[wn:10589140n]	http://babelnet.org/rdf/s00071038n	http://dbpedia.org/resource/Sheriffs_in_the_United_States
office , the	260,272	bn:02352929n	Named Entity	[]	http://babelnet.org/rdf/s02352929n	http://dbpedia.org/resource/The_Office_(U.S._TV_series)
teen	273,277	bn:00001480n	Concept	[wn:09772029n]	http://babelnet.org/rdf/s00001480n	null
remains	278,285	bn:00085719v	Concept	[wn:02727462v]	http://babelnet.org/rdf/s00085719v	null
Intensive Care Unit	293,312	bn:00045793n	Concept	[wn:08146593n]	http://babelnet.org/rdf/s00045793n	http://dbpedia.org/resource/Intensive_care_unit
looking	320,327	bn:00090448v	Concept	[wn:02130524v]	http://babelnet.org/rdf/s00090448v	null
surgery	339,346	bn:00075397n	Concept	[wn:06063588n]	http://babelnet.org/rdf/s00075397n	null
days	363,367	bn:00000086n	Concept	[wn:15155220n]	http://babelnet.org/rdf/s00000086n	http://dbpedia.org/resource/Day
expected	380,388	bn:00082665v	Concept	[wn:00719734v]	http://babelnet.org/rdf/s00082665v	null
full	399,403	bn:00103391a	Concept	[wn:01083157a]	http://babelnet.org/rdf/s00103391a	null
recovery	404,412	bn:00066597n	Concept	[wn:07419792n]	http://babelnet.org/rdf/s00066597n	null
Investigators	416,429	bn:00047356n	Concept	[wn:10523076n]	http://babelnet.org/rdf/s00047356n	null
looking into	440,452	bn:00089885v	Concept	[wn:00789138v]	http://babelnet.org/rdf/s00089885v	null
aspects	457,464	bn:00006382n	Concept	[wn:05850624n]	http://babelnet.org/rdf/s00006382n	null
case	472,476	bn:00016401n	Concept	[wn:07308889n]	http://babelnet.org/rdf/s00016401n	null
clear	486,491	bn:00099802a	Concept	[wn:00428404a]	http://babelnet.org/rdf/s00099802a	null
idea	492,496	bn:00045800n	Concept	[wn:05833840n]	http://babelnet.org/rdf/s00045800n	http://dbpedia.org/resource/Idea
happened	505,513	bn:00085337v	Concept	[wn:00339934v]	http://babelnet.org/rdf/s00085337v	null
shooting	527,535	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
investigation	548,561	bn:00047354n	Concept	[wn:00633864n]	http://babelnet.org/rdf/s00047354n	null
complete	565,573	bn:00100144a	Concept	[wn:00520214a]	http://babelnet.org/rdf/s00100144a	null
reports	580,587	bn:00067181n	Concept	[wn:07218470n]	http://babelnet.org/rdf/s00067181n	http://dbpedia.org/resource/Report
forwarded	596,605	bn:00088506v	Concept	[wn:01955508v]	http://babelnet.org/rdf/s00088506v	null
Reno County	613,624	bn:03854295n	Named Entity	[]	http://babelnet.org/rdf/s03854295n	http://dbpedia.org/resource/Reno_County,_Kansas
District Attorney	625,642	bn:00024945n	Concept	[wn:10019072n]	http://babelnet.org/rdf/s00024945n	http://dbpedia.org/resource/District_attorney
Office	646,652	bn:00001961n	Concept	[wn:08337324n]	http://babelnet.org/rdf/s00001961n	http://dbpedia.org/resource/Government_agency
review	657,663	bn:00066433n	Concept	[wn:05747582n]	http://babelnet.org/rdf/s00066433n	null
determination	668,681	bn:00026650n	Concept	[wn:00151497n]	http://babelnet.org/rdf/s00026650n	null
criminal charges	693,709	bn:00017790n	Concept	[wn:06561942n]	http://babelnet.org/rdf/s00017790n	http://dbpedia.org/resource/Criminal_charge
filed	718,723	bn:00088164v	Concept	[wn:01001857v]	http://babelnet.org/rdf/s00088164v	null
Captain	727,734	bn:00015749n	Concept	[wn:09893191n]	http://babelnet.org/rdf/s00015749n	http://dbpedia.org/resource/Captain_(armed_forces)
Steve	735,740	bn:02142038n	Named Entity	[]	http://babelnet.org/rdf/s02142038n	http://dbpedia.org/resource/Minecraft
Lutz	741,745	bn:01780073n	Concept	[]	http://babelnet.org/rdf/s01780073n	http://dbpedia.org/resource/Lutz
sheriff	755,762	bn:00071038n	Concept	[wn:10589140n]	http://babelnet.org/rdf/s00071038n	http://dbpedia.org/resource/Sheriffs_in_the_United_States
office	766,772	bn:00001961n	Concept	[wn:08337324n]	http://babelnet.org/rdf/s00001961n	http://dbpedia.org/resource/Government_agency
says	773,777	bn:00093287v	Concept	[wn:01009240v]	http://babelnet.org/rdf/s00093287v	null
safety	778,784	bn:00068799n	Concept	[wn:14538472n]	http://babelnet.org/rdf/s00068799n	http://dbpedia.org/resource/Safety
utmost	795,801	bn:00102658a	Concept	[wn:01511520a]	http://babelnet.org/rdf/s00102658a	null
importance	802,812	bn:00046143n	Concept	[wn:05168261n]	http://babelnet.org/rdf/s00046143n	null
dealing	818,825	bn:00082339v	Concept	[wn:01033527v]	http://babelnet.org/rdf/s00082339v	null
weapon	835,841	bn:00005704n	Concept	[wn:04565375n]	http://babelnet.org/rdf/s00005704n	http://dbpedia.org/resource/Weapon
People	847,853	bn:00061450n	Concept	[wn:07942152n]	http://babelnet.org/rdf/s00061450n	http://dbpedia.org/resource/People
continue	861,869	bn:00085714v	Concept	[wn:02684924v]	http://babelnet.org/rdf/s00085714v	null
handle	873,879	bn:00084527v	Concept	[wn:02436349v]	http://babelnet.org/rdf/s00084527v	null
firearm	884,891	bn:00034676n	Concept	[wn:03343853n]	http://babelnet.org/rdf/s00034676n	http://dbpedia.org/resource/Firearm
loaded	906,912	bn:00084812v	Concept	[wn:01490336v]	http://babelnet.org/rdf/s00084812v	null
keep	924,928	bn:00089384v	Concept	[wn:02681795v]	http://babelnet.org/rdf/s00089384v	null
pointed	934,941	bn:00108738a	Concept	[wn:00765862a]	http://babelnet.org/rdf/s00108738a	null
safe	947,951	bn:00110046a	Concept	[wn:02057829a]	http://babelnet.org/rdf/s00110046a	null
direction	952,961	bn:00027352n	Concept	[wn:08679972n]	http://babelnet.org/rdf/s00027352n	null
said	966,970	bn:00093287v	Concept	[wn:01009240v]	http://babelnet.org/rdf/s00093287v	null
Lutz	971,975	bn:01780073n	Concept	[]	http://babelnet.org/rdf/s01780073n	http://dbpedia.org/resource/Lutz
release	981,988	bn:00067023n	Concept	[wn:04073208n]	http://babelnet.org/rdf/s00067023n	http://dbpedia.org/resource/Release_(music)
