Homicide detectives	12,31	bn:00026633n	Concept	[wn:10009276n]	http://babelnet.org/rdf/s00026633n	http://dbpedia.org/resource/Detective
route	35,40	bn:00067975n	Concept	[wn:04096066n]	http://babelnet.org/rdf/s00067975n	http://dbpedia.org/resource/Road
shooting	44,52	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
investigation	53,66	bn:00047355n	Concept	[wn:05800611n]	http://babelnet.org/rdf/s00047355n	null
LAS VEGAS	69,78	bn:00050064n	Named Entity	[wn:09110939n]	http://babelnet.org/rdf/s00050064n	http://dbpedia.org/resource/Las_Vegas
old	93,96	bn:00107786a	Concept	[wn:01643620a]	http://babelnet.org/rdf/s00107786a	null
chased	97,103	bn:00084831v	Concept	[wn:02001858v]	http://babelnet.org/rdf/s00084831v	null
gunned down	108,119	bn:00089123v	Concept	[wn:01136964v]	http://babelnet.org/rdf/s00089123v	null
fight	128,133	bn:00009078n	Concept	[wn:00953559n]	http://babelnet.org/rdf/s00009078n	http://dbpedia.org/resource/Engagement_(military)
basketball court	139,155	bn:00008893n	Concept	[wn:02802544n]	http://babelnet.org/rdf/s00008893n	http://dbpedia.org/resource/Basketball_court
identified	165,175	bn:00089574v	Concept	[wn:00618878v]	http://babelnet.org/rdf/s00089574v	null
Tiris	179,184	bn:02279012n	Named Entity	[]	http://babelnet.org/rdf/s02279012n	http://dbpedia.org/resource/Tiri,_Estonia
Jr.	193,196	bn:00030100n	Concept	[wn:10048218n]	http://babelnet.org/rdf/s00030100n	http://dbpedia.org/resource/Suffix_(name)
Las Vegas	202,211	bn:00050064n	Named Entity	[wn:09110939n]	http://babelnet.org/rdf/s00050064n	http://dbpedia.org/resource/Las_Vegas
Clark County Coroner	219,239	bn:03266385n	Named Entity	[]	http://babelnet.org/rdf/s03266385n	http://dbpedia.org/resource/Clark_County,_Nevada
Office	243,249	bn:00001961n	Concept	[wn:08337324n]	http://babelnet.org/rdf/s00001961n	http://dbpedia.org/resource/Government_agency
Homicide detectives	253,272	bn:00026633n	Concept	[wn:10009276n]	http://babelnet.org/rdf/s00026633n	http://dbpedia.org/resource/Detective
investigating	277,290	bn:00087655v	Concept	[wn:00785962v]	http://babelnet.org/rdf/s00087655v	null
shooting	295,303	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
Lake Mead	309,318	bn:00049721n	Named Entity	[wn:03634189n]	http://babelnet.org/rdf/s00049721n	http://dbpedia.org/resource/Lake_Mead
MLK	323,326	bn:01282264n	Named Entity	[]	http://babelnet.org/rdf/s01282264n	http://dbpedia.org/resource/Martin_Luther_King,_Jr.
boulevards	327,337	bn:00007448n	Concept	[wn:02763472n]	http://babelnet.org/rdf/s00007448n	http://dbpedia.org/resource/Avenue_(landscape)
left	343,347	bn:00088939v	Concept	[wn:02009433v]	http://babelnet.org/rdf/s00088939v	null
dead	356,360	bn:00100948a	Concept	[wn:00095280a]	http://babelnet.org/rdf/s00100948a	null
According	364,373	bn:00082227v	Concept	[wn:02700104v]	http://babelnet.org/rdf/s00082227v	null
Metro	377,382	bn:00053680n	Concept	[wn:04054213n]	http://babelnet.org/rdf/s00053680n	http://dbpedia.org/resource/Rapid_transit
