Father	12,18	bn:00009616n	Concept	[wn:10080869n]	http://babelnet.org/rdf/s00009616n	http://dbpedia.org/resource/Father
saves	19,24	bn:00092745v	Concept	[wn:02550868v]	http://babelnet.org/rdf/s00092745v	null
son	25,28	bn:00051877n	Named Entity	[wn:09537144n]	http://babelnet.org/rdf/s00051877n	http://dbpedia.org/resource/Logos
kills	31,36	bn:00090098v	Concept	[wn:01323958v]	http://babelnet.org/rdf/s00090098v	null
intruder	37,45	bn:00047118n	Named Entity	[wn:10213652n]	http://babelnet.org/rdf/s00047118n	http://dbpedia.org/resource/Half-Life_(video_game)
Lemon Grove	49,60	bn:00050639n	Concept	[wn:03656011n]	http://babelnet.org/rdf/s00050639n	null
CBS News	63,71	bn:02944575n	Named Entity	[]	http://babelnet.org/rdf/s02944575n	http://dbpedia.org/resource/CBS_News
San Diego , CA	76,90	bn:00069101n	Named Entity	[wn:09065328n]	http://babelnet.org/rdf/s00069101n	http://dbpedia.org/resource/San_Diego
News	91,95	bn:00057546n	Concept	[wn:06681177n]	http://babelnet.org/rdf/s00057546n	http://dbpedia.org/resource/News
Station	96,103	bn:00074049n	Concept	[wn:04306080n]	http://babelnet.org/rdf/s00074049n	null
Channel	111,118	bn:00017686n	Concept	[wn:03006398n]	http://babelnet.org/rdf/s00017686n	http://dbpedia.org/resource/Television_channel
LEMON GROVE	123,134	bn:00050639n	Concept	[wn:03656011n]	http://babelnet.org/rdf/s00050639n	null
CNS	137,140	bn:00017184n	Concept	[wn:05480794n]	http://babelnet.org/rdf/s00017184n	http://dbpedia.org/resource/Central_nervous_system
suspect	147,154	bn:00025884n	Concept	[wn:09762101n]	http://babelnet.org/rdf/s00025884n	http://dbpedia.org/resource/Suspect
East County	161,172	bn:02440498n	Named Entity	[]	http://babelnet.org/rdf/s02440498n	http://dbpedia.org/resource/East_County,_San_Diego
home invasion	173,186	bn:00044509n	Concept	[wn:00785482n]	http://babelnet.org/rdf/s00044509n	http://dbpedia.org/resource/Home_invasion
ended	192,197	bn:00084711v	Concept	[wn:02609764v]	http://babelnet.org/rdf/s00084711v	null
shootout	203,211	bn:00042241n	Concept	[wn:00124617n]	http://babelnet.org/rdf/s00042241n	http://dbpedia.org/resource/Shootout
left	217,221	bn:00088939v	Concept	[wn:02009433v]	http://babelnet.org/rdf/s00088939v	null
accomplice	226,236	bn:00000722n	Concept	[wn:09761068n]	http://babelnet.org/rdf/s00000722n	http://dbpedia.org/resource/Accomplice
dead	237,241	bn:00100948a	Concept	[wn:00095280a]	http://babelnet.org/rdf/s00100948a	null
resident	248,256	bn:00109714a	Concept	[wn:02125409a]	http://babelnet.org/rdf/s00109714a	null
wounded	257,264	bn:00104411a	Concept	[wn:01318741a]	http://babelnet.org/rdf/s00104411a	null
remained	265,273	bn:00092756v	Concept	[wn:00117985v]	http://babelnet.org/rdf/s00092756v	null
