Boy	12,15	bn:00012569n	http://babelnet.org/rdf/s00012569n	http://dbpedia.org/resource/Boy
killed	23,29	bn:00090098v	http://babelnet.org/rdf/s00090098v	null
Plymouth	33,41	bn:01664779n	http://babelnet.org/rdf/s01664779n	http://dbpedia.org/resource/Plymouth
shooting	42,50	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
old boy	65,72	bn:00058803n	http://babelnet.org/rdf/s00058803n	null
shot	77,81	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
dead	82,86	bn:00100948a	http://babelnet.org/rdf/s00100948a	null
Friday	87,93	bn:00036512n	http://babelnet.org/rdf/s00036512n	http://dbpedia.org/resource/Friday
night	94,99	bn:00025236n	http://babelnet.org/rdf/s00025236n	http://dbpedia.org/resource/Night
Orange	114,120	bn:00059249n	http://babelnet.org/rdf/s00059249n	null
County Sheriff	121,135	bn:03786221n	http://babelnet.org/rdf/s03786221n	http://dbpedia.org/resource/Sheriff
Office	139,145	bn:00014169n	http://babelnet.org/rdf/s00014169n	null
Shane	151,156	bn:14413393n	http://babelnet.org/rdf/s14413393n	http://dbpedia.org/resource/Virgil_(wrestler)
said	167,171	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
happened	178,186	bn:00085337v	http://babelnet.org/rdf/s00085337v	null
p.m.	198,202	bn:01389062n	http://babelnet.org/rdf/s01389062n	http://dbpedia.org/resource/P.M._Dawn
block	215,220	bn:00011308n	http://babelnet.org/rdf/s00011308n	http://dbpedia.org/resource/Block_(district_subdivision)
Warren Sapp	224,235	bn:03335661n	http://babelnet.org/rdf/s03335661n	http://dbpedia.org/resource/Warren_Sapp
Drive	236,241	bn:00028777n	http://babelnet.org/rdf/s00028777n	null
said	254,258	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
Deputies	261,269	bn:00026425n	http://babelnet.org/rdf/s00026425n	null
responding	270,280	bn:00082646v	http://babelnet.org/rdf/s00082646v	null
report	286,292	bn:00067181n	http://babelnet.org/rdf/s00067181n	http://dbpedia.org/resource/Report
possible	298,306	bn:00108829a	http://babelnet.org/rdf/s00108829a	null
shooting	307,315	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
home	321,325	bn:00044994n	http://babelnet.org/rdf/s00044994n	http://dbpedia.org/resource/House
area	333,337	bn:00005513n	http://babelnet.org/rdf/s00005513n	http://dbpedia.org/resource/Area
found	338,343	bn:00084231v	http://babelnet.org/rdf/s00084231v	null
teen	348,352	bn:00001480n	http://babelnet.org/rdf/s00001480n	null
lying	353,358	bn:00090321v	http://babelnet.org/rdf/s00090321v	null
street	366,372	bn:00074595n	http://babelnet.org/rdf/s00074595n	http://dbpedia.org/resource/Street
gunshot wound	380,393	bn:00191195n	http://babelnet.org/rdf/s00191195n	http://dbpedia.org/resource/Ballistic_trauma
Medics	397,403	bn:00054102n	http://babelnet.org/rdf/s00054102n	http://dbpedia.org/resource/Medic
Orange County Fire Rescue	409,434	bn:00628831n	http://babelnet.org/rdf/s00628831n	http://dbpedia.org/resource/Orange_County_Fire_Rescue
pronounced	435,445	bn:00082800v	http://babelnet.org/rdf/s00082800v	null
unidentified	450,462	bn:00112838a	http://babelnet.org/rdf/s00112838a	null
victim	463,469	bn:00079940n	http://babelnet.org/rdf/s00079940n	null
dead	470,474	bn:00100948a	http://babelnet.org/rdf/s00100948a	null
scene	482,487	bn:00069550n	http://babelnet.org/rdf/s00069550n	null
said	500,504	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
suspect	511,518	bn:00025884n	http://babelnet.org/rdf/s00025884n	http://dbpedia.org/resource/Suspect
unknown	522,529	bn:00112923a	http://babelnet.org/rdf/s00112923a	null
additional	534,544	bn:00096432a	http://babelnet.org/rdf/s00096432a	null
details	545,552	bn:00026622n	http://babelnet.org/rdf/s00026622n	null
crime	560,565	bn:00023807n	http://babelnet.org/rdf/s00023807n	http://dbpedia.org/resource/Crime
limited	570,577	bn:00083834v	http://babelnet.org/rdf/s00083834v	null
facts	587,592	bn:00032654n	http://babelnet.org/rdf/s00032654n	null
circumstances	597,610	bn:00019218n	http://babelnet.org/rdf/s00019218n	null
leading	611,618	bn:00085567v	http://babelnet.org/rdf/s00085567v	null
shooting	629,637	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
unclear	642,649	bn:00104546a	http://babelnet.org/rdf/s00104546a	null
time	658,662	bn:00077270n	http://babelnet.org/rdf/s00077270n	http://dbpedia.org/resource/Time
said	677,681	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
Orange	686,692	bn:00059249n	http://babelnet.org/rdf/s00059249n	null
County Sheriff	693,707	bn:03786221n	http://babelnet.org/rdf/s03786221n	http://dbpedia.org/resource/Sheriff
Office	711,717	bn:00014169n	http://babelnet.org/rdf/s00014169n	null
investigators	718,731	bn:00026633n	http://babelnet.org/rdf/s00026633n	http://dbpedia.org/resource/Detective
responding	736,746	bn:00082646v	http://babelnet.org/rdf/s00082646v	null
scene	754,759	bn:00069550n	http://babelnet.org/rdf/s00069550n	null
conduct	763,770	bn:00084593v	http://babelnet.org/rdf/s00084593v	null
follow	773,779	bn:00088421v	http://babelnet.org/rdf/s00088421v	null
investigation	785,798	bn:00047355n	http://babelnet.org/rdf/s00047355n	null
information	815,826	bn:00046705n	http://babelnet.org/rdf/s00046705n	http://dbpedia.org/resource/Information
shooting	837,845	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
call	853,857	bn:00084385v	http://babelnet.org/rdf/s00084385v	null
Sheriff	862,869	bn:00071038n	http://babelnet.org/rdf/s00071038n	http://dbpedia.org/resource/Sheriffs_in_the_United_States
Office	873,879	bn:00014169n	http://babelnet.org/rdf/s00014169n	null
Crimeline	903,912	bn:03516410n	http://babelnet.org/rdf/s03516410n	http://dbpedia.org/resource/Crimecall
