Bend	12,16	bn:00009867n	Concept	[wn:13869327n]	http://babelnet.org/rdf/s00009867n	http://dbpedia.org/resource/Twist_(mathematics)
man	17,20	bn:00044576n	Concept	[wn:02472293n]	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
accidentally	21,33	bn:00114102r	Concept	[wn:00040547r]	http://babelnet.org/rdf/s00114102r	null
shot	34,38	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
lifelong	42,50	bn:00105935a	Concept	[wn:01440159a]	http://babelnet.org/rdf/s00105935a	null
friend	51,57	bn:00036538n	Concept	[wn:10112591n]	http://babelnet.org/rdf/s00036538n	null
deputies	60,68	bn:00026425n	Concept	[wn:10005548n]	http://babelnet.org/rdf/s00026425n	null
say	69,72	bn:00093287v	Concept	[wn:01009240v]	http://babelnet.org/rdf/s00093287v	null
BEND , Ore.	75,86	bn:00498271n	Named Entity	[]	http://babelnet.org/rdf/s00498271n	http://dbpedia.org/resource/Bend,_Oregon
old	101,104	bn:00107786a	Concept	[wn:01643620a]	http://babelnet.org/rdf/s00107786a	null
Bend	105,109	bn:00009867n	Concept	[wn:13869327n]	http://babelnet.org/rdf/s00009867n	http://dbpedia.org/resource/Twist_(mathematics)
man	110,113	bn:00044576n	Concept	[wn:02472293n]	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
accidentally	118,130	bn:00114102r	Concept	[wn:00040547r]	http://babelnet.org/rdf/s00114102r	null
shot	131,135	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
chest	143,148	bn:00018207n	Concept	[wn:05552607n]	http://babelnet.org/rdf/s00018207n	http://dbpedia.org/resource/Thorax
Saturday	149,157	bn:00068696n	Concept	[wn:15164570n]	http://babelnet.org/rdf/s00068696n	http://dbpedia.org/resource/Saturday
night	158,163	bn:00025236n	Concept	[wn:15167027n]	http://babelnet.org/rdf/s00025236n	http://dbpedia.org/resource/Night
old	181,184	bn:00107786a	Concept	[wn:01643620a]	http://babelnet.org/rdf/s00107786a	null
lifelong	185,193	bn:00105935a	Concept	[wn:01440159a]	http://babelnet.org/rdf/s00105935a	null
friend	194,200	bn:00036538n	Concept	[wn:10112591n]	http://babelnet.org/rdf/s00036538n	null
unloading	211,220	bn:00091148v	Concept	[wn:01488123v]	http://babelnet.org/rdf/s00091148v	null
handgun	223,230	bn:00042808n	Concept	[wn:03948459n]	http://babelnet.org/rdf/s00042808n	http://dbpedia.org/resource/Handgun
home	236,240	bn:00000356n	Concept	[wn:03259505n, wn:08559508n]	http://babelnet.org/rdf/s00000356n	http://dbpedia.org/resource/Home
east	241,245	bn:00101959a	Concept	[wn:00823350a]	http://babelnet.org/rdf/s00101959a	null
city	253,257	bn:03335997n	Concept	[]	http://babelnet.org/rdf/s03335997n	http://dbpedia.org/resource/City
Deschutes County	260,276	bn:03813891n	Named Entity	[]	http://babelnet.org/rdf/s03813891n	http://dbpedia.org/resource/Deschutes_County,_Oregon
County sheriff	270,284	bn:03786221n	Concept	[]	http://babelnet.org/rdf/s03786221n	http://dbpedia.org/resource/Sheriff
deputies	288,296	bn:00026425n	Concept	[wn:10005548n]	http://babelnet.org/rdf/s00026425n	null
said	297,301	bn:00093287v	Concept	[wn:01009240v]	http://babelnet.org/rdf/s00093287v	null
Trevor Rogers	305,318	bn:00185853n	Named Entity	[]	http://babelnet.org/rdf/s00185853n	http://dbpedia.org/resource/Trevor_Rogers
flown	323,328	bn:00088378v	Concept	[wn:01940403v]	http://babelnet.org/rdf/s00088378v	null
Life Flight	332,343	bn:03089059n	Named Entity	[]	http://babelnet.org/rdf/s03089059n	http://dbpedia.org/resource/Life_Flight
helicopter	344,354	bn:00018734n	Concept	[wn:03512147n]	http://babelnet.org/rdf/s00018734n	http://dbpedia.org/resource/Helicopter
Bend	370,374	bn:00009867n	Concept	[wn:13869327n]	http://babelnet.org/rdf/s00009867n	http://dbpedia.org/resource/Twist_(mathematics)
listed	390,396	bn:00090397v	Concept	[wn:00945853v]	http://babelnet.org/rdf/s00090397v	null
fair	400,404	bn:00102719a	Concept	[wn:00956131a]	http://babelnet.org/rdf/s00102719a	null
condition	405,414	bn:00021644n	Concept	[wn:13920835n]	http://babelnet.org/rdf/s00021644n	null
late	415,419	bn:00105751a	Concept	[wn:00816481a]	http://babelnet.org/rdf/s00105751a	null
Saturday	420,428	bn:00068696n	Concept	[wn:15164570n]	http://babelnet.org/rdf/s00068696n	http://dbpedia.org/resource/Saturday
night	429,434	bn:00025236n	Concept	[wn:15167027n]	http://babelnet.org/rdf/s00025236n	http://dbpedia.org/resource/Night
according	437,446	bn:00082227v	Concept	[wn:02700104v]	http://babelnet.org/rdf/s00082227v	null
house	452,457	bn:00044994n	Concept	[wn:03544360n]	http://babelnet.org/rdf/s00044994n	http://dbpedia.org/resource/House
supervisor	458,468	bn:00075310n	Concept	[wn:10676877n]	http://babelnet.org/rdf/s00075310n	http://dbpedia.org/resource/Supervisor
Mike	478,482	bn:00054774n	Concept	[wn:03759954n]	http://babelnet.org/rdf/s00054774n	http://dbpedia.org/resource/Mike
Sundberg	483,491	bn:01675866n	Concept	[]	http://babelnet.org/rdf/s01675866n	http://dbpedia.org/resource/Sundberg
said	492,496	bn:00093287v	Concept	[wn:01009240v]	http://babelnet.org/rdf/s00093287v	null
criminal charges	500,516	bn:00017790n	Concept	[wn:06561942n]	http://babelnet.org/rdf/s00017790n	http://dbpedia.org/resource/Criminal_charge
filed	522,527	bn:00088164v	Concept	[wn:01001857v]	http://babelnet.org/rdf/s00088164v	null
man	540,543	bn:00044576n	Concept	[wn:02472293n]	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
fired	548,553	bn:00088225v	Concept	[wn:01135783v]	http://babelnet.org/rdf/s00088225v	null
