End man	17,24	bn:00030734n	http://babelnet.org/rdf/s00030734n	null
arrested	25,33	bn:00082728v	http://babelnet.org/rdf/s00082728v	null
fatal	37,42	bn:00102827a	http://babelnet.org/rdf/s00102827a	null
McKees Rocks	43,55	bn:00503283n	http://babelnet.org/rdf/s00503283n	http://dbpedia.org/resource/McKees_Rocks,_Pennsylvania
shooting	56,64	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
Sheraden	69,77	bn:00259269n	http://babelnet.org/rdf/s00259269n	http://dbpedia.org/resource/Sheraden_(Pittsburgh)
man	78,81	bn:00044576n	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
charged	82,89	bn:00083234v	http://babelnet.org/rdf/s00083234v	null
fatally	95,102	bn:00115341r	http://babelnet.org/rdf/s00115341r	null
shooting	103,111	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
teenager	114,122	bn:00001480n	http://babelnet.org/rdf/s00001480n	null
Tuesday evening	123,138	bn:13602958n	http://babelnet.org/rdf/s13602958n	null
McKees Rocks	142,154	bn:00503283n	http://babelnet.org/rdf/s00503283n	http://dbpedia.org/resource/McKees_Rocks,_Pennsylvania
contacted	155,164	bn:00085696v	http://babelnet.org/rdf/s00085696v	null
victim	169,175	bn:00079940n	http://babelnet.org/rdf/s00079940n	null
mother	179,185	bn:00034027n	http://babelnet.org/rdf/s00034027n	http://dbpedia.org/resource/Mother
day	188,191	bn:00000086n	http://babelnet.org/rdf/s00000086n	http://dbpedia.org/resource/Day
later	192,197	bn:00114165r	http://babelnet.org/rdf/s00114165r	null
apologized	202,212	bn:00082678v	http://babelnet.org/rdf/s00082678v	null
according	236,245	bn:00082227v	http://babelnet.org/rdf/s00082227v	null
police	249,255	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
Willie	269,275	bn:01451333n	http://babelnet.org/rdf/s01451333n	http://dbpedia.org/resource/Banks_of_the_Ohio
Hoston	278,284	bn:00045059n	http://babelnet.org/rdf/s00045059n	http://dbpedia.org/resource/Houston
told	292,296	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
mother	301,307	bn:00034027n	http://babelnet.org/rdf/s00034027n	http://dbpedia.org/resource/Mother
Jihad	311,316	bn:00047155n	http://babelnet.org/rdf/s00047155n	null
Cromer	317,323	bn:01164913n	http://babelnet.org/rdf/s01164913n	http://dbpedia.org/resource/Cromer
knew	380,384	bn:00082272v	http://babelnet.org/rdf/s00082272v	null
change	398,404	bn:00082553v	http://babelnet.org/rdf/s00082553v	null
happened	414,422	bn:00085337v	http://babelnet.org/rdf/s00085337v	null
Allegheny County	426,442	bn:03779045n	http://babelnet.org/rdf/s03779045n	http://dbpedia.org/resource/Allegheny_County,_Pennsylvania
County Police	436,449	bn:00866532n	http://babelnet.org/rdf/s00866532n	http://dbpedia.org/resource/County_police
arrested	450,458	bn:00082728v	http://babelnet.org/rdf/s00082728v	null
Mr.	459,462	bn:00055346n	http://babelnet.org/rdf/s00055346n	http://dbpedia.org/resource/Mr.
Hoston	463,469	bn:00045059n	http://babelnet.org/rdf/s00045059n	http://dbpedia.org/resource/Houston
Thursday	473,481	bn:00076744n	http://babelnet.org/rdf/s00076744n	http://dbpedia.org/resource/Thursday
charged	486,493	bn:00083234v	http://babelnet.org/rdf/s00083234v	null
homicide	503,511	bn:00032175n	http://babelnet.org/rdf/s00032175n	http://dbpedia.org/resource/Murder
carrying a firearm	516,534	bn:03332169n	http://babelnet.org/rdf/s03332169n	http://dbpedia.org/resource/Open_carry_in_the_United_States
license	545,552	bn:00050986n	http://babelnet.org/rdf/s00050986n	http://dbpedia.org/resource/License
death	560,565	bn:00025582n	http://babelnet.org/rdf/s00025582n	http://dbpedia.org/resource/Death
Jihad	569,574	bn:00047155n	http://babelnet.org/rdf/s00047155n	null
High School basketball	596,618	bn:00008889n	http://babelnet.org/rdf/s00008889n	http://dbpedia.org/resource/Basketball
basketball player	608,625	bn:00008889n	http://babelnet.org/rdf/s00008889n	http://dbpedia.org/resource/Basketball
Police	629,635	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
said	636,640	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
Mr.	641,644	bn:00055346n	http://babelnet.org/rdf/s00055346n	http://dbpedia.org/resource/Mr.
Hoston	645,651	bn:00045059n	http://babelnet.org/rdf/s00045059n	http://dbpedia.org/resource/Houston
man	664,667	bn:00044576n	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
Jihad	676,681	bn:00047155n	http://babelnet.org/rdf/s00047155n	null
house	685,690	bn:00044994n	http://babelnet.org/rdf/s00044994n	http://dbpedia.org/resource/House
Robb	694,698	bn:17088151n	http://babelnet.org/rdf/s17088151n	http://dbpedia.org/resource/Robb
Avenue	699,705	bn:00007447n	http://babelnet.org/rdf/s00007447n	null
playing	706,713	bn:00091708v	http://babelnet.org/rdf/s00091708v	null
video games	714,725	bn:00021477n	http://babelnet.org/rdf/s00021477n	http://dbpedia.org/resource/PC_game
smoking marijuana	730,747	bn:03209974n	http://babelnet.org/rdf/s03209974n	http://dbpedia.org/resource/Cannabis_smoking
time	758,762	bn:00077270n	http://babelnet.org/rdf/s00077270n	http://dbpedia.org/resource/Time
shooting	770,778	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
p.m.	793,797	bn:00116519r	http://babelnet.org/rdf/s00116519r	null
according	800,809	bn:00082227v	http://babelnet.org/rdf/s00082227v	null
police	815,821	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
affidavit	822,831	bn:00001752n	http://babelnet.org/rdf/s00001752n	http://dbpedia.org/resource/Affidavit
Mr.	835,838	bn:00055346n	http://babelnet.org/rdf/s00055346n	http://dbpedia.org/resource/Mr.
Hoston	839,845	bn:00045059n	http://babelnet.org/rdf/s00045059n	http://dbpedia.org/resource/Houston
told	846,850	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
police	851,857	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
disassembling	865,878	bn:00083956v	http://babelnet.org/rdf/s00083956v	null
handgun	881,888	bn:00042808n	http://babelnet.org/rdf/s00042808n	http://dbpedia.org/resource/Handgun
flash	903,908	bn:00035052n	http://babelnet.org/rdf/s00035052n	null
accidentally	914,926	bn:00114102r	http://babelnet.org/rdf/s00114102r	null
fired	927,932	bn:00088225v	http://babelnet.org/rdf/s00088225v	null
Jihad	935,940	bn:00047155n	http://babelnet.org/rdf/s00047155n	null
collapsed	941,950	bn:00083932v	http://babelnet.org/rdf/s00083932v	null
gunshot wound	958,971	bn:00191195n	http://babelnet.org/rdf/s00191195n	http://dbpedia.org/resource/Ballistic_trauma
head	979,983	bn:00012681n	http://babelnet.org/rdf/s00012681n	http://dbpedia.org/resource/Nous
Mr.	987,990	bn:00055346n	http://babelnet.org/rdf/s00055346n	http://dbpedia.org/resource/Mr.
Hoston	991,997	bn:00045059n	http://babelnet.org/rdf/s00045059n	http://dbpedia.org/resource/Houston
told	998,1002	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
