Man	12,15	bn:00044576n	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
charged	16,23	bn:00083234v	http://babelnet.org/rdf/s00083234v	null
shooting	27,35	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
death	36,41	bn:00025582n	http://babelnet.org/rdf/s00025582n	http://dbpedia.org/resource/Death
pregnant	45,53	bn:00108940a	http://babelnet.org/rdf/s00108940a	null
teen	54,58	bn:00001480n	http://babelnet.org/rdf/s00001480n	null
NW	62,64	bn:00057989n	http://babelnet.org/rdf/s00057989n	null
Side	65,69	bn:00071431n	http://babelnet.org/rdf/s00071431n	null
SAN ANTONIO	72,83	bn:00069098n	http://babelnet.org/rdf/s00069098n	http://dbpedia.org/resource/San_Antonio
Armando	86,93	bn:01980605n	http://babelnet.org/rdf/s01980605n	http://dbpedia.org/resource/Armando_(artist)
Garcia	102,108	bn:00689764n	http://babelnet.org/rdf/s00689764n	http://dbpedia.org/resource/Holiday_Beanie_Babies
Ramires	111,118	bn:00517288n	http://babelnet.org/rdf/s00517288n	http://dbpedia.org/resource/Ramires
arrested	135,143	bn:00082728v	http://babelnet.org/rdf/s00082728v	null
charged	148,155	bn:00083234v	http://babelnet.org/rdf/s00083234v	null
shooting	163,171	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
death	172,177	bn:00025582n	http://babelnet.org/rdf/s00025582n	http://dbpedia.org/resource/Death
old	193,196	bn:00107786a	http://babelnet.org/rdf/s00107786a	null
mother	197,203	bn:00034027n	http://babelnet.org/rdf/s00034027n	http://dbpedia.org/resource/Mother
unborn child	212,224	bn:01485974n	http://babelnet.org/rdf/s01485974n	http://dbpedia.org/resource/Prenatal_development
apartment complex	231,248	bn:00004836n	http://babelnet.org/rdf/s00004836n	http://dbpedia.org/resource/Apartment
city	256,260	bn:03335997n	http://babelnet.org/rdf/s03335997n	http://dbpedia.org/resource/City
Side	274,278	bn:00071431n	http://babelnet.org/rdf/s00071431n	null
San Antonio	281,292	bn:00069098n	http://babelnet.org/rdf/s00069098n	http://dbpedia.org/resource/San_Antonio
police	293,299	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
said	300,304	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
Tuesday	305,312	bn:00078546n	http://babelnet.org/rdf/s00078546n	http://dbpedia.org/resource/Tuesday
Garcia	316,322	bn:00689764n	http://babelnet.org/rdf/s00689764n	http://dbpedia.org/resource/Holiday_Beanie_Babies
Ramires	325,332	bn:00517288n	http://babelnet.org/rdf/s00517288n	http://dbpedia.org/resource/Ramires
accused	336,343	bn:00082249v	http://babelnet.org/rdf/s00082249v	null
killing	347,354	bn:00090098v	http://babelnet.org/rdf/s00090098v	null
Jennifer	355,363	bn:02715633n	http://babelnet.org/rdf/s02715633n	http://dbpedia.org/resource/Jennifer_(1953_film)
apartment	383,392	bn:00004836n	http://babelnet.org/rdf/s00004836n	http://dbpedia.org/resource/Apartment
located	393,400	bn:00106113a	http://babelnet.org/rdf/s00106113a	null
Babcock	404,411	bn:01720836n	http://babelnet.org/rdf/s01720836n	http://dbpedia.org/resource/Babcock,_Wisconsin
Road	412,416	bn:00067975n	http://babelnet.org/rdf/s00067975n	http://dbpedia.org/resource/Road
Drive	432,437	bn:00028777n	http://babelnet.org/rdf/s00028777n	null
Monday afternoon	441,457	bn:01019020n	http://babelnet.org/rdf/s01019020n	http://dbpedia.org/resource/Hurricane_No._1_(album)
Police	461,467	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
said	468,472	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
initially	478,487	bn:00114055r	http://babelnet.org/rdf/s00114055r	null
responded	488,497	bn:00082646v	http://babelnet.org/rdf/s00082646v	null
call	503,507	bn:00014791n	http://babelnet.org/rdf/s00014791n	http://dbpedia.org/resource/Telephone_call
attempted suicide	515,532	bn:02035597n	http://babelnet.org/rdf/s02035597n	http://dbpedia.org/resource/Failed_suicide_attempt
found	537,542	bn:00084231v	http://babelnet.org/rdf/s00084231v	null
Garcia	543,549	bn:00689764n	http://babelnet.org/rdf/s00689764n	http://dbpedia.org/resource/Holiday_Beanie_Babies
Ramires	552,559	bn:00517288n	http://babelnet.org/rdf/s00517288n	http://dbpedia.org/resource/Ramires
shot	560,564	bn:00071206n	http://babelnet.org/rdf/s00071206n	null
upper	572,577	bn:00113425a	http://babelnet.org/rdf/s00113425a	null
body	578,582	bn:00011744n	http://babelnet.org/rdf/s00011744n	http://dbpedia.org/resource/Physical_body
area	604,608	bn:00005513n	http://babelnet.org/rdf/s00005513n	http://dbpedia.org/resource/Area
hospital	609,617	bn:00044896n	http://babelnet.org/rdf/s00044896n	http://dbpedia.org/resource/Hospital
injuries	626,634	bn:00043011n	http://babelnet.org/rdf/s00043011n	http://dbpedia.org/resource/Harm
officers	643,651	bn:00054972n	http://babelnet.org/rdf/s00054972n	http://dbpedia.org/resource/Officer_(armed_forces)
scene	664,669	bn:00069550n	http://babelnet.org/rdf/s00069550n	null
learned	677,684	bn:00082281v	http://babelnet.org/rdf/s00082281v	null
Garcia	685,691	bn:00689764n	http://babelnet.org/rdf/s00689764n	http://dbpedia.org/resource/Holiday_Beanie_Babies
Ramires	694,701	bn:00517288n	http://babelnet.org/rdf/s00517288n	http://dbpedia.org/resource/Ramires
hurt	711,715	bn:00082264v	http://babelnet.org/rdf/s00082264v	null
nearby	729,735	bn:00107176a	http://babelnet.org/rdf/s00107176a	null
apartment	736,745	bn:00004836n	http://babelnet.org/rdf/s00004836n	http://dbpedia.org/resource/Apartment
police	748,754	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
said	755,759	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
months	788,794	bn:00014710n	http://babelnet.org/rdf/s00014710n	http://dbpedia.org/resource/Month
pregnant	795,803	bn:00108940a	http://babelnet.org/rdf/s00108940a	null
found	810,815	bn:00084231v	http://babelnet.org/rdf/s00084231v	null
multiple	821,829	bn:00107028a	http://babelnet.org/rdf/s00107028a	null
gunshot wounds	830,844	bn:00191195n	http://babelnet.org/rdf/s00191195n	http://dbpedia.org/resource/Ballistic_trauma
police	847,853	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
said	854,858	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
year	878,882	bn:00081857n	http://babelnet.org/rdf/s00081857n	http://dbpedia.org/resource/Year
old	885,888	bn:00107786a	http://babelnet.org/rdf/s00107786a	null
child	889,894	bn:00018346n	http://babelnet.org/rdf/s00018346n	http://dbpedia.org/resource/Child
found	904,909	bn:00084231v	http://babelnet.org/rdf/s00084231v	null
apartment	921,930	bn:00004836n	http://babelnet.org/rdf/s00004836n	http://dbpedia.org/resource/Apartment
Police	941,947	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
said	948,952	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
Garcia	965,971	bn:00689764n	http://babelnet.org/rdf/s00689764n	http://dbpedia.org/resource/Holiday_Beanie_Babies
Ramires	974,981	bn:00517288n	http://babelnet.org/rdf/s00517288n	http://dbpedia.org/resource/Ramires
knew	982,986	bn:00082272v	http://babelnet.org/rdf/s00082272v	null
confirm	1012,1019	bn:00082434v	http://babelnet.org/rdf/s00082434v	null
relationship	1031,1043	bn:00045161n	http://babelnet.org/rdf/s00045161n	http://dbpedia.org/resource/Interpersonal_relationship
Garcia	1065,1071	bn:00689764n	http://babelnet.org/rdf/s00689764n	http://dbpedia.org/resource/Holiday_Beanie_Babies
Ramires	1074,1081	bn:00517288n	http://babelnet.org/rdf/s00517288n	http://dbpedia.org/resource/Ramires
charged	1091,1098	bn:00083234v	http://babelnet.org/rdf/s00083234v	null
counts	1108,1114	bn:00023140n	http://babelnet.org/rdf/s00023140n	http://dbpedia.org/resource/Numeral_system
capital murder	1118,1132	bn:01281516n	http://babelnet.org/rdf/s01281516n	http://dbpedia.org/resource/Capital_murder
