LCPD	12,16	bn:16692894n	http://babelnet.org/rdf/s16692894n	null
Death	19,24	bn:00025582n	http://babelnet.org/rdf/s00025582n	http://dbpedia.org/resource/Death
old	38,41	bn:00107786a	http://babelnet.org/rdf/s00107786a	null
shot	42,46	bn:00071206n	http://babelnet.org/rdf/s00071206n	null
killed	49,55	bn:00090098v	http://babelnet.org/rdf/s00090098v	null
Rena	59,63	bn:17271101n	http://babelnet.org/rdf/s17271101n	null
Street	64,70	bn:00074595n	http://babelnet.org/rdf/s00074595n	http://dbpedia.org/resource/Street
result	71,77	bn:00021961n	http://babelnet.org/rdf/s00021961n	http://dbpedia.org/resource/Result
KPLC	83,87	bn:00613127n	http://babelnet.org/rdf/s00613127n	http://dbpedia.org/resource/KPLC
News	90,94	bn:00047028n	http://babelnet.org/rdf/s00047028n	null
Lake Charles , Louisiana	97,121	bn:00285068n	http://babelnet.org/rdf/s00285068n	http://dbpedia.org/resource/Lake_Charles,_Louisiana
old boy	136,143	bn:16861593n	http://babelnet.org/rdf/s16861593n	http://dbpedia.org/resource/Oldboy_(2003_film)
death	147,152	bn:00025582n	http://babelnet.org/rdf/s00025582n	http://dbpedia.org/resource/Death
block	165,170	bn:00011308n	http://babelnet.org/rdf/s00011308n	http://dbpedia.org/resource/Block_(district_subdivision)
Rena	174,178	bn:17271101n	http://babelnet.org/rdf/s17271101n	null
Street	179,185	bn:00074595n	http://babelnet.org/rdf/s00074595n	http://dbpedia.org/resource/Street
Thursday	186,194	bn:00076744n	http://babelnet.org/rdf/s00076744n	http://dbpedia.org/resource/Thursday
result	203,209	bn:00021961n	http://babelnet.org/rdf/s00021961n	http://dbpedia.org/resource/Result
old boy	238,245	bn:16861593n	http://babelnet.org/rdf/s16861593n	http://dbpedia.org/resource/Oldboy_(2003_film)
horseplaying	251,263	bn:13738733v	http://babelnet.org/rdf/s13738733v	null
loaded guns	275,286	bn:15600956n	http://babelnet.org/rdf/s15600956n	http://dbpedia.org/resource/Loaded_Gun
authorities	289,300	bn:00001961n	http://babelnet.org/rdf/s00001961n	http://dbpedia.org/resource/Government_agency
