old	22,25	bn:00107786a	http://babelnet.org/rdf/s00107786a	null
shot	26,30	bn:00071206n	http://babelnet.org/rdf/s00071206n	null
JACKSONVILLE , Fla.	59,78	bn:03437891n	http://babelnet.org/rdf/s03437891n	http://dbpedia.org/resource/Jacksonville,_Florida
old boy	93,100	bn:00058803n	http://babelnet.org/rdf/s00058803n	null
hospitalized	110,122	bn:00089483v	http://babelnet.org/rdf/s00089483v	null
shot	135,139	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
lower	147,152	bn:13759553a	http://babelnet.org/rdf/s13759553a	null
body	153,157	bn:00011744n	http://babelnet.org/rdf/s00011744n	http://dbpedia.org/resource/Physical_body
according	186,195	bn:00082227v	http://babelnet.org/rdf/s00082227v	null
detectives	199,209	bn:00026633n	http://babelnet.org/rdf/s00026633n	http://dbpedia.org/resource/Detective
police	226,232	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
said	233,237	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
Sunday	252,258	bn:00028190n	http://babelnet.org/rdf/s00028190n	http://dbpedia.org/resource/Lord's_Day
called	269,275	bn:00084385v	http://babelnet.org/rdf/s00084385v	null
45th Street	284,295	bn:02853119n	http://babelnet.org/rdf/s02853119n	http://dbpedia.org/resource/45th_Street_(BMT_Fourth_Avenue_Line)
Avenue B	300,308	bn:02930798n	http://babelnet.org/rdf/s02930798n	http://dbpedia.org/resource/Avenue_B_(album)
Paris	314,319	bn:00015540n	http://babelnet.org/rdf/s00015540n	http://dbpedia.org/resource/Paris
Avenue	320,326	bn:00007447n	http://babelnet.org/rdf/s00007447n	null
found	338,343	bn:00084231v	http://babelnet.org/rdf/s00084231v	null
teen	348,352	bn:00001480n	http://babelnet.org/rdf/s00001480n	null
shot	353,357	bn:00071206n	http://babelnet.org/rdf/s00071206n	null
walking	372,379	bn:00095597v	http://babelnet.org/rdf/s00095597v	null
road	390,394	bn:00067975n	http://babelnet.org/rdf/s00067975n	http://dbpedia.org/resource/Road
shooting	404,412	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
happened	413,421	bn:00085337v	http://babelnet.org/rdf/s00085337v	null
Police	425,431	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
identified	441,451	bn:00089574v	http://babelnet.org/rdf/s00089574v	null
teen	456,460	bn:00001480n	http://babelnet.org/rdf/s00001480n	null
UF Health	478,487	bn:15603181n	http://babelnet.org/rdf/s15603181n	http://dbpedia.org/resource/University_of_Florida_Health
expected	492,500	bn:00082665v	http://babelnet.org/rdf/s00082665v	null
okay	507,511	bn:00096817a	http://babelnet.org/rdf/s00096817a	null
