Teen	12,16	bn:00001480n	http://babelnet.org/rdf/s00001480n	null
accidentally	17,29	bn:00114102r	http://babelnet.org/rdf/s00114102r	null
shoots	30,36	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
kills	39,44	bn:00090098v	http://babelnet.org/rdf/s00090098v	null
self	45,49	bn:00029935n	http://babelnet.org/rdf/s00029935n	null
KAIT	52,56	bn:01436896n	http://babelnet.org/rdf/s01436896n	http://dbpedia.org/resource/KAIT
Jonesboro , AR	57,71	bn:00187932n	http://babelnet.org/rdf/s00187932n	http://dbpedia.org/resource/Jonesboro,_Arkansas
Region 8	74,82	bn:00932295n	http://babelnet.org/rdf/s00932295n	http://dbpedia.org/resource/DVD_region_code
News	83,87	bn:00047028n	http://babelnet.org/rdf/s00047028n	null
weather	90,97	bn:00006808n	http://babelnet.org/rdf/s00006808n	http://dbpedia.org/resource/Weather
sports	100,106	bn:00006759n	http://babelnet.org/rdf/s00006759n	http://dbpedia.org/resource/Athletics_(sport)
Arkansas	112,120	bn:00005244n	http://babelnet.org/rdf/s00005244n	http://dbpedia.org/resource/Arkansas
teen	121,125	bn:00001480n	http://babelnet.org/rdf/s00001480n	null
dead	129,133	bn:00100948a	http://babelnet.org/rdf/s00100948a	null
following	134,143	bn:00088421v	http://babelnet.org/rdf/s00088421v	null
accidental	147,157	bn:00096263a	http://babelnet.org/rdf/s00096263a	null
shooting	158,166	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
Monday	167,173	bn:00055609n	http://babelnet.org/rdf/s00055609n	http://dbpedia.org/resource/Monday
night	174,179	bn:00025236n	http://babelnet.org/rdf/s00025236n	http://dbpedia.org/resource/Night
according	182,191	bn:00082228v	http://babelnet.org/rdf/s00082228v	null
Crittenden County	199,216	bn:03873399n	http://babelnet.org/rdf/s03873399n	http://dbpedia.org/resource/Crittenden_County,_Arkansas
County Sheriff	210,224	bn:03786221n	http://babelnet.org/rdf/s03786221n	http://dbpedia.org/resource/Sheriff
office	228,234	bn:00001961n	http://babelnet.org/rdf/s00001961n	http://dbpedia.org/resource/Government_agency
Crittenden County	238,255	bn:03873399n	http://babelnet.org/rdf/s03873399n	http://dbpedia.org/resource/Crittenden_County,_Arkansas
County Sheriff	249,263	bn:03786221n	http://babelnet.org/rdf/s03786221n	http://dbpedia.org/resource/Sheriff
Office	267,273	bn:00001961n	http://babelnet.org/rdf/s00001961n	http://dbpedia.org/resource/Government_agency
said	274,278	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
old	291,294	bn:00107791a	http://babelnet.org/rdf/s00107791a	null
accidentally	295,307	bn:00114102r	http://babelnet.org/rdf/s00114102r	null
shot	308,312	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
gun	337,340	bn:00042221n	http://babelnet.org/rdf/s00042221n	http://dbpedia.org/resource/Gun
waist	348,353	bn:00080339n	http://babelnet.org/rdf/s00080339n	http://dbpedia.org/resource/Waist
band	354,358	bn:00008279n	http://babelnet.org/rdf/s00008279n	null
shooting	366,374	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
happened	375,383	bn:00085337v	http://babelnet.org/rdf/s00085337v	null
p.m.	397,401	bn:00116519r	http://babelnet.org/rdf/s00116519r	null
Monday	402,408	bn:00055609n	http://babelnet.org/rdf/s00055609n	http://dbpedia.org/resource/Monday
Lincoln Avenue	412,426	bn:03779759n	http://babelnet.org/rdf/s03779759n	http://dbpedia.org/resource/Lincoln_Avenue_(Chicago)
Earle , Arkansas	430,446	bn:00188015n	http://babelnet.org/rdf/s00188015n	http://dbpedia.org/resource/Earle,_Arkansas
Deputies	450,458	bn:00026425n	http://babelnet.org/rdf/s00026425n	null
said	459,463	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
investigating	479,492	bn:00089885v	http://babelnet.org/rdf/s00089885v	null
shooting	497,505	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
Copyright	509,518	bn:00022536n	http://babelnet.org/rdf/s00022536n	http://dbpedia.org/resource/Copyright
Action	528,534	bn:00001127n	http://babelnet.org/rdf/s00001127n	null
News	535,539	bn:00047028n	http://babelnet.org/rdf/s00047028n	null
rights	548,554	bn:00067807n	http://babelnet.org/rdf/s00067807n	http://dbpedia.org/resource/Rights
reserved	555,563	bn:00082539v	http://babelnet.org/rdf/s00082539v	null
