South Windsor	12,25	bn:00206568n	Named Entity	[]	http://babelnet.org/rdf/s00206568n	http://dbpedia.org/resource/South_Windsor,_Connecticut
Man	26,29	bn:00044576n	Concept	[wn:02472293n]	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
Wounded	30,37	bn:00052841n	Concept	[wn:07950786n]	http://babelnet.org/rdf/s00052841n	null
Accidental	41,51	bn:01796836n	Concept	[]	http://babelnet.org/rdf/s01796836n	http://dbpedia.org/resource/Vagrancy_(biology)
Shooting	52,60	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
SOUTH WINDSOR , CT	63,81	bn:00206568n	Named Entity	[]	http://babelnet.org/rdf/s00206568n	http://dbpedia.org/resource/South_Windsor,_Connecticut
South Windsor	86,99	bn:00206568n	Named Entity	[]	http://babelnet.org/rdf/s00206568n	http://dbpedia.org/resource/South_Windsor,_Connecticut
resident	100,108	bn:00058564n	Concept	[wn:10523519n]	http://babelnet.org/rdf/s00058564n	null
rushed	113,119	bn:00083395v	Concept	[wn:02058994v]	http://babelnet.org/rdf/s00083395v	null
Hartford Hospital	123,140	bn:03169780n	Named Entity	[]	http://babelnet.org/rdf/s03169780n	http://dbpedia.org/resource/Hartford_Hospital
Saturday morning	141,157	bn:15864543n	Concept	[]	http://babelnet.org/rdf/s15864543n	http://dbpedia.org/resource/Saturday-morning_cartoon
shot	170,174	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
abdomen	182,189	bn:00000249n	Concept	[wn:05556943n]	http://babelnet.org/rdf/s00000249n	http://dbpedia.org/resource/Abdomen
police	198,204	bn:00022026n	Concept	[wn:08209687n]	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
call	205,209	bn:00084385v	Concept	[wn:01028748v]	http://babelnet.org/rdf/s00084385v	null
accidental	213,223	bn:00096263a	Concept	[wn:01338909a]	http://babelnet.org/rdf/s00096263a	null
shooting	224,232	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
a.m.	248,252	bn:00114043r	Concept	[wn:00251304r]	http://babelnet.org/rdf/s00114043r	null
police dispatchers	255,273	bn:00027650n	Concept	[wn:10017422n]	http://babelnet.org/rdf/s00027650n	http://dbpedia.org/resource/Dispatcher
received	274,282	bn:00089246v	Concept	[wn:02210119v]	http://babelnet.org/rdf/s00089246v	null
call	295,299	bn:00014793n	Concept	[wn:07120524n]	http://babelnet.org/rdf/s00014793n	null
accidental	307,317	bn:00096263a	Concept	[wn:01338909a]	http://babelnet.org/rdf/s00096263a	null
shooting	318,326	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
