Township	18,26	bn:00077775n	http://babelnet.org/rdf/s00077775n	http://dbpedia.org/resource/Township_(Pennsylvania)
teen	27,31	bn:00001480n	http://babelnet.org/rdf/s00001480n	null
dies	32,36	bn:00084343v	http://babelnet.org/rdf/s00084343v	null
week	41,45	bn:00043484n	http://babelnet.org/rdf/s00043484n	http://dbpedia.org/resource/Week
shot	60,64	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
close friend	68,80	bn:00036545n	http://babelnet.org/rdf/s00036545n	http://dbpedia.org/resource/Friendship
old	106,109	bn:00107786a	http://babelnet.org/rdf/s00107786a	null
Township	116,124	bn:00077775n	http://babelnet.org/rdf/s00077775n	http://dbpedia.org/resource/Township_(Pennsylvania)
boy	125,128	bn:00012569n	http://babelnet.org/rdf/s00012569n	http://dbpedia.org/resource/Boy
shot in the head	137,153	bn:13603031n	http://babelnet.org/rdf/s13603031n	null
friend	159,165	bn:00036538n	http://babelnet.org/rdf/s00036538n	null
house	169,174	bn:00044994n	http://babelnet.org/rdf/s00044994n	http://dbpedia.org/resource/House
March 18	186,194	bn:01301210n	http://babelnet.org/rdf/s01301210n	http://dbpedia.org/resource/March_18
died	195,199	bn:00084343v	http://babelnet.org/rdf/s00084343v	null
weekend	209,216	bn:00080816n	http://babelnet.org/rdf/s00080816n	http://dbpedia.org/resource/Workweek_and_weekend
week	223,227	bn:00043484n	http://babelnet.org/rdf/s00043484n	http://dbpedia.org/resource/Week
tragic	238,244	bn:00112046a	http://babelnet.org/rdf/s00112046a	null
incident	245,253	bn:00046282n	http://babelnet.org/rdf/s00046282n	null
occurred	254,262	bn:00085337v	http://babelnet.org/rdf/s00085337v	null
shooting	270,278	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
took place	279,289	bn:00085337v	http://babelnet.org/rdf/s00085337v	null
Saturday	295,303	bn:00068696n	http://babelnet.org/rdf/s00068696n	http://dbpedia.org/resource/Saturday
night	304,309	bn:00025236n	http://babelnet.org/rdf/s00025236n	http://dbpedia.org/resource/Night
home	328,332	bn:00000356n	http://babelnet.org/rdf/s00000356n	http://dbpedia.org/resource/Home
block	344,349	bn:00011308n	http://babelnet.org/rdf/s00011308n	http://dbpedia.org/resource/Block_(district_subdivision)
Wall Street	353,364	bn:00080397n	http://babelnet.org/rdf/s00080397n	http://dbpedia.org/resource/Wall_Street
Sheriff	367,374	bn:00071038n	http://babelnet.org/rdf/s00071038n	http://dbpedia.org/resource/Sheriffs_in_the_United_States
deputies	378,386	bn:00026425n	http://babelnet.org/rdf/s00026425n	null
emergency	391,400	bn:00030525n	http://babelnet.org/rdf/s00030525n	http://dbpedia.org/resource/Emergency
personnel	401,410	bn:00030616n	http://babelnet.org/rdf/s00030616n	http://dbpedia.org/resource/Employment
Star	416,420	bn:00073964n	http://babelnet.org/rdf/s00073964n	http://dbpedia.org/resource/Star
EMS	421,424	bn:00030452n	http://babelnet.org/rdf/s00030452n	null
Regional	443,451	bn:00066884n	http://babelnet.org/rdf/s00066884n	http://dbpedia.org/resource/Region
Fire Department	452,467	bn:00034649n	http://babelnet.org/rdf/s00034649n	http://dbpedia.org/resource/Fire_department
responded	468,477	bn:00082646v	http://babelnet.org/rdf/s00082646v	null
scene	485,490	bn:00069550n	http://babelnet.org/rdf/s00069550n	null
p.m.	504,508	bn:00116519r	http://babelnet.org/rdf/s00116519r	null
receiving	515,524	bn:00089891v	http://babelnet.org/rdf/s00089891v	null
call	531,535	bn:00014793n	http://babelnet.org/rdf/s00014793n	null
incident	546,554	bn:00046282n	http://babelnet.org/rdf/s00046282n	null
arrival	562,569	bn:00005886n	http://babelnet.org/rdf/s00005886n	null
deputies	572,580	bn:00026425n	http://babelnet.org/rdf/s00026425n	null
led	586,589	bn:00085567v	http://babelnet.org/rdf/s00085567v	null
house	599,604	bn:00044994n	http://babelnet.org/rdf/s00044994n	http://dbpedia.org/resource/House
second story	610,622	bn:14380998n	http://babelnet.org/rdf/s14380998n	http://dbpedia.org/resource/Second_Story
bedroom	623,630	bn:00009495n	http://babelnet.org/rdf/s00009495n	http://dbpedia.org/resource/Bedroom
boy	643,646	bn:00012569n	http://babelnet.org/rdf/s00012569n	http://dbpedia.org/resource/Boy
identified	649,659	bn:00089575v	http://babelnet.org/rdf/s00089575v	null
Solomon	663,670	bn:00072750n	http://babelnet.org/rdf/s00072750n	http://dbpedia.org/resource/Solomon
lying	684,689	bn:00090323v	http://babelnet.org/rdf/s00090323v	null
unconscious	690,701	bn:00112497a	http://babelnet.org/rdf/s00112497a	null
exhibiting	706,716	bn:00083912v	http://babelnet.org/rdf/s00083912v	null
labored	717,724	bn:00087335v	http://babelnet.org/rdf/s00087335v	null
breathing	725,734	bn:00084018v	http://babelnet.org/rdf/s00084018v	null
report	741,747	bn:00067181n	http://babelnet.org/rdf/s00067181n	http://dbpedia.org/resource/Report
said	748,752	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
teen	760,764	bn:00001480n	http://babelnet.org/rdf/s00001480n	null
quickly	769,776	bn:00114307r	http://babelnet.org/rdf/s00114307r	null
transported	777,788	bn:00095121v	http://babelnet.org/rdf/s00095121v	null
Star	792,796	bn:00073964n	http://babelnet.org/rdf/s00073964n	http://dbpedia.org/resource/Star
EMS	797,800	bn:00030453n	http://babelnet.org/rdf/s00030453n	http://dbpedia.org/resource/Pica_(typography)
Mclaren	804,811	bn:01375769n	http://babelnet.org/rdf/s01375769n	http://dbpedia.org/resource/McLaren
Hospital	812,820	bn:00044896n	http://babelnet.org/rdf/s00044896n	http://dbpedia.org/resource/Hospital
Oakland	823,830	bn:00717845n	http://babelnet.org/rdf/s00717845n	http://dbpedia.org/resource/Oakland_(automobile)
treatment	835,844	bn:00047235n	http://babelnet.org/rdf/s00047235n	null
subsequently	851,863	bn:00114165r	http://babelnet.org/rdf/s00114165r	null
transferred	864,875	bn:00092460v	http://babelnet.org/rdf/s00092460v	null
Children	879,887	bn:00018346n	http://babelnet.org/rdf/s00018346n	http://dbpedia.org/resource/Child
Hospital	891,899	bn:00044896n	http://babelnet.org/rdf/s00044896n	http://dbpedia.org/resource/Hospital
Michigan	903,911	bn:00041581n	http://babelnet.org/rdf/s00041581n	http://dbpedia.org/resource/Great_Lakes_region
Detroit	915,922	bn:00026672n	http://babelnet.org/rdf/s00026672n	http://dbpedia.org/resource/Motown
listed	936,942	bn:00090397v	http://babelnet.org/rdf/s00090397v	null
critical condition	946,964	bn:02436757n	http://babelnet.org/rdf/s02436757n	http://dbpedia.org/resource/Medical_state
promising	979,988	bn:00082881v	http://babelnet.org/rdf/s00082881v	null
student athlete	989,1004	bn:00923761n	http://babelnet.org/rdf/s00923761n	http://dbpedia.org/resource/Student_athlete
planning on	1013,1024	bn:13698586v	http://babelnet.org/rdf/s13698586v	null
attending	1025,1034	bn:00082907v	http://babelnet.org/rdf/s00082907v	null
Orchard Lake	1035,1047	bn:03841728n	http://babelnet.org/rdf/s03841728n	http://dbpedia.org/resource/Orchard_Lake
St. Marys High School	1048,1069	bn:01669118n	http://babelnet.org/rdf/s01669118n	http://dbpedia.org/resource/St._Marys_High_School
fall	1077,1081	bn:00007406n	http://babelnet.org/rdf/s00007406n	http://dbpedia.org/resource/Autumn
died	1084,1088	bn:00084343v	http://babelnet.org/rdf/s00084343v	null
exactly	1089,1096	bn:00115266r	http://babelnet.org/rdf/s00115266r	null
week	1101,1105	bn:00043484n	http://babelnet.org/rdf/s00043484n	http://dbpedia.org/resource/Week
later	1106,1111	bn:00114165r	http://babelnet.org/rdf/s00114165r	null
according	1114,1123	bn:00082227v	http://babelnet.org/rdf/s00082227v	null
father	1131,1137	bn:00009616n	http://babelnet.org/rdf/s00009616n	http://dbpedia.org/resource/Father
Facebook page	1141,1154	bn:00851388n	http://babelnet.org/rdf/s00851388n	http://dbpedia.org/resource/Facebook_features
Advertisement	1158,1171	bn:00001227n	http://babelnet.org/rdf/s00001227n	http://dbpedia.org/resource/Advertising
close friend	1175,1187	bn:00036545n	http://babelnet.org/rdf/s00036545n	http://dbpedia.org/resource/Friendship
