Grand jury	12,22	bn:00041333n	http://babelnet.org/rdf/s00041333n	http://dbpedia.org/resource/Grand_jury
Officer	25,32	bn:00054972n	http://babelnet.org/rdf/s00054972n	http://dbpedia.org/resource/Officer_(armed_forces)
justified	33,42	bn:00105583a	http://babelnet.org/rdf/s00105583a	null
Hayes	54,59	bn:00043213n	http://babelnet.org/rdf/s00043213n	http://dbpedia.org/resource/Rutherford_B._Hayes
shooting	60,68	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
PORTLAND , Ore.	71,86	bn:01663911n	http://babelnet.org/rdf/s01663911n	http://dbpedia.org/resource/Portland,_Oregon
KOIN	89,93	bn:01351853n	http://babelnet.org/rdf/s01351853n	http://dbpedia.org/resource/KOIN
police officer	109,123	bn:00058698n	http://babelnet.org/rdf/s00058698n	http://dbpedia.org/resource/Police_officer
justified	128,137	bn:00090024v	http://babelnet.org/rdf/s00090024v	null
deadly force	152,164	bn:00676212n	http://babelnet.org/rdf/s00676212n	http://dbpedia.org/resource/Deadly_force
led	170,173	bn:00085567v	http://babelnet.org/rdf/s00085567v	null
death	181,186	bn:00025582n	http://babelnet.org/rdf/s00025582n	http://dbpedia.org/resource/Death
old	200,203	bn:00107786a	http://babelnet.org/rdf/s00107786a	null
Hayes	212,217	bn:00043213n	http://babelnet.org/rdf/s00043213n	http://dbpedia.org/resource/Rutherford_B._Hayes
February	221,229	bn:00033882n	http://babelnet.org/rdf/s00033882n	http://dbpedia.org/resource/February
Multnomah County	234,250	bn:03813628n	http://babelnet.org/rdf/s03813628n	http://dbpedia.org/resource/Multnomah_County,_Oregon
Grand Jury	251,261	bn:00041333n	http://babelnet.org/rdf/s00041333n	http://dbpedia.org/resource/Grand_jury
ruled on	262,270	bn:13703071v	http://babelnet.org/rdf/s13703071v	null
Tuesday	271,278	bn:00078546n	http://babelnet.org/rdf/s00078546n	http://dbpedia.org/resource/Tuesday
Officer	282,289	bn:00054972n	http://babelnet.org/rdf/s00054972n	http://dbpedia.org/resource/Officer_(armed_forces)
Hearst	297,303	bn:00043382n	http://babelnet.org/rdf/s00043382n	http://dbpedia.org/resource/William_Randolph_Hearst
shot	304,308	bn:00071206n	http://babelnet.org/rdf/s00071206n	null
killed	313,319	bn:00090098v	http://babelnet.org/rdf/s00090098v	null
Hayes	320,325	bn:00043213n	http://babelnet.org/rdf/s00043213n	http://dbpedia.org/resource/Rutherford_B._Hayes
following	326,335	bn:00088421v	http://babelnet.org/rdf/s00088421v	null
series of	338,347	bn:17106409n	http://babelnet.org/rdf/s17106409n	http://dbpedia.org/resource/World_Series_of_Fighting_2:_Arlovski_vs._Johnson
events	348,354	bn:00032021n	http://babelnet.org/rdf/s00032021n	null
began	360,365	bn:00083340v	http://babelnet.org/rdf/s00083340v	null
report	373,379	bn:00067181n	http://babelnet.org/rdf/s00067181n	http://dbpedia.org/resource/Report
armed robbery	386,399	bn:00005736n	http://babelnet.org/rdf/s00005736n	null
Value	416,421	bn:00079511n	http://babelnet.org/rdf/s00079511n	http://dbpedia.org/resource/Value_(personal_and_cultural)
Inn	422,425	bn:00007078n	http://babelnet.org/rdf/s00007078n	http://dbpedia.org/resource/Inn
Hotel	426,431	bn:00044967n	http://babelnet.org/rdf/s00044967n	http://dbpedia.org/resource/Hotel
victim	439,445	bn:00079940n	http://babelnet.org/rdf/s00079940n	null
told	446,450	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
officers	451,459	bn:00054972n	http://babelnet.org/rdf/s00054972n	http://dbpedia.org/resource/Officer_(armed_forces)
scene	467,472	bn:00069550n	http://babelnet.org/rdf/s00069550n	null
Hayes	473,478	bn:00043213n	http://babelnet.org/rdf/s00043213n	http://dbpedia.org/resource/Rutherford_B._Hayes
gun	485,488	bn:00042221n	http://babelnet.org/rdf/s00042221n	http://dbpedia.org/resource/Gun
head	496,500	bn:00012681n	http://babelnet.org/rdf/s00012681n	http://dbpedia.org/resource/Nous
held	505,509	bn:00089384v	http://babelnet.org/rdf/s00089384v	null
hostage	514,521	bn:00044917n	http://babelnet.org/rdf/s00044917n	http://dbpedia.org/resource/Hostage
car	529,532	bn:00007309n	http://babelnet.org/rdf/s00007309n	http://dbpedia.org/resource/Car
nearly	537,543	bn:00114079r	http://babelnet.org/rdf/s00114079r	null
minutes	547,554	bn:00055094n	http://babelnet.org/rdf/s00055094n	http://dbpedia.org/resource/Minute
stealing	562,570	bn:00094314v	http://babelnet.org/rdf/s00094314v	null
Oregon Trail	575,587	bn:03263162n	http://babelnet.org/rdf/s03263162n	http://dbpedia.org/resource/Oregon_Trail
EBT card	588,596	bn:03507292n	http://babelnet.org/rdf/s03507292n	http://dbpedia.org/resource/Electronic_Benefit_Transfer
clothes	606,613	bn:00006125n	http://babelnet.org/rdf/s00006125n	http://dbpedia.org/resource/Clothing
according	616,625	bn:00082227v	http://babelnet.org/rdf/s00082227v	null
Portland Police Bureau	629,651	bn:02750052n	http://babelnet.org/rdf/s02750052n	http://dbpedia.org/resource/Portland_Police_Bureau
short time	657,667	bn:02260267n	http://babelnet.org/rdf/s02260267n	http://dbpedia.org/resource/Short_time
later	668,673	bn:00114165r	http://babelnet.org/rdf/s00114165r	null
police	676,682	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
received	683,691	bn:00089246v	http://babelnet.org/rdf/s00089246v	null
report	694,700	bn:00067181n	http://babelnet.org/rdf/s00067181n	http://dbpedia.org/resource/Report
car prowl	706,715	bn:01424858n	http://babelnet.org/rdf/s01424858n	http://dbpedia.org/resource/Motor_vehicle_theft
Pet	727,730	bn:00061787n	http://babelnet.org/rdf/s00061787n	http://dbpedia.org/resource/Pet
Hospital	731,739	bn:00044896n	http://babelnet.org/rdf/s00044896n	http://dbpedia.org/resource/Hospital
nearby	740,746	bn:00116327r	http://babelnet.org/rdf/s00116327r	null
victim	753,759	bn:00079940n	http://babelnet.org/rdf/s00079940n	null
description	763,774	bn:00026501n	http://babelnet.org/rdf/s00026501n	http://dbpedia.org/resource/Linguistic_description
suspect	782,789	bn:00103017a	http://babelnet.org/rdf/s00103017a	null
matched	790,797	bn:00082477v	http://babelnet.org/rdf/s00082477v	null
provided	806,814	bn:00088643v	http://babelnet.org/rdf/s00088643v	null
victim	822,828	bn:00079940n	http://babelnet.org/rdf/s00079940n	null
initial	836,843	bn:00105119a	http://babelnet.org/rdf/s00105119a	null
robbery	844,851	bn:00068014n	http://babelnet.org/rdf/s00068014n	http://dbpedia.org/resource/Robbery
Police	854,860	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
said	866,870	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
item of clothing	874,890	bn:13738378n	http://babelnet.org/rdf/s13738378n	null
found	891,896	bn:00084231v	http://babelnet.org/rdf/s00084231v	null
second	904,910	bn:00095974a	http://babelnet.org/rdf/s00095974a	null
