SPD	0,3	bn:03437434n	[]	http://babelnet.org/rdf/s03437434n	http://dbpedia.org/resource/Social_Democratic_Party_of_Germany
Officer	6,13	bn:00054972n	[wn:10317007n]	http://babelnet.org/rdf/s00054972n	http://dbpedia.org/resource/Officer_(armed_forces)
accidentally	14,26	bn:00114102r	[wn:00040547r]	http://babelnet.org/rdf/s00114102r	null
shoots	27,33	bn:00089349v	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
self	34,38	bn:01897169n	[]	http://babelnet.org/rdf/s01897169n	http://dbpedia.org/resource/Self_(surname)
pulling	39,46	bn:00087234v	[wn:01448100v]	http://babelnet.org/rdf/s00087234v	null
weapon	47,53	bn:00005704n	[wn:04565375n]	http://babelnet.org/rdf/s00005704n	http://dbpedia.org/resource/Weapon
charging	57,65	bn:00084812v	[wn:01490336v]	http://babelnet.org/rdf/s00084812v	null
KSLA News 12	68,80	bn:01450961n	[]	http://babelnet.org/rdf/s01450961n	http://dbpedia.org/resource/KSLA
Shreveport , Louisiana	81,103	bn:00720468n	[]	http://babelnet.org/rdf/s00720468n	http://dbpedia.org/resource/Shreveport,_Louisiana
News	104,108	bn:00047028n	[wn:06642138n]	http://babelnet.org/rdf/s00047028n	null
Weather	109,116	bn:00006808n	[wn:11524662n]	http://babelnet.org/rdf/s00006808n	http://dbpedia.org/resource/Weather
Sports	119,125	bn:00006759n	[wn:00523513n]	http://babelnet.org/rdf/s00006759n	http://dbpedia.org/resource/Athletics_(sport)
