Metro	0,5	bn:00054667n	[wn:03757138n]	http://babelnet.org/rdf/s00054667n	null
investigating	6,19	bn:00089885v	[wn:00789138v]	http://babelnet.org/rdf/s00089885v	null
fatal	20,25	bn:00102827a	[wn:00993529a]	http://babelnet.org/rdf/s00102827a	null
shooting	26,34	bn:00089349v	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
block	42,47	bn:00011308n	[wn:02852523n]	http://babelnet.org/rdf/s00011308n	http://dbpedia.org/resource/Block_(district_subdivision)
Pennsylvania	51,63	bn:00049019n	[wn:09134386n]	http://babelnet.org/rdf/s00049019n	http://dbpedia.org/resource/Pennsylvania
WTOC	66,70	bn:01056314n	[]	http://babelnet.org/rdf/s01056314n	http://dbpedia.org/resource/WTOC_(AM)
TV	73,75	bn:00076373n	[wn:06277280n]	http://babelnet.org/rdf/s00076373n	http://dbpedia.org/resource/Television
Beaufort , SC	89,102	bn:00543653n	[]	http://babelnet.org/rdf/s00543653n	http://dbpedia.org/resource/Beaufort,_South_Carolina
News	105,109	bn:00047028n	[wn:06642138n]	http://babelnet.org/rdf/s00047028n	null
Weather	112,119	bn:00006808n	[wn:11524662n]	http://babelnet.org/rdf/s00006808n	http://dbpedia.org/resource/Weather
Sports	122,128	bn:00006759n	[wn:00523513n]	http://babelnet.org/rdf/s00006759n	http://dbpedia.org/resource/Athletics_(sport)
