LMPD	0,4	bn:03494126n	[]	http://babelnet.org/rdf/s03494126n	http://dbpedia.org/resource/Louisville_Metro_Police_Department
releases	5,13	bn:00042829n	[wn:06747484n]	http://babelnet.org/rdf/s00042829n	http://dbpedia.org/resource/Press_release
body	14,18	bn:00057551n	[wn:06269130n]	http://babelnet.org/rdf/s00057551n	http://dbpedia.org/resource/Article_(publishing)
footage	23,30	bn:00035702n	[wn:03378593n]	http://babelnet.org/rdf/s00035702n	null
deadly	34,40	bn:00100969a	[wn:00993667a]	http://babelnet.org/rdf/s00100969a	null
officer	41,48	bn:00058698n	[wn:10448983n]	http://babelnet.org/rdf/s00058698n	http://dbpedia.org/resource/Police_officer
involved	51,59	bn:00082428v	[wn:02677097v]	http://babelnet.org/rdf/s00082428v	null
News	92,96	bn:00057546n	[wn:06681177n]	http://babelnet.org/rdf/s00057546n	http://dbpedia.org/resource/News
Weather	99,106	bn:00006808n	[wn:11524662n]	http://babelnet.org/rdf/s00006808n	http://dbpedia.org/resource/Weather
Sports	109,115	bn:00006759n	[wn:00523513n]	http://babelnet.org/rdf/s00006759n	http://dbpedia.org/resource/Athletics_(sport)
