Manslaughter	0,12	bn:00053255n	[wn:00220409n]	http://babelnet.org/rdf/s00053255n	http://dbpedia.org/resource/Manslaughter
charges	13,20	bn:00017789n	[wn:00974762n]	http://babelnet.org/rdf/s00017789n	null
old	35,38	bn:00107791a	[wn:00127137a]	http://babelnet.org/rdf/s00107791a	null
Sumter	42,48	bn:00547105n	[]	http://babelnet.org/rdf/s00547105n	http://dbpedia.org/resource/Sumter,_South_Carolina
fatal	49,54	bn:00102827a	[wn:00993529a]	http://babelnet.org/rdf/s00102827a	null
shooting	55,63	bn:00086287v	[wn:02061495v]	http://babelnet.org/rdf/s00086287v	null
Charleston , SC	82,97	bn:03443880n	[]	http://babelnet.org/rdf/s03443880n	http://dbpedia.org/resource/Charleston,_South_Carolina
News	100,104	bn:00047028n	[wn:06642138n]	http://babelnet.org/rdf/s00047028n	null
Weather	107,114	bn:00006808n	[wn:11524662n]	http://babelnet.org/rdf/s00006808n	http://dbpedia.org/resource/Weather
Sports	117,123	bn:00006759n	[wn:00523513n]	http://babelnet.org/rdf/s00006759n	http://dbpedia.org/resource/Athletics_(sport)
