Suspect	0,7	bn:00075447n	[wn:10681383n]	http://babelnet.org/rdf/s00075447n	null
Reno	11,15	bn:01995416n	[]	http://babelnet.org/rdf/s01995416n	http://dbpedia.org/resource/Reno,_Nevada
Officer	16,23	bn:00058698n	[wn:10448983n]	http://babelnet.org/rdf/s00058698n	http://dbpedia.org/resource/Police_officer
Shooting	35,43	bn:00089349v	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
Arrested	44,52	bn:00946750n	[]	http://babelnet.org/rdf/s00946750n	http://dbpedia.org/resource/Arrest
Portola	56,63	bn:00197403n	[]	http://babelnet.org/rdf/s00197403n	http://dbpedia.org/resource/Portola,_California
KTVN	66,70	bn:02612151n	[]	http://babelnet.org/rdf/s02612151n	http://dbpedia.org/resource/KTVN
Channel	71,78	bn:00017686n	[wn:03006398n]	http://babelnet.org/rdf/s00017686n	http://dbpedia.org/resource/Television_channel
Reno	83,87	bn:01995416n	[]	http://babelnet.org/rdf/s01995416n	http://dbpedia.org/resource/Reno,_Nevada
Tahoe	88,93	bn:00049733n	[wn:09243209n]	http://babelnet.org/rdf/s00049733n	http://dbpedia.org/resource/Lake_Tahoe
Sparks	94,100	bn:00405308n	[]	http://babelnet.org/rdf/s00405308n	http://dbpedia.org/resource/Sparks,_Nevada
News	101,105	bn:00047028n	[wn:06642138n]	http://babelnet.org/rdf/s00047028n	null
Weather	108,115	bn:00006808n	[wn:11524662n]	http://babelnet.org/rdf/s00006808n	http://dbpedia.org/resource/Weather
Video	118,123	bn:00076373n	[wn:06277280n]	http://babelnet.org/rdf/s00076373n	http://dbpedia.org/resource/Television
