old boy	10,17	bn:00058803n	[wn:10375214n]	http://babelnet.org/rdf/s00058803n	null
critically	18,28	bn:00114882r	[wn:00184778r]	http://babelnet.org/rdf/s00114882r	null
injured	29,36	bn:00089751v	[wn:00069879v]	http://babelnet.org/rdf/s00089751v	null
Massachusetts	40,53	bn:00009233n	[wn:09095023n]	http://babelnet.org/rdf/s00009233n	http://dbpedia.org/resource/Massachusetts
Avenue	54,60	bn:00185797n	[]	http://babelnet.org/rdf/s00185797n	http://dbpedia.org/resource/Avenue_(store)
shoot	61,66	bn:00071199n	[wn:13164763n]	http://babelnet.org/rdf/s00071199n	http://dbpedia.org/resource/Shoot
WTOC	69,73	bn:01056314n	[]	http://babelnet.org/rdf/s01056314n	http://dbpedia.org/resource/WTOC_(AM)
TV	76,78	bn:00076373n	[wn:06277280n]	http://babelnet.org/rdf/s00076373n	http://dbpedia.org/resource/Television
Beaufort , SC	92,105	bn:00543653n	[]	http://babelnet.org/rdf/s00543653n	http://dbpedia.org/resource/Beaufort,_South_Carolina
News	108,112	bn:00047028n	[wn:06642138n]	http://babelnet.org/rdf/s00047028n	null
Weather	115,122	bn:00006808n	[wn:11524662n]	http://babelnet.org/rdf/s00006808n	http://dbpedia.org/resource/Weather
Sports	125,131	bn:00006759n	[wn:00523513n]	http://babelnet.org/rdf/s00006759n	http://dbpedia.org/resource/Athletics_(sport)
