County	8,14	bn:00023251n	[wn:08546183n]	http://babelnet.org/rdf/s00023251n	http://dbpedia.org/resource/Counties_of_England
child	15,20	bn:00018346n	[wn:09918248n]	http://babelnet.org/rdf/s00018346n	http://dbpedia.org/resource/Child
injured	21,28	bn:00089751v	[wn:00069879v]	http://babelnet.org/rdf/s00089751v	null
accidental	32,42	bn:00096263a	[wn:01338909a]	http://babelnet.org/rdf/s00096263a	null
shooting	43,51	bn:00089349v	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
Beckley	54,61	bn:00590525n	[]	http://babelnet.org/rdf/s00590525n	http://dbpedia.org/resource/Beckley,_West_Virginia
Bluefield	64,73	bn:00582124n	[]	http://babelnet.org/rdf/s00582124n	http://dbpedia.org/resource/Bluefield,_Virginia
News	86,90	bn:00057546n	[wn:06681177n]	http://babelnet.org/rdf/s00057546n	http://dbpedia.org/resource/News
Weather	93,100	bn:00006808n	[wn:11524662n]	http://babelnet.org/rdf/s00006808n	http://dbpedia.org/resource/Weather
Sports	103,109	bn:00006759n	[wn:00523513n]	http://babelnet.org/rdf/s00006759n	http://dbpedia.org/resource/Athletics_(sport)
