dead	2,3	bn:00100948a	Concept	[wn:00095280a]	http://babelnet.org/rdf/s00100948a	null
wounded	5,6	bn:00089751v	Concept	[wn:00069879v]	http://babelnet.org/rdf/s00089751v	null
Chicago	7,8	bn:00018253n	Named Entity	[wn:09083390n]	http://babelnet.org/rdf/s00018253n	http://dbpedia.org/resource/Windy_City_(musical)
shootings	8,9	bn:00071206n	Concept	[wn:00122661n]	http://babelnet.org/rdf/s00071206n	null
argument	10,11	bn:00005600n	Concept	[wn:06648724n]	http://babelnet.org/rdf/s00005600n	null
Southwest Side	13,15	bn:00440224n	Named Entity	[]	http://babelnet.org/rdf/s00440224n	http://dbpedia.org/resource/South_Side,_Chicago
Side street	14,16	bn:00071451n	Concept	[wn:04215287n]	http://babelnet.org/rdf/s00071451n	null
late	16,17	bn:00105751a	Concept	[wn:00816481a]	http://babelnet.org/rdf/s00105751a	null
Sunday	17,18	bn:00028190n	Concept	[wn:15163797n]	http://babelnet.org/rdf/s00028190n	http://dbpedia.org/resource/Lord's_Day
ended	18,19	bn:00084711v	Concept	[wn:02609764v]	http://babelnet.org/rdf/s00084711v	null
man	21,22	bn:00044576n	Concept	[wn:02472293n]	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
killed	22,23	bn:00090098v	Concept	[wn:01323958v]	http://babelnet.org/rdf/s00090098v	null
woman	25,26	bn:00001530n	Concept	[wn:10787470n]	http://babelnet.org/rdf/s00001530n	http://dbpedia.org/resource/Woman
wounded	26,27	bn:00089751v	Concept	[wn:00069879v]	http://babelnet.org/rdf/s00089751v	null
police	28,29	bn:00022026n	Concept	[wn:08209687n]	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
said	29,30	bn:00093287v	Concept	[wn:01009240v]	http://babelnet.org/rdf/s00093287v	null
people	36,37	bn:00061450n	Concept	[wn:07942152n]	http://babelnet.org/rdf/s00061450n	http://dbpedia.org/resource/People
shot	37,38	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
Sunday morning	39,41	bn:01514591n	Named Entity	[]	http://babelnet.org/rdf/s01514591n	http://dbpedia.org/resource/Sunday_Morning_(Earth,_Wind_&_Fire_song)
NEWLINE	42,43	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
fatal	44,45	bn:00102827a	Concept	[wn:00993529a]	http://babelnet.org/rdf/s00102827a	null
shooting	45,46	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
happened	46,47	bn:00085337v	Concept	[wn:00339934v]	http://babelnet.org/rdf/s00085337v	null
p.m.	49,50	bn:00116519r	Concept	[wn:00251408r]	http://babelnet.org/rdf/s00116519r	null
black	53,54	bn:00098480a	Concept	[wn:00392812a]	http://babelnet.org/rdf/s00098480a	null
Dodge Ram	54,56	bn:03895637n	Named Entity	[]	http://babelnet.org/rdf/s03895637n	http://dbpedia.org/resource/Dodge_Ram
pulled	56,57	bn:00091350v	Concept	[wn:00071803v]	http://babelnet.org/rdf/s00091350v	null
old	62,63	bn:00107786a	Concept	[wn:01643620a]	http://babelnet.org/rdf/s00107786a	null
Geovani	63,64	bn:00821185n	Named Entity	[]	http://babelnet.org/rdf/s00821185n	http://dbpedia.org/resource/Geovani
Mexicano	64,65	bn:00054680n	Concept	[wn:09723067n]	http://babelnet.org/rdf/s00054680n	http://dbpedia.org/resource/Mexican_American
old woman	69,71	bn:00058844n	Concept	[wn:10377021n]	http://babelnet.org/rdf/s00058844n	null
block	74,75	bn:00011308n	Concept	[wn:02852523n]	http://babelnet.org/rdf/s00011308n	http://dbpedia.org/resource/Block_(district_subdivision)
Avenue	78,79	bn:00007448n	Concept	[wn:02763472n]	http://babelnet.org/rdf/s00007448n	http://dbpedia.org/resource/Avenue_(landscape)
