caught	2,3	bn:00084509v	Concept	[wn:01215421v]	http://babelnet.org/rdf/s00084509v	null
wanted	6,7	bn:00086682v	Concept	[wn:01825237v]	http://babelnet.org/rdf/s00086682v	null
area	10,11	bn:00005513n	Concept	[wn:08497294n]	http://babelnet.org/rdf/s00005513n	http://dbpedia.org/resource/Area
home invasion	11,13	bn:00044509n	Concept	[wn:00785482n]	http://babelnet.org/rdf/s00044509n	http://dbpedia.org/resource/Home_invasion
Prince William	14,16	bn:03805565n	Named Entity	[]	http://babelnet.org/rdf/s03805565n	http://dbpedia.org/resource/Prince_William_County,_Virginia
police	16,17	bn:00022026n	Concept	[wn:08209687n]	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
NEWLINE	18,19	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
Malicious Wounding	19,21	bn:00050776n	Concept	[wn:14298815n]	http://babelnet.org/rdf/s00050776n	http://dbpedia.org/resource/Grievous_bodily_harm
ARRESTS	22,23	bn:00946750n	Concept	[]	http://babelnet.org/rdf/s00946750n	http://dbpedia.org/resource/Arrest
ADDITIONAL	24,25	bn:13696085n	Concept	[]	http://babelnet.org/rdf/s13696085n	null
SUSPECTS	25,26	bn:00025884n	Concept	[wn:09762101n]	http://babelnet.org/rdf/s00025884n	http://dbpedia.org/resource/Suspect
IDENTIFIED	26,27	bn:00926225n	Named Entity	[]	http://babelnet.org/rdf/s00926225n	http://dbpedia.org/resource/Identified
February 11	29,31	bn:00241420n	Named Entity	[]	http://babelnet.org/rdf/s00241420n	http://dbpedia.org/resource/February_11
detectives	32,33	bn:00026633n	Concept	[wn:10009276n]	http://babelnet.org/rdf/s00026633n	http://dbpedia.org/resource/Detective
Robbery	35,36	bn:00068014n	Concept	[wn:00781685n]	http://babelnet.org/rdf/s00068014n	http://dbpedia.org/resource/Robbery
Unit	36,37	bn:00021497n	Concept	[wn:06566077n]	http://babelnet.org/rdf/s00021497n	http://dbpedia.org/resource/Software
identified	37,38	bn:00089574v	Concept	[wn:00618878v]	http://babelnet.org/rdf/s00089574v	null
suspects	39,40	bn:00025884n	Concept	[wn:09762101n]	http://babelnet.org/rdf/s00025884n	http://dbpedia.org/resource/Suspect
involved	40,41	bn:00082428v	Concept	[wn:02677097v]	http://babelnet.org/rdf/s00082428v	null
home invasion	43,45	bn:00044509n	Concept	[wn:00785482n]	http://babelnet.org/rdf/s00044509n	http://dbpedia.org/resource/Home_invasion
occurred	46,47	bn:00085337v	Concept	[wn:00339934v]	http://babelnet.org/rdf/s00085337v	null
residence	49,50	bn:00000355n	Concept	[wn:08558963n]	http://babelnet.org/rdf/s00000355n	null
located	50,51	bn:00106113a	Concept	[wn:02126430a]	http://babelnet.org/rdf/s00106113a	null
block	54,55	bn:00011308n	Concept	[wn:02852523n]	http://babelnet.org/rdf/s00011308n	http://dbpedia.org/resource/Block_(district_subdivision)
Ct	57,58	bn:00021904n	Named Entity	[wn:09068444n]	http://babelnet.org/rdf/s00021904n	http://dbpedia.org/resource/Connecticut
January 22	61,63	bn:00832177n	Named Entity	[]	http://babelnet.org/rdf/s00832177n	http://dbpedia.org/resource/January_22
Following	64,65	bn:00088421v	Concept	[wn:01998432v]	http://babelnet.org/rdf/s00088421v	null
investigation	66,67	bn:00047354n	Concept	[wn:00633864n]	http://babelnet.org/rdf/s00047354n	null
detectives	68,69	bn:00026633n	Concept	[wn:10009276n]	http://babelnet.org/rdf/s00026633n	http://dbpedia.org/resource/Detective
obtained	69,70	bn:00091124v	Concept	[wn:02238085v]	http://babelnet.org/rdf/s00091124v	null
warrants	70,71	bn:00080504n	Concept	[wn:06547059n]	http://babelnet.org/rdf/s00080504n	http://dbpedia.org/resource/Warrant_(law)
arrests	73,74	bn:00946750n	Concept	[]	http://babelnet.org/rdf/s00946750n	http://dbpedia.org/resource/Arrest
February 13	76,78	bn:00239764n	Named Entity	[]	http://babelnet.org/rdf/s00239764n	http://dbpedia.org/resource/February_13
detectives	79,80	bn:00026633n	Concept	[wn:10009276n]	http://babelnet.org/rdf/s00026633n	http://dbpedia.org/resource/Detective
located	80,81	bn:00106113a	Concept	[wn:02126430a]	http://babelnet.org/rdf/s00106113a	null
