Police	1,2	bn:00022026n	Concept	[wn:08209687n]	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
shooting	4,5	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
started	5,6	bn:00083340v	Concept	[wn:00345761v]	http://babelnet.org/rdf/s00083340v	null
robbery	8,9	bn:00068014n	Concept	[wn:00781685n]	http://babelnet.org/rdf/s00068014n	http://dbpedia.org/resource/Robbery
DAYTON , Ohio	9,12	bn:03705412n	Named Entity	[]	http://babelnet.org/rdf/s03705412n	http://dbpedia.org/resource/Dayton,_Ohio
WDTN	13,14	bn:03806870n	Named Entity	[]	http://babelnet.org/rdf/s03806870n	http://dbpedia.org/resource/WDTN
Dayton	16,17	bn:03705412n	Named Entity	[]	http://babelnet.org/rdf/s03705412n	http://dbpedia.org/resource/Dayton,_Ohio
Police	17,18	bn:00022026n	Concept	[wn:08209687n]	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
met with	18,20	bn:13701674v	Concept	[]	http://babelnet.org/rdf/s13701674v	null
reporters	20,21	bn:00057562n	Concept	[wn:10521662n]	http://babelnet.org/rdf/s00057562n	null
Wednesday	21,22	bn:00054897n	Concept	[wn:15164233n]	http://babelnet.org/rdf/s00054897n	http://dbpedia.org/resource/Wednesday
discuss	23,24	bn:00086942v	Concept	[wn:00813978v]	http://babelnet.org/rdf/s00086942v	null
shooting	25,26	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
death	26,27	bn:00025582n	Concept	[wn:07355491n]	http://babelnet.org/rdf/s00025582n	http://dbpedia.org/resource/Death
Dayton	29,30	bn:03705412n	Named Entity	[]	http://babelnet.org/rdf/s03705412n	http://dbpedia.org/resource/Dayton,_Ohio
teen	30,31	bn:00001480n	Concept	[wn:09772029n]	http://babelnet.org/rdf/s00001480n	null
NEWLINE	32,33	bn:00051314n	Concept	[wn:13508183n]	http://babelnet.org/rdf/s00051314n	http://dbpedia.org/resource/Newline
Police	33,34	bn:00022026n	Concept	[wn:08209687n]	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
said	34,35	bn:00093287v	Concept	[wn:01009240v]	http://babelnet.org/rdf/s00093287v	null
shooting	36,37	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
killed	38,39	bn:00090098v	Concept	[wn:01323958v]	http://babelnet.org/rdf/s00090098v	null
old	41,42	bn:00107786a	Concept	[wn:01643620a]	http://babelnet.org/rdf/s00107786a	null
Banks	43,44	bn:00008364n	Concept	[wn:08420278n]	http://babelnet.org/rdf/s00008364n	http://dbpedia.org/resource/Bank
Tuesday night	44,46	bn:02419923n	Named Entity	[]	http://babelnet.org/rdf/s02419923n	http://dbpedia.org/resource/Josh_Abbott_Band
night started	45,47	bn:03008140n	Concept	[]	http://babelnet.org/rdf/s03008140n	http://dbpedia.org/resource/Hypnic_jerk
started out	46,48	bn:00083340v	Concept	[wn:00345761v]	http://babelnet.org/rdf/s00083340v	null
robbery	50,51	bn:00068014n	Concept	[wn:00781685n]	http://babelnet.org/rdf/s00068014n	http://dbpedia.org/resource/Robbery
According	52,53	bn:00082227v	Concept	[wn:02700104v]	http://babelnet.org/rdf/s00082227v	null
investigators	54,55	bn:00047356n	Concept	[wn:10523076n]	http://babelnet.org/rdf/s00047356n	null
spent	57,58	bn:00091458v	Concept	[wn:02708420v]	http://babelnet.org/rdf/s00091458v	null
shell casings	58,60	bn:00016332n	Concept	[wn:02971691n]	http://babelnet.org/rdf/s00016332n	http://dbpedia.org/resource/Cartridge_(firearms)
found	61,62	bn:00084231v	Concept	[wn:02248465v]	http://babelnet.org/rdf/s00084231v	null
scene	64,65	bn:00069550n	Concept	[wn:08645963n]	http://babelnet.org/rdf/s00069550n	null
