Police	1,2	bn:00022026n	Concept	[wn:08209687n]	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
carjacking	3,4	bn:00084537v	Concept	[wn:01472417v]	http://babelnet.org/rdf/s00084537v	null
suspect	4,5	bn:00025884n	Concept	[wn:09762101n]	http://babelnet.org/rdf/s00025884n	http://dbpedia.org/resource/Suspect
officer	6,7	bn:00054972n	Concept	[wn:10317007n]	http://babelnet.org/rdf/s00054972n	http://dbpedia.org/resource/Officer_(armed_forces)
involved	8,9	bn:00082822v	Concept	[wn:02627934v]	http://babelnet.org/rdf/s00082822v	null
shooting	9,10	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
ALBUQUERQUE , N.M.	10,13	bn:03299291n	Named Entity	[]	http://babelnet.org/rdf/s03299291n	http://dbpedia.org/resource/Albuquerque,_New_Mexico
KRQE	14,15	bn:01616058n	Named Entity	[]	http://babelnet.org/rdf/s01616058n	http://dbpedia.org/resource/KRQE
scary	18,19	bn:00097890a	Concept	[wn:00193799a]	http://babelnet.org/rdf/s00097890a	null
situation	19,20	bn:00071869n	Concept	[wn:13927383n]	http://babelnet.org/rdf/s00071869n	http://dbpedia.org/resource/State_of_affairs_(philosophy)
unfolded	20,21	bn:00083647v	Concept	[wn:00293760v]	http://babelnet.org/rdf/s00083647v	null
Friday	21,22	bn:00036512n	Concept	[wn:15164463n]	http://babelnet.org/rdf/s00036512n	http://dbpedia.org/resource/Friday
afternoon	22,23	bn:00001875n	Concept	[wn:15166191n]	http://babelnet.org/rdf/s00001875n	http://dbpedia.org/resource/Afternoon
parking lot	25,27	bn:00015795n	Concept	[wn:08615638n]	http://babelnet.org/rdf/s00015795n	http://dbpedia.org/resource/Parking_lot
state office	29,31	bn:03131707n	Named Entity	[]	http://babelnet.org/rdf/s03131707n	http://dbpedia.org/resource/Great_Officer_of_State
office building	30,32	bn:00058689n	Concept	[wn:03842012n]	http://babelnet.org/rdf/s00058689n	null
