Woman	1,2	bn:00001530n	Concept	[wn:10787470n]	http://babelnet.org/rdf/s00001530n	http://dbpedia.org/resource/Woman
old	5,6	bn:00107786a	Concept	[wn:01643620a]	http://babelnet.org/rdf/s00107786a	null
old boys	9,11	bn:00058803n	Concept	[wn:10375214n]	http://babelnet.org/rdf/s00058803n	null
killed	11,12	bn:00090098v	Concept	[wn:01323958v]	http://babelnet.org/rdf/s00090098v	null
shooting	14,15	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
Photo	15,16	bn:00032381n	Concept	[wn:03925226n]	http://babelnet.org/rdf/s00032381n	http://dbpedia.org/resource/Photograph
courtesy	16,17	bn:00023322n	Concept	[wn:01228245n]	http://babelnet.org/rdf/s00023322n	null
neighbors	18,19	bn:00057219n	Concept	[wn:10352299n]	http://babelnet.org/rdf/s00057219n	null
Photo	20,21	bn:00032381n	Concept	[wn:03925226n]	http://babelnet.org/rdf/s00032381n	http://dbpedia.org/resource/Photograph
Photo	22,23	bn:00032381n	Concept	[wn:03925226n]	http://babelnet.org/rdf/s00032381n	http://dbpedia.org/resource/Photograph
courtesy	23,24	bn:00023322n	Concept	[wn:01228245n]	http://babelnet.org/rdf/s00023322n	null
neighbors	25,26	bn:00057219n	Concept	[wn:10352299n]	http://babelnet.org/rdf/s00057219n	null
NEWLINE	27,28	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
NEW ORLEANS	28,30	bn:00057491n	Named Entity	[wn:09091909n]	http://babelnet.org/rdf/s00057491n	http://dbpedia.org/resource/New_Orleans
police dispatcher	32,34	bn:00027650n	Concept	[wn:10017422n]	http://babelnet.org/rdf/s00027650n	http://dbpedia.org/resource/Dispatcher
air	37,38	bn:00002185n	Concept	[wn:14841267n]	http://babelnet.org/rdf/s00002185n	http://dbpedia.org/resource/Atmosphere_of_Earth
dawn	39,40	bn:00007205n	Concept	[wn:15168790n]	http://babelnet.org/rdf/s00007205n	http://dbpedia.org/resource/Sunrise
Friday	40,41	bn:00036512n	Concept	[wn:15164463n]	http://babelnet.org/rdf/s00036512n	http://dbpedia.org/resource/Friday
report	43,44	bn:00067181n	Concept	[wn:07218470n]	http://babelnet.org/rdf/s00067181n	http://dbpedia.org/resource/Report
shooting	46,47	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
quiet	49,50	bn:00109358a	Concept	[wn:01922763a]	http://babelnet.org/rdf/s00109358a	null
street	50,51	bn:00074595n	Concept	[wn:04334599n]	http://babelnet.org/rdf/s00074595n	http://dbpedia.org/resource/Street
NEWLINE	54,55	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
officers	56,57	bn:00054972n	Concept	[wn:10317007n]	http://babelnet.org/rdf/s00054972n	http://dbpedia.org/resource/Officer_(armed_forces)
arrived	57,58	bn:00082788v	Concept	[wn:02005948v]	http://babelnet.org/rdf/s00082788v	null
home	60,61	bn:00000356n	Concept	[wn:03259505n, wn:08559508n]	http://babelnet.org/rdf/s00000356n	http://dbpedia.org/resource/Home
block	64,65	bn:00011308n	Concept	[wn:02852523n]	http://babelnet.org/rdf/s00011308n	http://dbpedia.org/resource/Block_(district_subdivision)
Touro	66,67	bn:01181336n	Named Entity	[]	http://babelnet.org/rdf/s01181336n	http://dbpedia.org/resource/Touro_(sculpture)
Street	67,68	bn:00074595n	Concept	[wn:04334599n]	http://babelnet.org/rdf/s00074595n	http://dbpedia.org/resource/Street
just	68,69	bn:00114626r	Concept	[wn:00004722r]	http://babelnet.org/rdf/s00114626r	null
a.m.	71,72	bn:00114043r	Concept	[wn:00251304r]	http://babelnet.org/rdf/s00114043r	null
found	74,75	bn:00084231v	Concept	[wn:02248465v]	http://babelnet.org/rdf/s00084231v	null
Superintendent	76,77	bn:00059905n	Concept	[wn:10388732n]	http://babelnet.org/rdf/s00059905n	http://dbpedia.org/resource/Superintendent_(education)
Michael	77,78	bn:00054715n	Concept	[wn:09539517n]	http://babelnet.org/rdf/s00054715n	http://dbpedia.org/resource/Michael_(archangel)
Harrison	78,79	bn:00040218n	Named Entity	[wn:11031842n]	http://babelnet.org/rdf/s00040218n	http://dbpedia.org/resource/George_Harrison
described	79,80	bn:00086612v	Concept	[wn:00987071v]	http://babelnet.org/rdf/s00086612v	null
horrific	83,84	bn:00097890a	Concept	[wn:00193799a]	http://babelnet.org/rdf/s00097890a	null
scene	85,86	bn:00069550n	Concept	[wn:08645963n]	http://babelnet.org/rdf/s00069550n	null
NEWLINE	87,88	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
Dead inside	88,90	bn:00079102n	Concept	[wn:14391480n]	http://babelnet.org/rdf/s00079102n	http://dbpedia.org/resource/Major_depressive_disorder
gunshot wounds	91,93	bn:00191195n	Concept	[]	http://babelnet.org/rdf/s00191195n	http://dbpedia.org/resource/Ballistic_trauma
Monique Smith	94,96	bn:00265529n	Named Entity	[]	http://babelnet.org/rdf/s00265529n	http://dbpedia.org/resource/Monique_Smith
Simms	100,101	bn:01608117n	Named Entity	[]	http://babelnet.org/rdf/s01608117n	http://dbpedia.org/resource/SIMM
Smith	106,107	bn:00001250n	Named Entity	[wn:11305258n]	http://babelnet.org/rdf/s00001250n	http://dbpedia.org/resource/Adam_Smith
NEWLINE	110,111	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
fourth	112,113	bn:00096026a	Concept	[wn:02202443a]	http://babelnet.org/rdf/s00096026a	null
