old	3,4	bn:00107786a	Concept	[wn:01643620a]	http://babelnet.org/rdf/s00107786a	null
grandfather	6,7	bn:00041310n	Concept	[wn:10142391n]	http://babelnet.org/rdf/s00041310n	null
charged	7,8	bn:00083234v	Concept	[wn:01121719v]	http://babelnet.org/rdf/s00083234v	null
shooting	9,10	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
death	10,11	bn:00025582n	Concept	[wn:07355491n]	http://babelnet.org/rdf/s00025582n	http://dbpedia.org/resource/Death
Jessamine	12,13	bn:00021110n	Concept	[wn:12307240n]	http://babelnet.org/rdf/s00021110n	http://dbpedia.org/resource/Jasminum_officinale
teen	13,14	bn:00001480n	Concept	[wn:09772029n]	http://babelnet.org/rdf/s00001480n	null
Fox	16,17	bn:00036129n	Concept	[wn:02118333n]	http://babelnet.org/rdf/s00036129n	http://dbpedia.org/resource/Fox
work	18,19	bn:00081568n	Concept	[wn:00575741n]	http://babelnet.org/rdf/s00081568n	null
paying	20,21	bn:00091493v	Concept	[wn:02251743v]	http://babelnet.org/rdf/s00091493v	null
Pause	22,23	bn:00012901n	Concept	[wn:15271008n]	http://babelnet.org/rdf/s00012901n	http://dbpedia.org/resource/Nonchord_tone
NEWLINE	23,24	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
Paul	25,26	bn:00004984n	Named Entity	[wn:11225661n]	http://babelnet.org/rdf/s00004984n	http://dbpedia.org/resource/Paul_the_Apostle
Republican	27,28	bn:00041113n	Named Entity	[wn:08263113n]	http://babelnet.org/rdf/s00041113n	http://dbpedia.org/resource/Republican_Party_(United_States)
vote	29,30	bn:00095572v	Concept	[wn:02461314v]	http://babelnet.org/rdf/s00095572v	null
Senate	33,34	bn:00070459n	Concept	[wn:08161591n]	http://babelnet.org/rdf/s00070459n	http://dbpedia.org/resource/United_States_Senate
step	34,35	bn:00054018n	Concept	[wn:00174412n]	http://babelnet.org/rdf/s00054018n	null
repeal	36,37	bn:00082643v	Concept	[wn:00799798v]	http://babelnet.org/rdf/s00082643v	null
Obamacare	37,38	bn:01870143n	Named Entity	[]	http://babelnet.org/rdf/s01870143n	http://dbpedia.org/resource/Patient_Protection_and_Affordable_Care_Act
proposes	39,40	bn:00082417v	Concept	[wn:00875394v]	http://babelnet.org/rdf/s00082417v	null
