person	2,3	bn:00046516n	Concept	[wn:00007846n]	http://babelnet.org/rdf/s00046516n	http://dbpedia.org/resource/Individual
reportedly	3,4	bn:00116829r	Concept	[wn:00200927r]	http://babelnet.org/rdf/s00116829r	null
shot	4,5	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
shooting	6,7	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
southwest Oklahoma	8,10	bn:00144865n	Named Entity	[]	http://babelnet.org/rdf/s00144865n	http://dbpedia.org/resource/Southwestern_Oklahoma
Oklahoma City	9,11	bn:00015597n	Named Entity	[wn:09132597n]	http://babelnet.org/rdf/s00015597n	http://dbpedia.org/resource/Oklahoma_City
OKLAHOMA CITY	11,13	bn:00015597n	Named Entity	[wn:09132597n]	http://babelnet.org/rdf/s00015597n	http://dbpedia.org/resource/Oklahoma_City
Police	14,15	bn:00022026n	Concept	[wn:08209687n]	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
investigating	16,17	bn:00087655v	Concept	[wn:00785962v]	http://babelnet.org/rdf/s00087655v	null
shooting	18,19	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
apartment complex	21,23	bn:00004836n	Concept	[wn:02726305n]	http://babelnet.org/rdf/s00004836n	http://dbpedia.org/resource/Apartment
Wednesday	23,24	bn:00524671n	Named Entity	[]	http://babelnet.org/rdf/s00524671n	http://dbpedia.org/resource/Wednesday_(band)
afternoon	24,25	bn:00819924n	Named Entity	[]	http://babelnet.org/rdf/s00819924n	http://dbpedia.org/resource/Afternoon_(newspaper)
NEWLINE	26,27	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
happened	28,29	bn:00085337v	Concept	[wn:00339934v]	http://babelnet.org/rdf/s00085337v	null
block	32,33	bn:00011308n	Concept	[wn:02852523n]	http://babelnet.org/rdf/s00011308n	http://dbpedia.org/resource/Block_(district_subdivision)
Brookwood	34,35	bn:00170635n	Named Entity	[]	http://babelnet.org/rdf/s00170635n	http://dbpedia.org/resource/Brookwood,_Alabama
Drive	35,36	bn:01068159n	Named Entity	[]	http://babelnet.org/rdf/s01068159n	http://dbpedia.org/resource/Stephen_Ashbrook
Brookwood Village	38,40	bn:03162440n	Named Entity	[]	http://babelnet.org/rdf/s03162440n	http://dbpedia.org/resource/Colonial_Brookwood_Village
Apartments	40,41	bn:00004836n	Concept	[wn:02726305n]	http://babelnet.org/rdf/s00004836n	http://dbpedia.org/resource/Apartment
NEWLINE	42,43	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
Police	43,44	bn:00022026n	Concept	[wn:08209687n]	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
say	44,45	bn:00093287v	Concept	[wn:01009240v]	http://babelnet.org/rdf/s00093287v	null
person	46,47	bn:00046516n	Concept	[wn:00007846n]	http://babelnet.org/rdf/s00046516n	http://dbpedia.org/resource/Individual
reportedly	48,49	bn:00116829r	Concept	[wn:00200927r]	http://babelnet.org/rdf/s00116829r	null
shot	50,51	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
NEWLINE	52,53	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
Officials	53,54	bn:00036837n	Concept	[wn:10372373n]	http://babelnet.org/rdf/s00036837n	http://dbpedia.org/resource/Official
currently	55,56	bn:00114905r	Concept	[wn:00048268r]	http://babelnet.org/rdf/s00114905r	null
investigating	56,57	bn:00087655v	Concept	[wn:00785962v]	http://babelnet.org/rdf/s00087655v	null
NEWLINE	58,59	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
developing	62,63	bn:00086733v	Concept	[wn:01738774v]	http://babelnet.org/rdf/s00086733v	null
story	63,64	bn:00056857n	Concept	[wn:07221094n]	http://babelnet.org/rdf/s00056857n	http://dbpedia.org/resource/Narration
Check	65,66	bn:00008378n	Concept	[wn:13381734n]	http://babelnet.org/rdf/s00008378n	http://dbpedia.org/resource/Cheque
updates	68,69	bn:00439934n	Named Entity	[]	http://babelnet.org/rdf/s00439934n	http://dbpedia.org/resource/Update_(Jane_Zhang_album)
