Police	2,3	bn:00022026n	Concept	[wn:08209687n]	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
Shooting	4,5	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
East Hillside	7,9	bn:00316586n	Named Entity	[]	http://babelnet.org/rdf/s00316586n	http://dbpedia.org/resource/East_Hillside_(Duluth)
Apartment	9,10	bn:00004836n	Concept	[wn:02726305n]	http://babelnet.org/rdf/s00004836n	http://dbpedia.org/resource/Apartment
Officers	10,11	bn:00058698n	Concept	[wn:10448983n]	http://babelnet.org/rdf/s00058698n	http://dbpedia.org/resource/Police_officer
responded	11,12	bn:00092421v	Concept	[wn:00717358v]	http://babelnet.org/rdf/s00092421v	null
hospital	14,15	bn:00044896n	Concept	[wn:03540595n]	http://babelnet.org/rdf/s00044896n	http://dbpedia.org/resource/Hospital
p.m.	18,19	bn:01389062n	Named Entity	[]	http://babelnet.org/rdf/s01389062n	http://dbpedia.org/resource/P.M._Dawn
report	21,22	bn:00067181n	Concept	[wn:07218470n]	http://babelnet.org/rdf/s00067181n	http://dbpedia.org/resource/Report
shooting	24,25	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
victim	25,26	bn:15632248n	Concept	[]	http://babelnet.org/rdf/s15632248n	null
established	29,30	bn:00087732v	Concept	[wn:02427103v]	http://babelnet.org/rdf/s00087732v	null
crime scene	31,33	bn:00775951n	Concept	[]	http://babelnet.org/rdf/s00775951n	http://dbpedia.org/resource/Crime_scene
area	35,36	bn:00005513n	Concept	[wn:08497294n]	http://babelnet.org/rdf/s00005513n	http://dbpedia.org/resource/Area
7th	37,38	bn:00096074a	Concept	[wn:02202979a]	http://babelnet.org/rdf/s00096074a	null
Avenue	38,39	bn:00007448n	Concept	[wn:02763472n]	http://babelnet.org/rdf/s00007448n	http://dbpedia.org/resource/Avenue_(landscape)
East	39,40	bn:00029050n	Concept	[wn:13832355n]	http://babelnet.org/rdf/s00029050n	http://dbpedia.org/resource/East
4th	41,42	bn:00096026a	Concept	[wn:02202443a]	http://babelnet.org/rdf/s00096026a	null
Street	42,43	bn:00074595n	Concept	[wn:04334599n]	http://babelnet.org/rdf/s00074595n	http://dbpedia.org/resource/Street
East Hillside	45,47	bn:00316586n	Named Entity	[]	http://babelnet.org/rdf/s00316586n	http://dbpedia.org/resource/East_Hillside_(Duluth)
neighborhood	47,48	bn:00051758n	Concept	[wn:08641113n]	http://babelnet.org/rdf/s00051758n	http://dbpedia.org/resource/Neighbourhood
intersection	50,51	bn:00047215n	Concept	[wn:05866653n]	http://babelnet.org/rdf/s00047215n	http://dbpedia.org/resource/Intersection
closed	52,53	bn:00085169v	Concept	[wn:02375619v]	http://babelnet.org/rdf/s00085169v	null
police tape	54,56	bn:03032250n	Concept	[]	http://babelnet.org/rdf/s03032250n	http://dbpedia.org/resource/Barricade_tape
put up	57,59	bn:00091882v	Concept	[wn:01570403v]	http://babelnet.org/rdf/s00091882v	null
apartment building	61,63	bn:00004837n	Concept	[wn:02726681n]	http://babelnet.org/rdf/s00004837n	null
NEWLINE	64,65	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
Just	65,66	bn:03099136n	Named Entity	[]	http://babelnet.org/rdf/s03099136n	http://dbpedia.org/resource/Just_(song)
p.m.	68,69	bn:00116519r	Concept	[wn:00251408r]	http://babelnet.org/rdf/s00116519r	null
appeared	71,72	bn:00082690v	Concept	[wn:02133435v]	http://babelnet.org/rdf/s00082690v	null
tactical	75,76	bn:00111616a	Concept	[wn:02951000a]	http://babelnet.org/rdf/s00111616a	null
team	76,77	bn:00068051n	Concept	[wn:08250501n]	http://babelnet.org/rdf/s00068051n	http://dbpedia.org/resource/Musical_ensemble
approached	77,78	bn:00082732v	Concept	[wn:02053941v]	http://babelnet.org/rdf/s00082732v	null
apartment	79,80	bn:00004836n	Concept	[wn:02726305n]	http://babelnet.org/rdf/s00004836n	http://dbpedia.org/resource/Apartment
door	81,82	bn:00028247n	Concept	[wn:03221720n]	http://babelnet.org/rdf/s00028247n	http://dbpedia.org/resource/Door
said	83,84	bn:00093287v	Concept	[wn:01009240v]	http://babelnet.org/rdf/s00093287v	null
executing	86,87	bn:00087820v	Concept	[wn:02483267v]	http://babelnet.org/rdf/s00087820v	null
search warrant	88,90	bn:00070044n	Concept	[wn:06547321n]	http://babelnet.org/rdf/s00070044n	http://dbpedia.org/resource/Search_warrant
demanded	92,93	bn:00082822v	Concept	[wn:02627934v]	http://babelnet.org/rdf/s00082822v	null
occupants	94,95	bn:00058564n	Concept	[wn:10523519n]	http://babelnet.org/rdf/s00058564n	null
come to	95,97	bn:00083240v	Concept	[wn:02676054v]	http://babelnet.org/rdf/s00083240v	null
door	98,99	bn:00028247n	Concept	[wn:03221720n]	http://babelnet.org/rdf/s00028247n	http://dbpedia.org/resource/Door
Authorities	100,101	bn:00001961n	Concept	[wn:08337324n]	http://babelnet.org/rdf/s00001961n	http://dbpedia.org/resource/Government_agency
entered	101,102	bn:00085363v	Concept	[wn:02016523v]	http://babelnet.org/rdf/s00085363v	null
apartment	103,104	bn:00004836n	Concept	[wn:02726305n]	http://babelnet.org/rdf/s00004836n	http://dbpedia.org/resource/Apartment
minutes	106,107	bn:00055094n	Concept	[wn:15234764n]	http://babelnet.org/rdf/s00055094n	http://dbpedia.org/resource/Minute
later	107,108	bn:00114165r	Concept	[wn:00061203r]	http://babelnet.org/rdf/s00114165r	null
