old	3,4	bn:00107786a	Concept	[wn:01643620a]	http://babelnet.org/rdf/s00107786a	null
killed	4,5	bn:00090098v	Concept	[wn:01323958v]	http://babelnet.org/rdf/s00090098v	null
old	8,9	bn:00107786a	Concept	[wn:01643620a]	http://babelnet.org/rdf/s00107786a	null
injured	9,10	bn:00089751v	Concept	[wn:00069879v]	http://babelnet.org/rdf/s00089751v	null
9th Ward	11,13	bn:01657910n	Named Entity	[]	http://babelnet.org/rdf/s01657910n	http://dbpedia.org/resource/Ninth_Ward_of_New_Orleans
shooting	13,14	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
Photo	15,16	bn:00032381n	Concept	[wn:03925226n]	http://babelnet.org/rdf/s00032381n	http://dbpedia.org/resource/Photograph
Sam	19,20	bn:00069045n	Concept	[wn:04363210n]	http://babelnet.org/rdf/s00069045n	http://dbpedia.org/resource/Surface-to-air_missile
NEWLINE	21,22	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
NEW ORLEANS	22,24	bn:00057491n	Named Entity	[wn:09091909n]	http://babelnet.org/rdf/s00057491n	http://dbpedia.org/resource/New_Orleans
Police	25,26	bn:00022026n	Concept	[wn:08209687n]	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
investigating	27,28	bn:00089885v	Concept	[wn:00789138v]	http://babelnet.org/rdf/s00089885v	null
fatal	29,30	bn:00102827a	Concept	[wn:00993529a]	http://babelnet.org/rdf/s00102827a	null
double	30,31	bn:00101723a	Concept	[wn:02217799a]	http://babelnet.org/rdf/s00101723a	null
shooting	31,32	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
involving	32,33	bn:00082822v	Concept	[wn:02627934v]	http://babelnet.org/rdf/s00082822v	null
teenagers	34,35	bn:00001480n	Concept	[wn:09772029n]	http://babelnet.org/rdf/s00001480n	null
Ninth Ward	37,39	bn:01657910n	Named Entity	[]	http://babelnet.org/rdf/s01657910n	http://dbpedia.org/resource/Ninth_Ward_of_New_Orleans
Saturday	39,40	bn:00068696n	Concept	[wn:15164570n]	http://babelnet.org/rdf/s00068696n	http://dbpedia.org/resource/Saturday
night	40,41	bn:00025236n	Concept	[wn:15167027n]	http://babelnet.org/rdf/s00025236n	http://dbpedia.org/resource/Night
NEWLINE	42,43	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
Authorities	43,44	bn:00001961n	Concept	[wn:08337324n]	http://babelnet.org/rdf/s00001961n	http://dbpedia.org/resource/Government_agency
said	44,45	bn:00093287v	Concept	[wn:01009240v]	http://babelnet.org/rdf/s00093287v	null
happened	46,47	bn:00085337v	Concept	[wn:00339934v]	http://babelnet.org/rdf/s00085337v	null
shortly	47,48	bn:00116971r	Concept	[wn:00034189r]	http://babelnet.org/rdf/s00116971r	null
block	54,55	bn:00011308n	Concept	[wn:02852523n]	http://babelnet.org/rdf/s00011308n	http://dbpedia.org/resource/Block_(district_subdivision)
Desire Street	56,58	bn:03575828n	Named Entity	[]	http://babelnet.org/rdf/s03575828n	http://dbpedia.org/resource/Desire_Street
NEWLINE	59,60	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
Police	60,61	bn:00022026n	Concept	[wn:08209687n]	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
said	61,62	bn:00093287v	Concept	[wn:01009240v]	http://babelnet.org/rdf/s00093287v	null
found	63,64	bn:00084231v	Concept	[wn:02248465v]	http://babelnet.org/rdf/s00084231v	null
body	65,66	bn:00011744n	Concept	[wn:05216365n]	http://babelnet.org/rdf/s00011744n	http://dbpedia.org/resource/Physical_body
old boy	70,72	bn:00058803n	Concept	[wn:10375214n]	http://babelnet.org/rdf/s00058803n	null
lying	72,73	bn:00090321v	Concept	[wn:02690708v]	http://babelnet.org/rdf/s00090321v	null
sidewalk	75,76	bn:00061084n	Concept	[wn:04215402n]	http://babelnet.org/rdf/s00061084n	http://dbpedia.org/resource/Sidewalk
