Deputy	1,2	bn:00026425n	Concept	[wn:10005548n]	http://babelnet.org/rdf/s00026425n	null
fatally	2,3	bn:00115341r	Concept	[wn:00506577r]	http://babelnet.org/rdf/s00115341r	null
shot	3,4	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
teen	4,5	bn:00001480n	Concept	[wn:09772029n]	http://babelnet.org/rdf/s00001480n	null
DuPage County	6,8	bn:03860944n	Named Entity	[]	http://babelnet.org/rdf/s03860944n	http://dbpedia.org/resource/DuPage_County,_Illinois
domestic	8,9	bn:00101680a	Concept	[wn:01038102a]	http://babelnet.org/rdf/s00101680a	null
call	9,10	bn:00014791n	Concept	[wn:06272803n]	http://babelnet.org/rdf/s00014791n	http://dbpedia.org/resource/Telephone_call
DuPage County	11,13	bn:03860944n	Named Entity	[]	http://babelnet.org/rdf/s03860944n	http://dbpedia.org/resource/DuPage_County,_Illinois
County sheriff	12,14	bn:03786221n	Concept	[]	http://babelnet.org/rdf/s03786221n	http://dbpedia.org/resource/Sheriff
deputy	15,16	bn:00026425n	Concept	[wn:10005548n]	http://babelnet.org/rdf/s00026425n	null
fatally	16,17	bn:00115341r	Concept	[wn:00506577r]	http://babelnet.org/rdf/s00115341r	null
shot	17,18	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
teenage boy	19,21	bn:00001478n	Concept	[wn:15147850n]	http://babelnet.org/rdf/s00001478n	http://dbpedia.org/resource/Adolescence
responding	22,23	bn:00082646v	Concept	[wn:00815686v]	http://babelnet.org/rdf/s00082646v	null
domestic violence	25,27	bn:00028163n	Concept	[wn:00965718n]	http://babelnet.org/rdf/s00028163n	http://dbpedia.org/resource/Domestic_violence
call	27,28	bn:00014791n	Concept	[wn:06272803n]	http://babelnet.org/rdf/s00014791n	http://dbpedia.org/resource/Telephone_call
early	28,29	bn:00115153r	Concept	[wn:00100681r]	http://babelnet.org/rdf/s00115153r	null
Monday	29,30	bn:00055609n	Concept	[wn:15163979n]	http://babelnet.org/rdf/s00055609n	http://dbpedia.org/resource/Monday
unincorporated	31,32	bn:00112860a	Concept	[wn:01671620a]	http://babelnet.org/rdf/s00112860a	null
suburban	32,33	bn:00111406a	Concept	[wn:02804590a]	http://babelnet.org/rdf/s00111406a	null
Villa Park	33,35	bn:15687863n	Named Entity	[]	http://babelnet.org/rdf/s15687863n	http://dbpedia.org/resource/Villa_Park_(Metra_station)
midnight	38,39	bn:00054884n	Concept	[wn:15168185n]	http://babelnet.org/rdf/s00054884n	http://dbpedia.org/resource/Midnight
first deputy	41,43	bn:02126555n	Named Entity	[]	http://babelnet.org/rdf/s02126555n	http://dbpedia.org/resource/First_Deputy_Premier_of_the_Soviet_Union
arrive at	44,46	bn:00082790v	Concept	[wn:02020590v]	http://babelnet.org/rdf/s00082790v	null
townhouse	47,48	bn:00068429n	Concept	[wn:04115256n]	http://babelnet.org/rdf/s00068429n	http://dbpedia.org/resource/Townhouse
Standish	49,50	bn:00054940n	Named Entity	[wn:11312362n]	http://babelnet.org/rdf/s00054940n	http://dbpedia.org/resource/Myles_Standish
Lane	50,51	bn:02398310n	Named Entity	[]	http://babelnet.org/rdf/s02398310n	http://dbpedia.org/resource/Lane,_Oklahoma
Ardmore Avenue	52,54	bn:03320620n	Named Entity	[]	http://babelnet.org/rdf/s03320620n	http://dbpedia.org/resource/Ardmore_Avenue_(SEPTA_station)
got into	54,56	bn:00088764v	Concept	[wn:02636810v]	http://babelnet.org/rdf/s00088764v	null
altercation	57,58	bn:00001789n	Concept	[wn:07184545n]	http://babelnet.org/rdf/s00001789n	null
old	61,62	bn:00107786a	Concept	[wn:01643620a]	http://babelnet.org/rdf/s00107786a	null
prompting	65,66	bn:00082313v	Concept	[wn:01649999v]	http://babelnet.org/rdf/s00082313v	null
deputy	67,68	bn:00026425n	Concept	[wn:10005548n]	http://babelnet.org/rdf/s00026425n	null
open fire	69,71	bn:00088225v	Concept	[wn:01135783v]	http://babelnet.org/rdf/s00088225v	null
according	72,73	bn:00082228v	Concept	[wn:02255268v]	http://babelnet.org/rdf/s00082228v	null
statement	75,76	bn:00074033n	Concept	[wn:06722453n]	http://babelnet.org/rdf/s00074033n	null
sheriff	78,79	bn:00071038n	Concept	[wn:10589140n]	http://babelnet.org/rdf/s00071038n	http://dbpedia.org/resource/Sheriffs_in_the_United_States
office	80,81	bn:00001961n	Concept	[wn:08337324n]	http://babelnet.org/rdf/s00001961n	http://dbpedia.org/resource/Government_agency
family	84,85	bn:00032892n	Concept	[wn:08078020n]	http://babelnet.org/rdf/s00032892n	http://dbpedia.org/resource/Household
said	85,86	bn:00093287v	Concept	[wn:01009240v]	http://babelnet.org/rdf/s00093287v	null
teenager	87,88	bn:00001480n	Concept	[wn:09772029n]	http://babelnet.org/rdf/s00001480n	null
siblings	90,91	bn:00071400n	Concept	[wn:10595164n]	http://babelnet.org/rdf/s00071400n	http://dbpedia.org/resource/Sibling
squabbling	92,93	bn:00083470v	Concept	[wn:00774056v]	http://babelnet.org/rdf/s00083470v	null
stopped	96,97	bn:00082785v	Concept	[wn:01131473v]	http://babelnet.org/rdf/s00082785v	null
sheriff	99,100	bn:00071038n	Concept	[wn:10589140n]	http://babelnet.org/rdf/s00071038n	http://dbpedia.org/resource/Sheriffs_in_the_United_States
deputy	101,102	bn:00026425n	Concept	[wn:10005548n]	http://babelnet.org/rdf/s00026425n	null
entered	102,103	bn:00087679v	Concept	[wn:01000214v]	http://babelnet.org/rdf/s00087679v	null
home	104,105	bn:00000356n	Concept	[wn:03259505n, wn:08559508n]	http://babelnet.org/rdf/s00000356n	http://dbpedia.org/resource/Home
Police	106,107	bn:00022026n	Concept	[wn:08209687n]	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
released	107,108	bn:00090297v	Concept	[wn:01474550v]	http://babelnet.org/rdf/s00090297v	null
call	110,111	bn:00014791n	Concept	[wn:06272803n]	http://babelnet.org/rdf/s00014791n	http://dbpedia.org/resource/Telephone_call
just	112,113	bn:00116053r	Concept	[wn:00246296r]	http://babelnet.org/rdf/s00116053r	null
deputies	114,115	bn:00026425n	Concept	[wn:10005548n]	http://babelnet.org/rdf/s00026425n	null
responded	115,116	bn:00082646v	Concept	[wn:00815686v]	http://babelnet.org/rdf/s00082646v	null
caller	118,119	bn:00014824n	Concept	[wn:09887850n]	http://babelnet.org/rdf/s00014824n	null
heard	121,122	bn:00089278v	Concept	[wn:02500902v]	http://babelnet.org/rdf/s00089278v	null
telling	122,123	bn:00093287v	Concept	[wn:01009240v]	http://babelnet.org/rdf/s00093287v	null
operator	124,125	bn:00059141n	Concept	[wn:13786413n]	http://babelnet.org/rdf/s00059141n	http://dbpedia.org/resource/Operator_(mathematics)
butter knife	128,130	bn:00014259n	Concept	[wn:02928049n]	http://babelnet.org/rdf/s00014259n	http://dbpedia.org/resource/Butter_knife
no longer	132,134	bn:00116353r	Concept	[wn:00031515r]	http://babelnet.org/rdf/s00116353r	null
has it	134,136	bn:13774596v	Concept	[]	http://babelnet.org/rdf/s13774596v	null
call	138,139	bn:00014791n	Concept	[wn:06272803n]	http://babelnet.org/rdf/s00014791n	http://dbpedia.org/resource/Telephone_call
Hospital	145,146	bn:00044896n	Concept	[wn:03540595n]	http://babelnet.org/rdf/s00044896n	http://dbpedia.org/resource/Hospital
died	149,150	bn:00084343v	Concept	[wn:00358431v]	http://babelnet.org/rdf/s00084343v	null
Family	151,152	bn:00032892n	Concept	[wn:08078020n]	http://babelnet.org/rdf/s00032892n	http://dbpedia.org/resource/Household
said	152,153	bn:00093287v	Concept	[wn:01009240v]	http://babelnet.org/rdf/s00093287v	null
student	156,157	bn:00029806n	Concept	[wn:10665698n]	http://babelnet.org/rdf/s00029806n	http://dbpedia.org/resource/Student
job	160,161	bn:00014138n	Concept	[wn:00582388n]	http://babelnet.org/rdf/s00014138n	http://dbpedia.org/resource/Job
regularly	162,163	bn:00116424r	Concept	[wn:00195024r]	http://babelnet.org/rdf/s00116424r	null
worshipped	163,164	bn:00095832v	Concept	[wn:01778990v]	http://babelnet.org/rdf/s00095832v	null
uncle	166,167	bn:00078951n	Concept	[wn:10736091n]	http://babelnet.org/rdf/s00078951n	http://dbpedia.org/resource/Uncle
old	171,172	bn:00107786a	Concept	[wn:01643620a]	http://babelnet.org/rdf/s00107786a	null
victim	174,175	bn:00067941n	Concept	[wn:00227595n]	http://babelnet.org/rdf/s00067941n	http://dbpedia.org/resource/Human_sacrifice
mistake	178,179	bn:00031485n	Concept	[wn:00070965n]	http://babelnet.org/rdf/s00031485n	http://dbpedia.org/resource/Error
shot	187,188	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
killed	189,190	bn:00090098v	Concept	[wn:01323958v]	http://babelnet.org/rdf/s00090098v	null
home	192,193	bn:00000356n	Concept	[wn:03259505n, wn:08559508n]	http://babelnet.org/rdf/s00000356n	http://dbpedia.org/resource/Home
said	195,196	bn:00093287v	Concept	[wn:01009240v]	http://babelnet.org/rdf/s00093287v	null
Larry	196,197	bn:03273980n	Named Entity	[]	http://babelnet.org/rdf/s03273980n	http://dbpedia.org/resource/That's_So_Raven
Jr.	198,199	bn:00030100n	Concept	[wn:10048218n]	http://babelnet.org/rdf/s00030100n	http://dbpedia.org/resource/Suffix_(name)
Johnson family	201,203	bn:00544793n	Concept	[]	http://babelnet.org/rdf/s00544793n	http://dbpedia.org/resource/Johnson_family
attorney	204,205	bn:00007051n	Concept	[wn:10249950n]	http://babelnet.org/rdf/s00007051n	http://dbpedia.org/resource/Lawyer
response	207,208	bn:00067367n	Concept	[wn:11416988n]	http://babelnet.org/rdf/s00067367n	null
claims	210,211	bn:00019403n	Concept	[wn:06729864n]	http://babelnet.org/rdf/s00019403n	null
