American	1,2	bn:00003343n	Named Entity	[wn:09738708n]	http://babelnet.org/rdf/s00003343n	http://dbpedia.org/resource/Americans
Press	2,3	bn:00046094n	Concept	[wn:14451349n]	http://babelnet.org/rdf/s00046094n	null
Shreveport	3,4	bn:00720468n	Named Entity	[]	http://babelnet.org/rdf/s00720468n	http://dbpedia.org/resource/Shreveport,_Louisiana
student	4,5	bn:00029806n	Concept	[wn:10665698n]	http://babelnet.org/rdf/s00029806n	http://dbpedia.org/resource/Student
arrested	5,6	bn:00082728v	Concept	[wn:01215137v]	http://babelnet.org/rdf/s00082728v	null
accused	7,8	bn:00082249v	Concept	[wn:00842989v]	http://babelnet.org/rdf/s00082249v	null
gun	10,11	bn:00042221n	Concept	[wn:03467984n]	http://babelnet.org/rdf/s00042221n	http://dbpedia.org/resource/Gun
school	12,13	bn:00069619n	Concept	[wn:08276720n]	http://babelnet.org/rdf/s00069619n	http://dbpedia.org/resource/School
NEWLINE	13,14	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
Friday	17,18	bn:00036512n	Concept	[wn:15164463n]	http://babelnet.org/rdf/s00036512n	http://dbpedia.org/resource/Friday
February 10	19,21	bn:00219975n	Named Entity	[]	http://babelnet.org/rdf/s00219975n	http://dbpedia.org/resource/February_10
PM	24,25	bn:00007393n	Concept	[wn:00141396n]	http://babelnet.org/rdf/s00007393n	http://dbpedia.org/resource/Autopsy
NEWLINE	25,26	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
Associated Press	28,30	bn:01156881n	Named Entity	[]	http://babelnet.org/rdf/s01156881n	http://dbpedia.org/resource/Associated_Press
NEWLINE	30,31	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
SHREVEPORT	31,32	bn:00720468n	Named Entity	[]	http://babelnet.org/rdf/s00720468n	http://dbpedia.org/resource/Shreveport,_Louisiana
teen	34,35	bn:00001480n	Concept	[wn:09772029n]	http://babelnet.org/rdf/s00001480n	null
facing	36,37	bn:00085597v	Concept	[wn:01066433v]	http://babelnet.org/rdf/s00085597v	null
charges	37,38	bn:00017789n	Concept	[wn:00974762n]	http://babelnet.org/rdf/s00017789n	null
reportedly	41,42	bn:00116829r	Concept	[wn:00200927r]	http://babelnet.org/rdf/s00116829r	null
found	42,43	bn:00084231v	Concept	[wn:02248465v]	http://babelnet.org/rdf/s00084231v	null
gun	45,46	bn:00042221n	Concept	[wn:03467984n]	http://babelnet.org/rdf/s00042221n	http://dbpedia.org/resource/Gun
Caddo Parish	48,50	bn:01836277n	Named Entity	[]	http://babelnet.org/rdf/s01836277n	http://dbpedia.org/resource/Caddo_Parish,_Louisiana
high school	50,52	bn:00044028n	Concept	[wn:08409617n]	http://babelnet.org/rdf/s00044028n	http://dbpedia.org/resource/High_school
NEWLINE	53,54	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
KSLA	54,55	bn:01450961n	Named Entity	[]	http://babelnet.org/rdf/s01450961n	http://dbpedia.org/resource/KSLA
TV	56,57	bn:00076373n	Concept	[wn:06277280n]	http://babelnet.org/rdf/s00076373n	http://dbpedia.org/resource/Television
reports	57,58	bn:00067181n	Concept	[wn:07218470n]	http://babelnet.org/rdf/s00067181n	http://dbpedia.org/resource/Report
Shreveport	58,59	bn:00720468n	Named Entity	[]	http://babelnet.org/rdf/s00720468n	http://dbpedia.org/resource/Shreveport,_Louisiana
police	59,60	bn:00022026n	Concept	[wn:08209687n]	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
called	61,62	bn:00084385v	Concept	[wn:01028748v]	http://babelnet.org/rdf/s00084385v	null
C.E. Byrd High School	63,67	bn:03226569n	Named Entity	[]	http://babelnet.org/rdf/s03226569n	http://dbpedia.org/resource/C._E._Byrd_High_School
just	67,68	bn:00114626r	Concept	[wn:00004722r]	http://babelnet.org/rdf/s00114626r	null
noon	69,70	bn:00044075n	Concept	[wn:15165490n]	http://babelnet.org/rdf/s00044075n	http://dbpedia.org/resource/Noon
Thursday	70,71	bn:00076744n	Concept	[wn:15164354n]	http://babelnet.org/rdf/s00076744n	http://dbpedia.org/resource/Thursday
tip in	73,75	bn:00077367n	Concept	[wn:00112185n]	http://babelnet.org/rdf/s00077367n	null
investigation	76,77	bn:00047354n	Concept	[wn:00633864n]	http://babelnet.org/rdf/s00047354n	null
shooting	79,80	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
death	80,81	bn:00025582n	Concept	[wn:07355491n]	http://babelnet.org/rdf/s00025582n	http://dbpedia.org/resource/Death
old	84,85	bn:00107786a	Concept	[wn:01643620a]	http://babelnet.org/rdf/s00107786a	null
NEWLINE	88,89	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
interviewing	90,91	bn:00089852v	Concept	[wn:00808855v]	http://babelnet.org/rdf/s00089852v	null
students	91,92	bn:00029806n	Concept	[wn:10665698n]	http://babelnet.org/rdf/s00029806n	http://dbpedia.org/resource/Student
police	93,94	bn:00022026n	Concept	[wn:08209687n]	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
discovered	94,95	bn:00086708v	Concept	[wn:02154508v]	http://babelnet.org/rdf/s00086708v	null
old	99,100	bn:00107786a	Concept	[wn:01643620a]	http://babelnet.org/rdf/s00107786a	null
possession	102,103	bn:00059958n	Concept	[wn:00809465n]	http://babelnet.org/rdf/s00059958n	http://dbpedia.org/resource/Ownership
loaded	105,106	bn:00106096a	Concept	[wn:01424455a]	http://babelnet.org/rdf/s00106096a	null
gun	107,108	bn:00042221n	Concept	[wn:03467984n]	http://babelnet.org/rdf/s00042221n	http://dbpedia.org/resource/Gun
jacket	110,111	bn:00047823n	Concept	[wn:03589791n]	http://babelnet.org/rdf/s00047823n	http://dbpedia.org/resource/Jacket
wearing	113,114	bn:00089252v	Concept	[wn:00052374v]	http://babelnet.org/rdf/s00089252v	null
NEWLINE	115,116	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
Detectives	116,117	bn:00026633n	Concept	[wn:10009276n]	http://babelnet.org/rdf/s00026633n	http://dbpedia.org/resource/Detective
weapon	119,120	bn:00005704n	Concept	[wn:04565375n]	http://babelnet.org/rdf/s00005704n	http://dbpedia.org/resource/Weapon
student	122,123	bn:00029806n	Concept	[wn:10665698n]	http://babelnet.org/rdf/s00029806n	http://dbpedia.org/resource/Student
police station	127,129	bn:00063322n	Concept	[wn:03977678n]	http://babelnet.org/rdf/s00063322n	http://dbpedia.org/resource/Police_station
interviewed	132,133	bn:00089852v	Concept	[wn:00808855v]	http://babelnet.org/rdf/s00089852v	null
detectives	134,135	bn:00026633n	Concept	[wn:10009276n]	http://babelnet.org/rdf/s00026633n	http://dbpedia.org/resource/Detective
alleged	137,138	bn:00096822a	Concept	[wn:01916555a]	http://babelnet.org/rdf/s00096822a	null
role	138,139	bn:00068130n	Concept	[wn:00722061n]	http://babelnet.org/rdf/s00068130n	http://dbpedia.org/resource/Role
investigation	141,142	bn:00047354n	Concept	[wn:00633864n]	http://babelnet.org/rdf/s00047354n	null
student	144,145	bn:00029806n	Concept	[wn:10665698n]	http://babelnet.org/rdf/s00029806n	http://dbpedia.org/resource/Student
faces	145,146	bn:00085597v	Concept	[wn:01066433v]	http://babelnet.org/rdf/s00085597v	null
charges	146,147	bn:00017789n	Concept	[wn:00974762n]	http://babelnet.org/rdf/s00017789n	null
illegal	148,149	bn:00104562a	Concept	[wn:01401854a]	http://babelnet.org/rdf/s00104562a	null
carrying of weapons	149,152	bn:00036392n	Concept	[wn:05184313n]	http://babelnet.org/rdf/s00036392n	http://dbpedia.org/resource/Right_to_keep_and_bear_arms
weapon	155,156	bn:00005704n	Concept	[wn:04565375n]	http://babelnet.org/rdf/s00005704n	http://dbpedia.org/resource/Weapon
school	157,158	bn:00069619n	Concept	[wn:08276720n]	http://babelnet.org/rdf/s00069619n	http://dbpedia.org/resource/School
property	158,159	bn:00009815n	Concept	[wn:13244109n]	http://babelnet.org/rdf/s00009815n	null
suspect	165,166	bn:00025884n	Concept	[wn:09762101n]	http://babelnet.org/rdf/s00025884n	http://dbpedia.org/resource/Suspect
death	169,170	bn:00025582n	Concept	[wn:07355491n]	http://babelnet.org/rdf/s00025582n	http://dbpedia.org/resource/Death
