old	3,4	bn:00107786a	Concept	[wn:01643620a]	http://babelnet.org/rdf/s00107786a	null	old
shot	4,5	bn:00071206n	Concept	[wn:00122661n]	http://babelnet.org/rdf/s00071206n	null	shot
club	7,8	bn:00008141n	Concept	[wn:08079613n]	http://babelnet.org/rdf/s00008141n	null	ball_club
JACKSONVILLE , Fla.	8,11	bn:03437891n	Named Entity	[]	http://babelnet.org/rdf/s03437891n	http://dbpedia.org/resource/Jacksonville,_Florida	Jacksonville
old	15,16	bn:00107786a	Concept	[wn:01643620a]	http://babelnet.org/rdf/s00107786a	null	old
shot in the leg	17,21	bn:13606019n	Concept	[]	http://babelnet.org/rdf/s13606019n	null	shot_in_the_leg
early	21,22	bn:00114190r	Concept	[wn:00100082r]	http://babelnet.org/rdf/s00114190r	null	ahead_of_time
Sunday morning	22,24	bn:02060691n	Named Entity	[]	http://babelnet.org/rdf/s02060691n	http://dbpedia.org/resource/1.22.03.Acoustic	1.22.03.Acoustic
parking lot	26,28	bn:00015795n	Concept	[wn:08615638n]	http://babelnet.org/rdf/s00015795n	http://dbpedia.org/resource/Parking_lot	parking_lot
nightclub	30,31	bn:00014419n	Concept	[wn:02931417n]	http://babelnet.org/rdf/s00014419n	http://dbpedia.org/resource/Nightclub	nightclub
New	32,33	bn:15687116n	Named Entity	[]	http://babelnet.org/rdf/s15687116n	http://dbpedia.org/resource/New_(Paul_McCartney_song)	New_(Paul_McCartney_song)
Kings Road	33,35	bn:03154452n	Named Entity	[]	http://babelnet.org/rdf/s03154452n	http://dbpedia.org/resource/King's_Road	King's_Road
just	36,37	bn:00114626r	Concept	[wn:00004722r]	http://babelnet.org/rdf/s00114626r	null	just
north	37,38	bn:00116373r	Concept	[wn:00244043r]	http://babelnet.org/rdf/s00116373r	null	north
Moncrief	39,40	bn:00231555n	Concept	[]	http://babelnet.org/rdf/s00231555n	http://dbpedia.org/resource/Moncrief	Moncrief
Road	40,41	bn:00067975n	Concept	[wn:04096066n]	http://babelnet.org/rdf/s00067975n	http://dbpedia.org/resource/Road	road
West	41,42	bn:00052660n	Named Entity	[wn:11382278n]	http://babelnet.org/rdf/s00052660n	http://dbpedia.org/resource/Mae_West	Mae_West
according	43,44	bn:00082228v	Concept	[wn:02255268v]	http://babelnet.org/rdf/s00082228v	null	accord
police	45,46	bn:00022026n	Concept	[wn:08209687n]	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary	police
