dead	2,3	bn:00100948a	Concept	[wn:00095280a]	http://babelnet.org/rdf/s00100948a	null
shooting	4,5	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
Detroit	6,7	bn:00026672n	Named Entity	[wn:09100394n]	http://babelnet.org/rdf/s00026672n	http://dbpedia.org/resource/Motown
west side	8,10	bn:00080919n	Concept	[wn:08650593n]	http://babelnet.org/rdf/s00080919n	null
suspect	11,12	bn:00075447n	Concept	[wn:10681383n]	http://babelnet.org/rdf/s00075447n	null
hospital	13,14	bn:00044896n	Concept	[wn:03540595n]	http://babelnet.org/rdf/s00044896n	http://dbpedia.org/resource/Hospital
CLOSE	14,15	bn:00019918n	Concept	[wn:15267536n]	http://babelnet.org/rdf/s00019918n	null
Skip	15,16	bn:00071998n	Concept	[wn:00289906n]	http://babelnet.org/rdf/s00071998n	null
Skip	17,18	bn:00071998n	Concept	[wn:00289906n]	http://babelnet.org/rdf/s00071998n	null
Embed	19,20	bn:13709072n	Concept	[]	http://babelnet.org/rdf/s13709072n	null
Share	21,22	bn:00060768n	Concept	[wn:13285176n]	http://babelnet.org/rdf/s00060768n	null
TODAY	22,23	bn:00077462n	Concept	[wn:15262921n]	http://babelnet.org/rdf/s00077462n	null
STORIES	25,26	bn:00056857n	Concept	[wn:07221094n]	http://babelnet.org/rdf/s00056857n	http://dbpedia.org/resource/Narration
British PM	26,28	bn:00063133n	Concept	[wn:09907196n]	http://babelnet.org/rdf/s00063133n	http://dbpedia.org/resource/Prime_Minister_of_the_United_Kingdom
Theresa May	28,30	bn:02867919n	Named Entity	[]	http://babelnet.org/rdf/s02867919n	http://dbpedia.org/resource/Theresa_May
afraid	35,36	bn:00096625a	Concept	[wn:00077645a]	http://babelnet.org/rdf/s00096625a	null
Speaking	39,40	bn:00090943v	Concept	[wn:00941990v]	http://babelnet.org/rdf/s00090943v	null
House of Commons	43,46	bn:00013187n	Concept	[wn:08162691n]	http://babelnet.org/rdf/s00013187n	http://dbpedia.org/resource/House_of_Commons
British Prime Minister	47,50	bn:00063133n	Concept	[wn:09907196n]	http://babelnet.org/rdf/s00063133n	http://dbpedia.org/resource/Prime_Minister_of_the_United_Kingdom
Theresa May	50,52	bn:02867919n	Named Entity	[]	http://babelnet.org/rdf/s02867919n	http://dbpedia.org/resource/Theresa_May
said	52,53	bn:00093287v	Concept	[wn:01009240v]	http://babelnet.org/rdf/s00093287v	null
resolve	55,56	bn:00034733n	Concept	[wn:04861486n]	http://babelnet.org/rdf/s00034733n	null
waiver	58,59	bn:00027477n	Concept	[wn:00213694n]	http://babelnet.org/rdf/s00027477n	null
face	61,62	bn:00032600n	Concept	[wn:05600637n]	http://babelnet.org/rdf/s00032600n	http://dbpedia.org/resource/Face
terrorism	63,64	bn:00001082n	Concept	[wn:00759694n]	http://babelnet.org/rdf/s00001082n	http://dbpedia.org/resource/Terrorism
USA TODAY	66,68	bn:01357338n	Named Entity	[]	http://babelnet.org/rdf/s01357338n	http://dbpedia.org/resource/USA_Today
CLOSE	71,72	bn:00019918n	Concept	[wn:15267536n]	http://babelnet.org/rdf/s00019918n	null
Skip	72,73	bn:00071998n	Concept	[wn:00289906n]	http://babelnet.org/rdf/s00071998n	null
Skip	74,75	bn:00071998n	Concept	[wn:00289906n]	http://babelnet.org/rdf/s00071998n	null
Embed	76,77	bn:13709072n	Concept	[]	http://babelnet.org/rdf/s13709072n	null
Share	78,79	bn:00060768n	Concept	[wn:13285176n]	http://babelnet.org/rdf/s00060768n	null
TODAY	79,80	bn:00077462n	Concept	[wn:15262921n]	http://babelnet.org/rdf/s00077462n	null
STORIES	82,83	bn:00056857n	Concept	[wn:07221094n]	http://babelnet.org/rdf/s00056857n	http://dbpedia.org/resource/Narration
Ramshackle	83,84	bn:01445221n	Concept	[]	http://babelnet.org/rdf/s01445221n	http://dbpedia.org/resource/Ramshackle
house	84,85	bn:00044994n	Concept	[wn:03544360n]	http://babelnet.org/rdf/s00044994n	http://dbpedia.org/resource/House
new Detroit arena	86,89	bn:14599667n	Named Entity	[]	http://babelnet.org/rdf/s14599667n	http://dbpedia.org/resource/New_Detroit_Arena
seeks	89,90	bn:00093452v	Concept	[wn:02240481v]	http://babelnet.org/rdf/s00093452v	null
story structure	97,99	bn:03355850n	Concept	[]	http://babelnet.org/rdf/s03355850n	http://dbpedia.org/resource/Narrative_structure
house	102,103	bn:00044994n	Concept	[wn:03544360n]	http://babelnet.org/rdf/s00044994n	http://dbpedia.org/resource/House
listing	103,104	bn:00090397v	Concept	[wn:00945853v]	http://babelnet.org/rdf/s00090397v	null
Detroit	105,106	bn:00026672n	Named Entity	[wn:09100394n]	http://babelnet.org/rdf/s00026672n	http://dbpedia.org/resource/Motown
's	108,109	bn:13666727v	Concept	[]	http://babelnet.org/rdf/s13666727v	null
