old	3,4	bn:00107786a	Concept	[wn:01643620a]	http://babelnet.org/rdf/s00107786a	null
toe	5,6	bn:00077465n	Concept	[wn:05577410n]	http://babelnet.org/rdf/s00077465n	http://dbpedia.org/resource/Toe
grazed	6,7	bn:00084145v	Concept	[wn:01576165v]	http://babelnet.org/rdf/s00084145v	null
bullet	8,9	bn:02153702n	Named Entity	[]	http://babelnet.org/rdf/s02153702n	http://dbpedia.org/resource/Cold_Case_(season_7)
Rock	11,12	bn:00068049n	Concept	[wn:07064715n]	http://babelnet.org/rdf/s00068049n	http://dbpedia.org/resource/Rock_music
strip mall	12,14	bn:00074708n	Concept	[wn:04340019n]	http://babelnet.org/rdf/s00074708n	http://dbpedia.org/resource/Strip_mall
hope	15,16	bn:00089472v	Concept	[wn:01811441v]	http://babelnet.org/rdf/s00089472v	null
've	17,18	bn:13745768v	Concept	[]	http://babelnet.org/rdf/s13745768v	null
enjoyed	18,19	bn:00083145v	Concept	[wn:01820302v]	http://babelnet.org/rdf/s00083145v	null
preview	20,21	bn:00064299n	Concept	[wn:06888674n]	http://babelnet.org/rdf/s00064299n	http://dbpedia.org/resource/Trailer_(promotion)
NEWLINE	24,25	bn:00051314n	Concept	[wn:13508183n]	http://babelnet.org/rdf/s00051314n	http://dbpedia.org/resource/Newline
've	26,27	bn:13745769v	Concept	[]	http://babelnet.org/rdf/s13745769v	null
read	28,29	bn:00092424v	Concept	[wn:00625119v]	http://babelnet.org/rdf/s00092424v	null
maximum	30,31	bn:00053933n	Concept	[wn:13776137n]	http://babelnet.org/rdf/s00053933n	null
number	31,32	bn:00034394n	Concept	[wn:05121418n]	http://babelnet.org/rdf/s00034394n	null
stories	33,34	bn:00056857n	Concept	[wn:07221094n]	http://babelnet.org/rdf/s00056857n	http://dbpedia.org/resource/Narration
available	34,35	bn:00097846a	Concept	[wn:00183053a]	http://babelnet.org/rdf/s00097846a	null
subscription	37,38	bn:00074963n	Concept	[wn:13281130n]	http://babelnet.org/rdf/s00074963n	http://dbpedia.org/resource/Subscription_business_model
NEWLINE	39,40	bn:00051314n	Concept	[wn:13508183n]	http://babelnet.org/rdf/s00051314n	http://dbpedia.org/resource/Newline
Subscribe	40,41	bn:00074963n	Concept	[wn:13281130n]	http://babelnet.org/rdf/s00074963n	http://dbpedia.org/resource/Subscription_business_model
complete	43,44	bn:00100144a	Concept	[wn:00520214a]	http://babelnet.org/rdf/s00100144a	null
uninterrupted	45,46	bn:00100385a	Concept	[wn:00594413a]	http://babelnet.org/rdf/s00100385a	null
access	46,47	bn:00000661n	Concept	[wn:05176188n]	http://babelnet.org/rdf/s00000661n	null
best	49,50	bn:00098274a	Concept	[wn:00227507a]	http://babelnet.org/rdf/s00098274a	null
local	50,51	bn:00106108a	Concept	[wn:01106405a]	http://babelnet.org/rdf/s00106108a	null
state	52,53	bn:00023236n	Concept	[wn:08168978n, wn:08166552n]	http://babelnet.org/rdf/s00023236n	http://dbpedia.org/resource/State_(polity)
national	54,55	bn:00107136a	Concept	[wn:02988060a]	http://babelnet.org/rdf/s00107136a	null
news	55,56	bn:00057546n	Concept	[wn:06681177n]	http://babelnet.org/rdf/s00057546n	http://dbpedia.org/resource/News
NEWLINE	57,58	bn:00051314n	Concept	[wn:13508183n]	http://babelnet.org/rdf/s00051314n	http://dbpedia.org/resource/Newline
account	61,62	bn:00000738n	Concept	[wn:06514093n]	http://babelnet.org/rdf/s00000738n	http://dbpedia.org/resource/Histories_(Herodotus)
