Shooting	1,2	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null	shoot
Uptown	3,4	bn:00079285n	Named Entity	[wn:08554206n]	http://babelnet.org/rdf/s00079285n	http://dbpedia.org/resource/Uptown_(Pittsburgh)	uptown
parade	4,5	bn:00060538n	Concept	[wn:08428485n]	http://babelnet.org/rdf/s00060538n	http://dbpedia.org/resource/Parade	parade
route	5,6	bn:00067975n	Concept	[wn:04096066n]	http://babelnet.org/rdf/s00067975n	http://dbpedia.org/resource/Road	road
accidental	7,8	bn:00096263a	Concept	[wn:01338909a]	http://babelnet.org/rdf/s00096263a	null	accidental
enable	10,11	bn:00087587v	Concept	[wn:00512877v]	http://babelnet.org/rdf/s00087587v	null	enable
Javascript	11,12	bn:00055423n	Named Entity	[wn:07920872n]	http://babelnet.org/rdf/s00055423n	http://dbpedia.org/resource/JavaScript	JavaScript
watch	13,14	bn:00095665v	Concept	[wn:02150510v]	http://babelnet.org/rdf/s00095665v	null	watch
video	15,16	bn:00076373n	Concept	[wn:06277280n]	http://babelnet.org/rdf/s00076373n	http://dbpedia.org/resource/Television	television
NEWLINE	16,17	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency	LF
NEW ORLEANS	17,19	bn:00057491n	Named Entity	[wn:09091909n]	http://babelnet.org/rdf/s00057491n	http://dbpedia.org/resource/New_Orleans	New_Orleans
WGNO	20,21	bn:01566469n	Named Entity	[]	http://babelnet.org/rdf/s01566469n	http://dbpedia.org/resource/WGNO	WGNO
shooting	24,25	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null	shoot
marred	26,27	bn:00090648v	Concept	[wn:00090708v]	http://babelnet.org/rdf/s00090648v	null	mar
idyllic	29,30	bn:00104527a	Concept	[wn:01751465a]	http://babelnet.org/rdf/s00104527a	null	idyllic
day	30,31	bn:00000086n	Concept	[wn:15155220n]	http://babelnet.org/rdf/s00000086n	http://dbpedia.org/resource/Day	day
Uptown	33,34	bn:00079285n	Named Entity	[wn:08554206n]	http://babelnet.org/rdf/s00079285n	http://dbpedia.org/resource/Uptown_(Pittsburgh)	uptown
parade	34,35	bn:00060538n	Concept	[wn:08428485n]	http://babelnet.org/rdf/s00060538n	http://dbpedia.org/resource/Parade	parade
route	35,36	bn:00067975n	Concept	[wn:04096066n]	http://babelnet.org/rdf/s00067975n	http://dbpedia.org/resource/Road	road
stemmed	36,37	bn:00094332v	Concept	[wn:02627753v]	http://babelnet.org/rdf/s00094332v	null	stem
NOPD	40,41	bn:03860687n	Named Entity	[]	http://babelnet.org/rdf/s03860687n	http://dbpedia.org/resource/New_Orleans_Police_Department	New_Orleans_Police_Department
calling	42,43	bn:00084385v	Concept	[wn:01028748v]	http://babelnet.org/rdf/s00084385v	null	call
accidental	45,46	bn:00096263a	Concept	[wn:01338909a]	http://babelnet.org/rdf/s00096263a	null	accidental
weapon	46,47	bn:00005704n	Concept	[wn:04565375n]	http://babelnet.org/rdf/s00005704n	http://dbpedia.org/resource/Weapon	weapon
discharge	47,48	bn:00027478n	Concept	[wn:00123234n]	http://babelnet.org/rdf/s00027478n	null	discharge
NEWLINE	50,51	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency	LF
Officers	51,52	bn:00054972n	Concept	[wn:10317007n]	http://babelnet.org/rdf/s00054972n	http://dbpedia.org/resource/Officer_(armed_forces)	officer
block	55,56	bn:00011308n	Concept	[wn:02852523n]	http://babelnet.org/rdf/s00011308n	http://dbpedia.org/resource/Block_(district_subdivision)	block
