teen	2,3	bn:00001480n	Concept	[wn:09772029n]	http://babelnet.org/rdf/s00001480n	null	adolescent
killed	3,4	bn:00090098v	Concept	[wn:01323958v]	http://babelnet.org/rdf/s00090098v	null	kill
Holladay	5,6	bn:02041306n	Named Entity	[]	http://babelnet.org/rdf/s02041306n	http://dbpedia.org/resource/Holladay_(surname)	Holladay_(surname)
Park	6,7	bn:00060690n	Concept	[wn:08615149n]	http://babelnet.org/rdf/s00060690n	http://dbpedia.org/resource/Park	park
shooting	7,8	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null	shoot
PORTLAND , Ore.	8,11	bn:01663911n	Named Entity	[]	http://babelnet.org/rdf/s01663911n	http://dbpedia.org/resource/Portland,_Oregon	Portland,_Oregon
KOIN	12,13	bn:01351853n	Named Entity	[]	http://babelnet.org/rdf/s01351853n	http://dbpedia.org/resource/KOIN	KOIN
young man	16,18	bn:00081950n	Concept	[wn:10804287n]	http://babelnet.org/rdf/s00081950n	null	young_man
killed	19,20	bn:00090098v	Concept	[wn:01323958v]	http://babelnet.org/rdf/s00090098v	null	kill
Tuesday afternoon	20,22	bn:00844586n	Named Entity	[]	http://babelnet.org/rdf/s00844586n	http://dbpedia.org/resource/Tuesday_Afternoon	Tuesday_Afternoon
shooting	24,25	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null	shoot
Northeast Portland	26,28	bn:03487283n	Named Entity	[]	http://babelnet.org/rdf/s03487283n	http://dbpedia.org/resource/Neighborhoods_of_Portland,_Oregon	Neighborhoods_of_Portland,_Oregon
Holladay	29,30	bn:02041306n	Named Entity	[]	http://babelnet.org/rdf/s02041306n	http://dbpedia.org/resource/Holladay_(surname)	Holladay_(surname)
Park	30,31	bn:00060690n	Concept	[wn:08615149n]	http://babelnet.org/rdf/s00060690n	http://dbpedia.org/resource/Park	park
Portland Police Bureau	32,35	bn:02750052n	Named Entity	[]	http://babelnet.org/rdf/s02750052n	http://dbpedia.org/resource/Portland_Police_Bureau	Portland_Police_Bureau
confirmed	35,36	bn:00082434v	Concept	[wn:00665886v]	http://babelnet.org/rdf/s00082434v	null	support
NEWLINE	37,38	bn:00051314n	Concept	[wn:13508183n]	http://babelnet.org/rdf/s00051314n	http://dbpedia.org/resource/Newline	line_feed
Officers	38,39	bn:00054972n	Concept	[wn:10317007n]	http://babelnet.org/rdf/s00054972n	http://dbpedia.org/resource/Officer_(armed_forces)	officer
arrived	39,40	bn:00082788v	Concept	[wn:02005948v]	http://babelnet.org/rdf/s00082788v	null	arrive
p.m.	42,43	bn:01389062n	Named Entity	[]	http://babelnet.org/rdf/s01389062n	http://dbpedia.org/resource/P.M._Dawn	P.M._Dawn
found	44,45	bn:00084231v	Concept	[wn:02248465v]	http://babelnet.org/rdf/s00084231v	null	encounter
victim	46,47	bn:00079940n	Concept	[wn:10752093n]	http://babelnet.org/rdf/s00079940n	null	victim
identified	51,52	bn:00089574v	Concept	[wn:00618878v]	http://babelnet.org/rdf/s00089574v	null	identify
