teen	2,3	bn:00001480n	Concept	[wn:09772029n]	http://babelnet.org/rdf/s00001480n	null
arrested	3,4	bn:00082728v	Concept	[wn:01215137v]	http://babelnet.org/rdf/s00082728v	null
shooting	5,6	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
old boy	8,10	bn:00058803n	Concept	[wn:10375214n]	http://babelnet.org/rdf/s00058803n	null
head	11,12	bn:00012681n	Concept	[wn:05611302n]	http://babelnet.org/rdf/s00012681n	http://dbpedia.org/resource/Nous
Related	12,13	bn:02439331n	Named Entity	[]	http://babelnet.org/rdf/s02439331n	http://dbpedia.org/resource/Related
Coverage	13,14	bn:00023360n	Concept	[wn:13344664n]	http://babelnet.org/rdf/s00023360n	null
teen	15,16	bn:00001480n	Concept	[wn:09772029n]	http://babelnet.org/rdf/s00001480n	null
shot	16,17	bn:00071206n	Concept	[wn:00122661n]	http://babelnet.org/rdf/s00071206n	null
left	18,19	bn:00088939v	Concept	[wn:02009433v]	http://babelnet.org/rdf/s00088939v	null
critical condition	20,22	bn:02436757n	Concept	[]	http://babelnet.org/rdf/s02436757n	http://dbpedia.org/resource/Medical_state
NEWLINE	22,23	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
Conn.	25,26	bn:00021904n	Named Entity	[wn:09068444n]	http://babelnet.org/rdf/s00021904n	http://dbpedia.org/resource/Connecticut
old man	31,33	bn:00041536n	Concept	[wn:10375506n]	http://babelnet.org/rdf/s00041536n	http://dbpedia.org/resource/Greybeard
arrested	35,36	bn:00082728v	Concept	[wn:01215137v]	http://babelnet.org/rdf/s00082728v	null
allegedly	37,38	bn:00114224r	Concept	[wn:00154307r]	http://babelnet.org/rdf/s00114224r	null
shooting	38,39	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
old	42,43	bn:00107786a	Concept	[wn:01643620a]	http://babelnet.org/rdf/s00107786a	null
boy	44,45	bn:00012569n	Concept	[wn:10285313n]	http://babelnet.org/rdf/s00012569n	http://dbpedia.org/resource/Boy
head	47,48	bn:00012681n	Concept	[wn:05611302n]	http://babelnet.org/rdf/s00012681n	http://dbpedia.org/resource/Nous
Saturday night	48,50	bn:03636143n	Concept	[]	http://babelnet.org/rdf/s03636143n	http://dbpedia.org/resource/Saturday_Night_Live
NEWLINE	51,52	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
Police	52,53	bn:00022026n	Concept	[wn:08209687n]	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
say	53,54	bn:00093287v	Concept	[wn:01009240v]	http://babelnet.org/rdf/s00093287v	null
just	54,55	bn:00114626r	Concept	[wn:00004722r]	http://babelnet.org/rdf/s00114626r	null
p.m.	57,58	bn:00116519r	Concept	[wn:00251408r]	http://babelnet.org/rdf/s00116519r	null
officers	59,60	bn:00054972n	Concept	[wn:10317007n]	http://babelnet.org/rdf/s00054972n	http://dbpedia.org/resource/Officer_(armed_forces)
responded	60,61	bn:00082646v	Concept	[wn:00815686v]	http://babelnet.org/rdf/s00082646v	null
Talcott	63,64	bn:16950303n	Concept	[]	http://babelnet.org/rdf/s16950303n	http://dbpedia.org/resource/Talcott
Avenue	64,65	bn:00007447n	Concept	[wn:00941604n]	http://babelnet.org/rdf/s00007447n	null
area	69,70	bn:00005513n	Concept	[wn:08497294n]	http://babelnet.org/rdf/s00005513n	http://dbpedia.org/resource/Area
report	75,76	bn:00067181n	Concept	[wn:07218470n]	http://babelnet.org/rdf/s00067181n	http://dbpedia.org/resource/Report
shooting	78,79	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
found	84,85	bn:00084231v	Concept	[wn:02248465v]	http://babelnet.org/rdf/s00084231v	null
old	88,89	bn:00107786a	Concept	[wn:01643620a]	http://babelnet.org/rdf/s00107786a	null
boy	90,91	bn:00012569n	Concept	[wn:10285313n]	http://babelnet.org/rdf/s00012569n	http://dbpedia.org/resource/Boy
suffering	91,92	bn:00087618v	Concept	[wn:02109190v]	http://babelnet.org/rdf/s00087618v	null
gunshot wound	94,96	bn:00191195n	Concept	[]	http://babelnet.org/rdf/s00191195n	http://dbpedia.org/resource/Ballistic_trauma
head	98,99	bn:00012681n	Concept	[wn:05611302n]	http://babelnet.org/rdf/s00012681n	http://dbpedia.org/resource/Nous
victim	101,102	bn:00079940n	Concept	[wn:10752093n]	http://babelnet.org/rdf/s00079940n	null
