Allentown	1,2	bn:00527908n	Named Entity	[]	http://babelnet.org/rdf/s00527908n	http://dbpedia.org/resource/Allentown,_Pennsylvania
shooting	2,3	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
believed	3,4	bn:00083369v	Concept	[wn:00683280v]	http://babelnet.org/rdf/s00083369v	null
accidental	6,7	bn:00096263a	Concept	[wn:01338909a]	http://babelnet.org/rdf/s00096263a	null
police	8,9	bn:00022026n	Concept	[wn:08209687n]	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
say	9,10	bn:00093287v	Concept	[wn:01009240v]	http://babelnet.org/rdf/s00093287v	null
shooting	11,12	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
5th	13,14	bn:00096043a	Concept	[wn:02202712a]	http://babelnet.org/rdf/s00096043a	null
streets	16,17	bn:00074595n	Concept	[wn:04334599n]	http://babelnet.org/rdf/s00074595n	http://dbpedia.org/resource/Street
Allentown	18,19	bn:00527908n	Named Entity	[]	http://babelnet.org/rdf/s00527908n	http://dbpedia.org/resource/Allentown,_Pennsylvania
Friday	20,21	bn:00036512n	Concept	[wn:15164463n]	http://babelnet.org/rdf/s00036512n	http://dbpedia.org/resource/Friday
night	21,22	bn:00025236n	Concept	[wn:15167027n]	http://babelnet.org/rdf/s00025236n	http://dbpedia.org/resource/Night
believed	23,24	bn:00083369v	Concept	[wn:00683280v]	http://babelnet.org/rdf/s00083369v	null
accidental	26,27	bn:00096263a	Concept	[wn:01338909a]	http://babelnet.org/rdf/s00096263a	null
police	28,29	bn:00022026n	Concept	[wn:08209687n]	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
said	29,30	bn:00093287v	Concept	[wn:01009240v]	http://babelnet.org/rdf/s00093287v	null
NEWLINE	31,32	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
victim	33,34	bn:15632248n	Concept	[]	http://babelnet.org/rdf/s15632248n	null
old boy	38,40	bn:16861593n	Named Entity	[]	http://babelnet.org/rdf/s16861593n	http://dbpedia.org/resource/Oldboy_(2003_film)
shot	42,43	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
stomach	45,46	bn:00012886n	Concept	[wn:05395690n]	http://babelnet.org/rdf/s00012886n	http://dbpedia.org/resource/Stomach
p.m.	48,49	bn:01389062n	Named Entity	[]	http://babelnet.org/rdf/s01389062n	http://dbpedia.org/resource/P.M._Dawn
expected	51,52	bn:00082665v	Concept	[wn:00719734v]	http://babelnet.org/rdf/s00082665v	null
