Gunman	1,2	bn:00042223n	Concept	[wn:10152083n]	http://babelnet.org/rdf/s00042223n	http://dbpedia.org/resource/Gunfighter
opens fire	2,4	bn:00088225v	Concept	[wn:01135783v]	http://babelnet.org/rdf/s00088225v	null
car	5,6	bn:00007309n	Concept	[wn:02958343n]	http://babelnet.org/rdf/s00007309n	http://dbpedia.org/resource/Car
crash	7,8	bn:00019432n	Concept	[wn:07380144n]	http://babelnet.org/rdf/s00019432n	null
kills	9,10	bn:00090098v	Concept	[wn:01323958v]	http://babelnet.org/rdf/s00090098v	null
old	12,13	bn:00107786a	Concept	[wn:01643620a]	http://babelnet.org/rdf/s00107786a	null
EMBED	13,14	bn:13709072n	Concept	[]	http://babelnet.org/rdf/s13709072n	null
News	15,16	bn:00047028n	Concept	[wn:06642138n]	http://babelnet.org/rdf/s00047028n	null
Videos	16,17	bn:00076373n	Concept	[wn:06277280n]	http://babelnet.org/rdf/s00076373n	http://dbpedia.org/resource/Television
Thomas	18,19	bn:00070716n	Named Entity	[wn:11339534n]	http://babelnet.org/rdf/s00070716n	http://dbpedia.org/resource/Seth_Thomas_(clockmaker)
talks	19,20	bn:00090943v	Concept	[wn:00941990v]	http://babelnet.org/rdf/s00090943v	null
ABC13	21,22	bn:00557489n	Named Entity	[]	http://babelnet.org/rdf/s00557489n	http://dbpedia.org/resource/KTRK-TV
moment	24,25	bn:00046942n	Concept	[wn:15244650n]	http://babelnet.org/rdf/s00046942n	http://dbpedia.org/resource/Instant
realized	26,27	bn:00082472v	Concept	[wn:00728617v]	http://babelnet.org/rdf/s00082472v	null
daughter	28,29	bn:00025364n	Concept	[wn:09992837n]	http://babelnet.org/rdf/s00025364n	http://dbpedia.org/resource/Daughter
hit	31,32	bn:00089346v	Concept	[wn:01405044v]	http://babelnet.org/rdf/s00089346v	null
gunfire	33,34	bn:00042242n	Concept	[wn:00123783n]	http://babelnet.org/rdf/s00042242n	http://dbpedia.org/resource/Gunshot
car crash	36,38	bn:00072297n	Concept	[wn:07317369n]	http://babelnet.org/rdf/s00072297n	http://dbpedia.org/resource/Traffic_collision
NEWLINE	39,40	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
yo	41,42	bn:02438186n	Concept	[]	http://babelnet.org/rdf/s02438186n	http://dbpedia.org/resource/Yo_(Cyrillic)
