North Valleys	1,3	bn:01459168n	Named Entity	[]	http://babelnet.org/rdf/s01459168n	http://dbpedia.org/resource/Berryessa,_San_Jose,_California	Berryessa,_San_Jose,_California
Shooting	3,4	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null	shoot
Leaves	4,5	bn:00035596n	Concept	[wn:13152742n]	http://babelnet.org/rdf/s00035596n	http://dbpedia.org/resource/Leaf	leaf
Year	6,7	bn:00078738n	Concept	[wn:15203791n]	http://babelnet.org/rdf/s00078738n	http://dbpedia.org/resource/Year	year
Old	8,9	bn:00058795n	Concept	[wn:15121302n]	http://babelnet.org/rdf/s00058795n	null	old
Dead	9,10	bn:00025501n	Concept	[wn:15123362n]	http://babelnet.org/rdf/s00025501n	null	dead
KTVN	11,12	bn:02612151n	Named Entity	[]	http://babelnet.org/rdf/s02612151n	http://dbpedia.org/resource/KTVN	KTVN
Channel	12,13	bn:00017681n	Concept	[wn:06259898n]	http://babelnet.org/rdf/s00017681n	http://dbpedia.org/resource/Channel_(communications)	channel
Reno	15,16	bn:01995416n	Named Entity	[]	http://babelnet.org/rdf/s01995416n	http://dbpedia.org/resource/Reno,_Nevada	Reno
Tahoe	16,17	bn:00049733n	Named Entity	[wn:09243209n]	http://babelnet.org/rdf/s00049733n	http://dbpedia.org/resource/Lake_Tahoe	Lake_Tahoe
Sparks	17,18	bn:00035201n	Concept	[wn:07412310n]	http://babelnet.org/rdf/s00035201n	null	glint
News	18,19	bn:00047028n	Concept	[wn:06642138n]	http://babelnet.org/rdf/s00047028n	null	word
Weather	20,21	bn:00006808n	Concept	[wn:11524662n]	http://babelnet.org/rdf/s00006808n	http://dbpedia.org/resource/Weather	weather
Video	22,23	bn:00076373n	Concept	[wn:06277280n]	http://babelnet.org/rdf/s00076373n	http://dbpedia.org/resource/Television	television
Reno	24,25	bn:01995416n	Named Entity	[]	http://babelnet.org/rdf/s01995416n	http://dbpedia.org/resource/Reno,_Nevada	Reno
Police Department	25,27	bn:00022026n	Concept	[wn:08209687n]	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary	police
investigating	28,29	bn:00087655v	Concept	[wn:00785962v]	http://babelnet.org/rdf/s00087655v	null	inquire
shooting	30,31	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null	shoot
killed	32,33	bn:00090098v	Concept	[wn:01323958v]	http://babelnet.org/rdf/s00090098v	null	kill
year	35,36	bn:00078738n	Concept	[wn:15203791n]	http://babelnet.org/rdf/s00078738n	http://dbpedia.org/resource/Year	year
old boy	37,39	bn:16861593n	Named Entity	[]	http://babelnet.org/rdf/s16861593n	http://dbpedia.org/resource/Oldboy_(2003_film)	Oldboy_(2003_film)
Tuesday	39,40	bn:00078546n	Concept	[wn:15164105n]	http://babelnet.org/rdf/s00078546n	http://dbpedia.org/resource/Tuesday	Tuesday
