men	2,3	bn:00044576n	Concept	[wn:02472293n]	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
wanted	3,4	bn:00086682v	Concept	[wn:01825237v]	http://babelnet.org/rdf/s00086682v	null
shooting	5,6	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
Haverstock Hills	7,9	bn:01265477n	Named Entity	[]	http://babelnet.org/rdf/s01265477n	http://dbpedia.org/resource/Haverstock
Apartments	9,10	bn:00004836n	Concept	[wn:02726305n]	http://babelnet.org/rdf/s00004836n	http://dbpedia.org/resource/Apartment
Photo	11,12	bn:00032381n	Concept	[wn:03925226n]	http://babelnet.org/rdf/s00032381n	http://dbpedia.org/resource/Photograph
KHOU 11	13,15	bn:01101314n	Named Entity	[]	http://babelnet.org/rdf/s01101314n	http://dbpedia.org/resource/KHOU
NEWLINE	16,17	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
HOUSTON	17,18	bn:00045059n	Named Entity	[wn:09144851n]	http://babelnet.org/rdf/s00045059n	http://dbpedia.org/resource/Houston
Investigators	19,20	bn:00047356n	Concept	[wn:10523076n]	http://babelnet.org/rdf/s00047356n	null
charged	21,22	bn:00083234v	Concept	[wn:01121719v]	http://babelnet.org/rdf/s00083234v	null
men	23,24	bn:00044576n	Concept	[wn:02472293n]	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
run	29,30	bn:00068547n	Concept	[wn:00189565n]	http://babelnet.org/rdf/s00068547n	http://dbpedia.org/resource/Run_(cricket)
killed	33,34	bn:00090098v	Concept	[wn:01323958v]	http://babelnet.org/rdf/s00090098v	null
injured	38,39	bn:00089751v	Concept	[wn:00069879v]	http://babelnet.org/rdf/s00089751v	null
shooting	41,42	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
apartment complex	44,46	bn:00004836n	Concept	[wn:02726305n]	http://babelnet.org/rdf/s00004836n	http://dbpedia.org/resource/Apartment
northeast	47,48	bn:00107606a	Concept	[wn:01601592a]	http://babelnet.org/rdf/s00107606a	null
Houston	48,49	bn:00045059n	Named Entity	[wn:09144851n]	http://babelnet.org/rdf/s00045059n	http://dbpedia.org/resource/Houston
Sunday	50,51	bn:00028190n	Concept	[wn:15163797n]	http://babelnet.org/rdf/s00028190n	http://dbpedia.org/resource/Lord's_Day
NEWLINE	53,54	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
Harris County	55,57	bn:03809041n	Named Entity	[]	http://babelnet.org/rdf/s03809041n	http://dbpedia.org/resource/Harris_County,_Texas
County Sheriff	56,58	bn:03786221n	Concept	[]	http://babelnet.org/rdf/s03786221n	http://dbpedia.org/resource/Sheriff
Office	59,60	bn:00001961n	Concept	[wn:08337324n]	http://babelnet.org/rdf/s00001961n	http://dbpedia.org/resource/Government_agency
Tuesday morning	61,63	bn:03777575n	Named Entity	[]	http://babelnet.org/rdf/s03777575n	http://dbpedia.org/resource/Tuesday_Morning_(song)
announced	63,64	bn:00082637v	Concept	[wn:00974367v]	http://babelnet.org/rdf/s00082637v	null
charges	64,65	bn:00017789n	Concept	[wn:00974762n]	http://babelnet.org/rdf/s00017789n	null
old	68,69	bn:00107786a	Concept	[wn:01643620a]	http://babelnet.org/rdf/s00107786a	null
Jeremy Jones	69,71	bn:01897680n	Named Entity	[]	http://babelnet.org/rdf/s01897680n	http://dbpedia.org/resource/Jeremy_Jones_(pool_player)
old	74,75	bn:00107786a	Concept	[wn:01643620a]	http://babelnet.org/rdf/s00107786a	null
Harvey Jones	75,77	bn:00343195n	Named Entity	[]	http://babelnet.org/rdf/s00343195n	http://dbpedia.org/resource/Harvey_Jones
NEWLINE	78,79	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
charged	81,82	bn:00083234v	Concept	[wn:01121719v]	http://babelnet.org/rdf/s00083234v	null
capital murder	83,85	bn:01281516n	Concept	[]	http://babelnet.org/rdf/s01281516n	http://dbpedia.org/resource/Capital_murder
charged	88,89	bn:00083234v	Concept	[wn:01121719v]	http://babelnet.org/rdf/s00083234v	null
aggravated assault	90,92	bn:00006467n	Concept	[wn:00767826n]	http://babelnet.org/rdf/s00006467n	http://dbpedia.org/resource/Assault
assault with a deadly weapon	91,96	bn:00006467n	Concept	[wn:00767826n]	http://babelnet.org/rdf/s00006467n	http://dbpedia.org/resource/Assault
NEWLINE	97,98	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
men	99,100	bn:00044576n	Concept	[wn:02472293n]	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
custody	103,104	bn:00024586n	Concept	[wn:13999663n]	http://babelnet.org/rdf/s00024586n	http://dbpedia.org/resource/Detention_(imprisonment)
homicide	105,106	bn:00044565n	Concept	[wn:00220023n]	http://babelnet.org/rdf/s00044565n	http://dbpedia.org/resource/Homicide
investigators	106,107	bn:00047356n	Concept	[wn:10523076n]	http://babelnet.org/rdf/s00047356n	null
need	107,108	bn:00082822v	Concept	[wn:02627934v]	http://babelnet.org/rdf/s00082822v	null
public	109,110	bn:00109212a	Concept	[wn:00493297a]	http://babelnet.org/rdf/s00109212a	null
help	111,112	bn:00002155n	Concept	[wn:01207609n]	http://babelnet.org/rdf/s00002155n	null
locating	113,114	bn:00090426v	Concept	[wn:00413876v]	http://babelnet.org/rdf/s00090426v	null
information	118,119	bn:00046705n	Concept	[wn:05816287n]	http://babelnet.org/rdf/s00046705n	http://dbpedia.org/resource/Information
asked	120,121	bn:00082817v	Concept	[wn:00784342v]	http://babelnet.org/rdf/s00082817v	null
contact	122,123	bn:00085696v	Concept	[wn:00743344v]	http://babelnet.org/rdf/s00085696v	null
homicide	123,124	bn:00044565n	Concept	[wn:00220023n]	http://babelnet.org/rdf/s00044565n	http://dbpedia.org/resource/Homicide
investigators	124,125	bn:00047356n	Concept	[wn:10523076n]	http://babelnet.org/rdf/s00047356n	null
Crime Stoppers	132,134	bn:01352506n	Named Entity	[]	http://babelnet.org/rdf/s01352506n	http://dbpedia.org/resource/Crime_Stoppers
NEWLINE	142,143	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
Related	143,144	bn:02439331n	Named Entity	[]	http://babelnet.org/rdf/s02439331n	http://dbpedia.org/resource/Related
Neighbors	145,146	bn:14166212n	Concept	[]	http://babelnet.org/rdf/s14166212n	null
demand	146,147	bn:00086546v	Concept	[wn:00754942v]	http://babelnet.org/rdf/s00086546v	null
change	147,148	bn:00053823n	Concept	[wn:06000644n]	http://babelnet.org/rdf/s00053823n	http://dbpedia.org/resource/Mathematics
people	150,151	bn:00061450n	Concept	[wn:07942152n]	http://babelnet.org/rdf/s00061450n	http://dbpedia.org/resource/People
shot	151,152	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
apartment complex	153,155	bn:00004836n	Concept	[wn:02726305n]	http://babelnet.org/rdf/s00004836n	http://dbpedia.org/resource/Apartment
NEWLINE	155,156	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
Homicide	156,157	bn:00044565n	Concept	[wn:00220023n]	http://babelnet.org/rdf/s00044565n	http://dbpedia.org/resource/Homicide
Investigators	157,158	bn:00047356n	Concept	[wn:10523076n]	http://babelnet.org/rdf/s00047356n	null
say	158,159	bn:00093287v	Concept	[wn:01009240v]	http://babelnet.org/rdf/s00093287v	null
suspects	160,161	bn:00025884n	Concept	[wn:09762101n]	http://babelnet.org/rdf/s00025884n	http://dbpedia.org/resource/Suspect
involved	162,163	bn:00082822v	Concept	[wn:02627934v]	http://babelnet.org/rdf/s00082822v	null
argument	165,166	bn:00005600n	Concept	[wn:06648724n]	http://babelnet.org/rdf/s00005600n	null
resident	168,169	bn:00058564n	Concept	[wn:10523519n]	http://babelnet.org/rdf/s00058564n	null
Haverstock Hills	171,173	bn:01265477n	Named Entity	[]	http://babelnet.org/rdf/s01265477n	http://dbpedia.org/resource/Haverstock
Apartments	173,174	bn:00004836n	Concept	[wn:02726305n]	http://babelnet.org/rdf/s00004836n	http://dbpedia.org/resource/Apartment
Harvey Jones	175,177	bn:00343195n	Named Entity	[]	http://babelnet.org/rdf/s00343195n	http://dbpedia.org/resource/Harvey_Jones
allegedly	177,178	bn:00114224r	Concept	[wn:00154307r]	http://babelnet.org/rdf/s00114224r	null
got	178,179	bn:13677111v	Concept	[]	http://babelnet.org/rdf/s13677111v	null
semi	180,181	bn:00070409n	Concept	[wn:07467393n]	http://babelnet.org/rdf/s00070409n	http://dbpedia.org/resource/Single-elimination_tournament
automatic rifle	182,184	bn:00007357n	Concept	[wn:02760855n]	http://babelnet.org/rdf/s00007357n	http://dbpedia.org/resource/Automatic_rifle
vehicle	186,187	bn:00079675n	Concept	[wn:04524313n]	http://babelnet.org/rdf/s00079675n	http://dbpedia.org/resource/Vehicle
trunk	188,189	bn:00011853n	Concept	[wn:13165815n]	http://babelnet.org/rdf/s00011853n	http://dbpedia.org/resource/Trunk_(botany)
pointed	190,191	bn:00082489v	Concept	[wn:01150559v]	http://babelnet.org/rdf/s00082489v	null
victims	193,194	bn:00079940n	Concept	[wn:10752093n]	http://babelnet.org/rdf/s00079940n	null
Jeremy Jones	195,197	bn:01897680n	Named Entity	[]	http://babelnet.org/rdf/s01897680n	http://dbpedia.org/resource/Jeremy_Jones_(pool_player)
pointed	198,199	bn:00082489v	Concept	[wn:01150559v]	http://babelnet.org/rdf/s00082489v	null
rifle	200,201	bn:00067785n	Concept	[wn:04090263n]	http://babelnet.org/rdf/s00067785n	http://dbpedia.org/resource/Rifle
fired	202,203	bn:00088225v	Concept	[wn:01135783v]	http://babelnet.org/rdf/s00088225v	null
victims	205,206	bn:00079940n	Concept	[wn:10752093n]	http://babelnet.org/rdf/s00079940n	null
striking	207,208	bn:00094453v	Concept	[wn:01410223v]	http://babelnet.org/rdf/s00094453v	null
victims	210,211	bn:00079940n	Concept	[wn:10752093n]	http://babelnet.org/rdf/s00079940n	null
multiple	212,213	bn:00107028a	Concept	[wn:02215977a]	http://babelnet.org/rdf/s00107028a	null
gun shots	213,215	bn:00042242n	Concept	[wn:00123783n]	http://babelnet.org/rdf/s00042242n	http://dbpedia.org/resource/Gunshot
investigators	216,217	bn:00047356n	Concept	[wn:10523076n]	http://babelnet.org/rdf/s00047356n	null
say	217,218	bn:00093287v	Concept	[wn:01009240v]	http://babelnet.org/rdf/s00093287v	null
NEWLINE	219,220	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
shooting	222,223	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
men	224,225	bn:00044576n	Concept	[wn:02472293n]	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
fled	225,226	bn:00088291v	Concept	[wn:02075462v]	http://babelnet.org/rdf/s00088291v	null
scene	227,228	bn:00069550n	Concept	[wn:08645963n]	http://babelnet.org/rdf/s00069550n	null
vehicle	230,231	bn:00079675n	Concept	[wn:04524313n]	http://babelnet.org/rdf/s00079675n	http://dbpedia.org/resource/Vehicle
Additional charges	232,234	bn:17061074n	Concept	[]	http://babelnet.org/rdf/s17061074n	null
pending	235,236	bn:13734058v	Concept	[]	http://babelnet.org/rdf/s13734058v	null
men	238,239	bn:00044576n	Concept	[wn:02472293n]	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
according	240,241	bn:00082227v	Concept	[wn:02700104v]	http://babelnet.org/rdf/s00082227v	null
NEWLINE	243,244	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
Multiple	244,245	bn:00056285n	Concept	[wn:05859991n]	http://babelnet.org/rdf/s00056285n	http://dbpedia.org/resource/Multiple_(mathematics)
neighbors	245,246	bn:14166212n	Concept	[]	http://babelnet.org/rdf/s14166212n	null
confirmed	246,247	bn:00082434v	Concept	[wn:00665886v]	http://babelnet.org/rdf/s00082434v	null
KHOU 11	248,250	bn:01101314n	Named Entity	[]	http://babelnet.org/rdf/s01101314n	http://dbpedia.org/resource/KHOU
News	250,251	bn:00047028n	Concept	[wn:06642138n]	http://babelnet.org/rdf/s00047028n	null
injured	255,256	bn:00105122a	Concept	[wn:01317954a]	http://babelnet.org/rdf/s00105122a	null
victims	256,257	bn:00079940n	Concept	[wn:10752093n]	http://babelnet.org/rdf/s00079940n	null
Brandy Rusher	258,260	bn:16380348n	Named Entity	[]	http://babelnet.org/rdf/s16380348n	http://dbpedia.org/resource/America's_Next_Top_Model_(cycle_4)
contestant	263,264	bn:00022164n	Concept	[wn:09613191n]	http://babelnet.org/rdf/s00022164n	http://dbpedia.org/resource/Contestant
America	265,266	bn:00003341n	Named Entity	[wn:09044862n]	http://babelnet.org/rdf/s00003341n	http://dbpedia.org/resource/United_States
Top Model	268,270	bn:14822560n	Named Entity	[]	http://babelnet.org/rdf/s14822560n	http://dbpedia.org/resource/Top_Model
Rush	271,272	bn:00043115n	Concept	[wn:00555648n]	http://babelnet.org/rdf/s00043115n	null
survived	272,273	bn:00091234v	Concept	[wn:02619739v]	http://babelnet.org/rdf/s00091234v	null
men	275,276	bn:00044576n	Concept	[wn:02472293n]	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
died	280,281	bn:00084343v	Concept	[wn:00358431v]	http://babelnet.org/rdf/s00084343v	null
NEWLINE	282,283	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
KHOU	285,286	bn:01101314n	Named Entity	[]	http://babelnet.org/rdf/s01101314n	http://dbpedia.org/resource/KHOU
TV	287,288	bn:00076373n	Concept	[wn:06277280n]	http://babelnet.org/rdf/s00076373n	http://dbpedia.org/resource/Television
