     2017-02-24	        CD	      S-NP	         O	              -	(S1(NP*))

           MCSO	       NNP	      S-NP	         O	              -	      B-A0	(S1(NP(NP*)
              :	         :	         O	         O	              -	      I-A0	*
        16-year	        JJ	      B-NP	         O	              -	      I-A0	(NP(NP(ADJP*
              -	         :	      I-NP	         O	              -	      I-A0	*
            old	        JJ	      I-NP	         O	              -	      I-A0	*)
            boy	        NN	      I-NP	         O	              -	      I-A0	*
           shot	        NN	      E-NP	         O	              -	      I-A0	*)
              ,	         ,	         O	         O	              -	      E-A0	*
         killed	       VBN	      S-VP	         O	         killed	       S-V	(VP*
             at	        IN	      S-PP	         O	              -	  B-AM-MNR	(PP*
           home	        NN	      S-NP	         O	              -	  I-AM-MNR	(NP(NP*)
             in	        IN	      S-PP	         O	              -	  I-AM-MNR	(PP*
         Laveen	       NNP	      S-NP	     S-LOC	              -	  I-AM-MNR	(NP(NP*)
              -	         :	         O	         O	              -	  I-AM-MNR	*
            CBS	       NNP	      S-NP	     S-ORG	              -	  I-AM-MNR	(NP*
              5	        CD	      S-NP	         O	              -	  E-AM-MNR	*)
              -	         :	         O	         O	              -	         O	*
           KPHO	       NNP	         O	         O	              -	         O	(NP*)))))))))

              A	        DT	      B-NP	         O	              -	      B-A1	(S1(S(NP*
        16-year	        JJ	      I-NP	         O	              -	      I-A1	*
              -	         :	      I-NP	         O	              -	      I-A1	*
            old	        JJ	      I-NP	         O	              -	      I-A1	*
           male	        NN	      E-NP	         O	              -	      E-A1	*)
            was	       VBD	      B-VP	         O	              -	         O	(VP*
          found	       VBN	      E-VP	         O	          found	       S-V	(VP*
           shot	        NN	      S-VP	         O	              -	      S-A1	(S(VP*
             at	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP(NP*
           home	        NN	      E-NP	         O	              -	  I-AM-LOC	*)
             in	        IN	      S-PP	         O	              -	  I-AM-LOC	(PP*
         Laveen	       NNP	      B-NP	     S-LOC	              -	  I-AM-LOC	(NP*))))
         Friday	       NNP	      I-NP	         O	              -	  I-AM-LOC	(NP*
          night	        NN	      E-NP	         O	              -	  E-AM-LOC	*)))))
              .	         .	         O	         O	              -	         O	*))

      According	       VBG	      S-PP	         O	              -	  B-AM-ADV	(S1(S(S(PP*
             to	        TO	      S-PP	         O	              -	  I-AM-ADV	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-ADV	(NP(NP*
       Maricopa	       NNP	      I-NP	     B-ORG	              -	  I-AM-ADV	*
         County	       NNP	      I-NP	     I-ORG	              -	  I-AM-ADV	*
        Sheriff	       NNP	      E-NP	     I-ORG	              -	  I-AM-ADV	*
             's	       POS	      B-NP	     I-ORG	              -	  I-AM-ADV	*)
         Office	        NN	      E-NP	     E-ORG	              -	  E-AM-ADV	*)))
              ,	         ,	         O	         O	              -	         O	*
            the	        DT	      B-NP	         O	              -	      B-A1	(NP*
           teen	        NN	      E-NP	         O	              -	      E-A1	*)
            was	       VBD	      B-VP	         O	              -	         O	(VP*
     pronounced	       VBN	      E-VP	         O	     pronounced	       S-V	(VP*
           dead	        JJ	    S-ADJP	         O	              -	      S-A2	(S(ADJP*)
             at	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP*
          scene	        NN	      E-NP	         O	              -	  E-AM-LOC	*))))))
              .	         .	         O	         O	              -	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	(NP*)))

      According	       VBG	      S-PP	         O	              -	  B-AM-ADV	(S1(S(S(PP*
             to	        TO	      S-PP	         O	              -	  I-AM-ADV	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-ADV	(NP(NP*
       Maricopa	       NNP	      I-NP	     B-ORG	              -	  I-AM-ADV	*
         County	       NNP	      I-NP	     I-ORG	              -	  I-AM-ADV	*
        Sheriff	       NNP	      E-NP	     I-ORG	              -	  I-AM-ADV	*
             's	       POS	      B-NP	     I-ORG	              -	  I-AM-ADV	*)
         Office	        NN	      E-NP	     E-ORG	              -	  E-AM-ADV	*)))
              ,	         ,	         O	         O	              -	         O	*
            the	        DT	      B-NP	         O	              -	      B-A1	(NP*
           teen	        NN	      E-NP	         O	              -	      E-A1	*)
            was	       VBD	      B-VP	         O	              -	         O	(VP*
     pronounced	       VBN	      E-VP	         O	     pronounced	       S-V	(VP*
           dead	        JJ	    S-ADJP	         O	              -	      S-A2	(S(ADJP*)
             at	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP*
          scene	        NN	      E-NP	         O	              -	  E-AM-LOC	*))))))
              .	         .	         O	         O	              -	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	(NP*)))

