     2017-03-17	        CD	      S-NP	         O	              -	(S1(NP*))

         Second	        JJ	      B-NP	         O	              -	      B-A1	         O	      B-A0	(S1(X(S(NP(NP*
            man	        NN	      E-NP	         O	              -	      E-A1	         O	      I-A0	*)
       arrested	       VBN	      S-VP	         O	       arrested	       S-V	         O	      I-A0	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	      I-A0	(PP*
        Trenton	       NNP	      B-NP	     S-LOC	              -	  I-AM-LOC	         O	      I-A0	(NP*
       shooting	        NN	      E-NP	         O	              -	  I-AM-LOC	         O	      I-A0	*))
           that	       WDT	      S-NP	         O	              -	  I-AM-LOC	    S-R-A0	      I-A0	(SBAR(WHNP*)
        wounded	       VBD	      B-VP	         O	        wounded	  I-AM-LOC	       S-V	      I-A0	(S(VP*
        15-year	        JJ	      E-VP	         O	              -	  I-AM-LOC	      B-A1	      I-A0	(ADJP*
              -	         :	         O	         O	              -	  I-AM-LOC	      I-A1	      I-A0	*
            old	        JJ	         O	         O	              -	  E-AM-LOC	      E-A1	      E-A0	*))))))
          leads	       VBZ	      S-VP	         O	          leads	         O	         O	       S-V	(VP*
            the	        DT	      B-NP	         O	              -	         O	         O	      B-A1	(NP*
          March	       NNP	      I-NP	         O	              -	         O	         O	      I-A1	*
             17	        CD	      I-NP	         O	              -	         O	         O	      I-A1	*)))
              ,	         ,	      I-NP	         O	              -	         O	         O	      I-A1	*
           2017	        CD	      I-NP	         O	              -	         O	         O	      I-A1	(NP*
         Police	       NNP	      I-NP	         O	              -	         O	         O	      I-A1	*
        Blotter	       NNP	      E-NP	     S-PER	              -	         O	         O	      E-A1	*)))

            The	        DT	      B-NP	         O	              -	         O	      B-A1	      B-A1	         O	      B-A1	(S1(S(NP*
      following	       VBG	      I-NP	         O	      following	       S-V	      I-A1	      I-A1	         O	      I-A1	*
    information	        NN	      E-NP	         O	              -	      S-A1	      E-A1	      I-A1	         O	      I-A1	*)
            was	       VBD	      B-VP	         O	              -	         O	         O	      I-A1	         O	      I-A1	*
       provided	       VBN	      E-VP	         O	       provided	         O	       S-V	      I-A1	         O	      I-A1	*
             by	        IN	      S-PP	         O	              -	         O	      B-A0	      I-A1	         O	      I-A1	(PP*
         police	       NNS	      S-NP	         O	              -	         O	      E-A0	      E-A1	         O	      I-A1	(NP*))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	      I-A1	*
         unless	        IN	    S-SBAR	         O	              -	         O	  B-AM-ADV	  B-AM-ADV	         O	      I-A1	*
      otherwise	        RB	      B-VP	         O	              -	         O	  I-AM-ADV	  E-AM-ADV	         O	      I-A1	(ADVP*)
          noted	       VBN	      E-VP	         O	          noted	         O	  E-AM-ADV	       S-V	         O	      I-A1	*
              :	         :	         O	         O	              -	         O	         O	         O	         O	      I-A1	*
        NEWLINE	       NNP	      B-NP	    B-MISC	              -	         O	         O	      B-A0	         O	      I-A1	(NP*
        Trenton	       NNP	      I-NP	    I-MISC	              -	         O	         O	      I-A0	         O	      I-A1	*
        NEWLINE	       NNP	      I-NP	    E-MISC	              -	         O	         O	      I-A0	         O	      I-A1	*
       Shooting	       NNP	      I-NP	         O	              -	         O	         O	      I-A0	         O	      I-A1	*
         arrest	        NN	      E-NP	         O	              -	         O	         O	      I-A0	         O	      I-A1	*)
              :	         :	         O	         O	              -	         O	         O	      I-A0	         O	      I-A1	*
       Altyreek	       NNP	      B-NP	     B-PER	              -	         O	         O	      I-A0	      B-A1	      I-A1	(S(NP(NP(NP*
             K.	       NNP	      I-NP	     I-PER	              -	         O	         O	      I-A0	      I-A1	      I-A1	*
        Crawley	       NNP	      E-NP	     E-PER	              -	         O	         O	      I-A0	      I-A1	      I-A1	*)
              ,	         ,	         O	         O	              -	         O	         O	      I-A0	      I-A1	      I-A1	*
             19	        CD	      S-NP	         O	              -	         O	         O	      I-A0	      I-A1	      I-A1	(NP*)
              ,	         ,	         O	         O	              -	         O	         O	      I-A0	      I-A1	      I-A1	*)
             of	        IN	      S-PP	         O	              -	         O	         O	      I-A0	      I-A1	      I-A1	(PP*
        Trenton	       NNP	      S-NP	     S-LOC	              -	         O	         O	      I-A0	      E-A1	      I-A1	(NP*)))
            was	       VBD	      B-VP	         O	              -	         O	         O	      I-A0	         O	      I-A1	(VP*
       arrested	       VBN	      E-VP	         O	       arrested	         O	         O	      I-A0	       S-V	      I-A1	(VP*
             in	        IN	      S-PP	         O	              -	         O	         O	      I-A0	  B-AM-LOC	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	         O	         O	      I-A0	  I-AM-LOC	      I-A1	(NP(NP*
          first	        JJ	      I-NP	         O	              -	         O	         O	      I-A0	  I-AM-LOC	      I-A1	*
          block	        NN	      E-NP	         O	              -	         O	         O	      I-A0	  I-AM-LOC	      I-A1	*)
             of	        IN	      S-PP	         O	              -	         O	         O	      I-A0	  I-AM-LOC	      I-A1	(PP*
        Reading	       NNP	      B-NP	     B-LOC	              -	         O	         O	      I-A0	  I-AM-LOC	      I-A1	(NP*
         Avenue	       NNP	      E-NP	     E-LOC	              -	         O	         O	      I-A0	  E-AM-LOC	      I-A1	*))
             on	        IN	      S-PP	         O	              -	         O	         O	      I-A0	  B-AM-TMP	      I-A1	(PP*
       Thursday	       NNP	      S-NP	         O	              -	         O	         O	      I-A0	  E-AM-TMP	      I-A1	(NP*))))
             in	        IN	      S-PP	         O	              -	         O	         O	      I-A0	  B-AM-ADV	      I-A1	(PP*
     connection	        NN	      S-NP	         O	              -	         O	         O	      I-A0	  I-AM-ADV	      I-A1	(NP(NP*)
           with	        IN	      S-PP	         O	              -	         O	         O	      I-A0	  I-AM-ADV	      I-A1	(PP*
              a	        DT	      B-NP	         O	              -	         O	         O	      I-A0	  I-AM-ADV	      I-A1	(NP*
          March	       NNP	      I-NP	         O	              -	         O	         O	      I-A0	  I-AM-ADV	      I-A1	*
              7	        CD	      I-NP	         O	              -	         O	         O	      I-A0	  I-AM-ADV	      I-A1	*
       shooting	        NN	      E-NP	         O	              -	         O	         O	      I-A0	  I-AM-ADV	      I-A1	*))
             on	        IN	      S-PP	         O	              -	         O	         O	      I-A0	  I-AM-ADV	      I-A1	(PP*
         Spring	       NNP	      B-NP	     B-LOC	              -	         O	         O	      I-A0	  I-AM-ADV	      I-A1	(NP*
         Street	       NNP	      E-NP	     E-LOC	              -	         O	         O	      E-A0	  E-AM-ADV	      E-A1	*)))))))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	         O	*
         police	        NN	      S-NP	         O	              -	         O	         O	         O	         O	      S-A0	(NP*)
           said	       VBD	      S-VP	         O	           said	         O	         O	         O	         O	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	         O	         O	         O	         O	*))

        Stephen	       NNP	      B-NP	     B-PER	              -	      B-A0	         O	(S1(S(NP*
           Varn	       NNP	      E-NP	     E-PER	              -	      E-A0	         O	*)
           said	       VBD	      S-VP	         O	           said	       S-V	         O	(VP*
           that	        IN	    S-SBAR	         O	              -	      B-A1	         O	(SBAR*
        Crawley	       NNP	      S-NP	     S-PER	              -	      I-A1	      S-A1	(S(NP*)
            was	       VBD	      B-VP	         O	              -	      I-A1	         O	(VP*
          taken	       VBN	      E-VP	         O	          taken	      I-A1	       S-V	(VP*
           into	        IN	      S-PP	         O	              -	      I-A1	      B-A2	(PP*
        custody	        NN	      S-NP	         O	              -	      I-A1	      E-A2	(NP*))
             by	        IN	      S-PP	         O	              -	      I-A1	      B-A0	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	      I-A0	(NP*
           U.S.	       NNP	      I-NP	     B-ORG	              -	      I-A1	      I-A0	*
       Marshals	      NNPS	      I-NP	     I-ORG	              -	      I-A1	      I-A0	*
            New	       NNP	      I-NP	     I-ORG	              -	      I-A1	      I-A0	*
       York/New	       NNP	      I-NP	     I-ORG	              -	      I-A1	      I-A0	*
         Jersey	       NNP	      I-NP	     I-ORG	              -	      I-A1	      I-A0	*
       Regional	       NNP	      I-NP	     I-ORG	              -	      I-A1	      I-A0	*
       Fugitive	       NNP	      I-NP	     I-ORG	              -	      I-A1	      I-A0	*
           Task	       NNP	      I-NP	     I-ORG	              -	      I-A1	      I-A0	*
          Force	       NNP	      E-NP	     E-ORG	              -	      E-A1	      E-A0	*)))))))
              .	         .	         O	         O	              -	         O	         O	*))

         Police	       NNS	      S-NP	         O	              -	      S-A0	         O	(S1(S(NP*)
            had	       VBD	      B-VP	         O	              -	         O	         O	(VP*
     previously	        RB	      I-VP	         O	              -	  S-AM-TMP	         O	(ADVP*)
       arrested	       VBN	      E-VP	         O	       arrested	       S-V	         O	(VP*
         Andrew	       NNP	      B-NP	     B-PER	              -	      B-A1	         O	(NP*
       Anderson	       NNP	      E-NP	     E-PER	              -	      E-A1	         O	*)
           last	        JJ	      B-NP	         O	              -	  B-AM-TMP	         O	(NP*
           week	        NN	      E-NP	         O	              -	  E-AM-TMP	         O	*)
            for	        IN	      S-PP	         O	              -	      B-A1	         O	(PP*
            his	      PRP$	      B-NP	         O	              -	      I-A1	         O	(NP(NP*
        alleged	        JJ	      I-NP	         O	              -	      I-A1	         O	*
    involvement	        NN	      E-NP	         O	              -	      I-A1	         O	*)
           with	        IN	      S-PP	         O	              -	      I-A1	         O	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	      B-A0	(NP(NP*
       shooting	        NN	      E-NP	         O	              -	      I-A1	      E-A0	*)
           that	       WDT	      S-NP	         O	              -	      I-A1	    S-R-A0	(SBAR(WHNP*)
        wounded	       VBD	      S-VP	         O	        wounded	      I-A1	       S-V	(S(VP*
              a	        DT	      S-NP	         O	              -	      I-A1	      B-A1	(NP*
        15-year	        JJ	    B-ADJP	         O	              -	      I-A1	      I-A1	(ADJP*
              -	         :	    I-ADJP	         O	              -	      I-A1	      I-A1	*
            old	        JJ	    E-ADJP	         O	              -	      E-A1	      E-A1	*)))))))))))
              .	         .	         O	         O	              -	         O	         O	*))

         Police	       NNS	      S-NP	         O	              -	      S-A0	         O	(S1(S(NP*)
            say	       VBP	      S-VP	         O	            say	       S-V	         O	(VP*
            the	        DT	      B-NP	         O	              -	      B-A1	      B-A1	(SBAR(S(NP*
           teen	        NN	      E-NP	         O	              -	      I-A1	      E-A1	*)
            was	       VBD	      B-VP	         O	              -	      I-A1	         O	(VP*
           shot	       VBN	      E-VP	         O	           shot	      I-A1	       S-V	(VP*
             in	        IN	      S-PP	         O	              -	      I-A1	  B-AM-LOC	(UCP(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	  I-AM-LOC	(NP*
            hip	        NN	      I-NP	         O	              -	      I-A1	  I-AM-LOC	*))
              ,	         ,	      I-NP	         O	              -	      I-A1	  I-AM-LOC	*
           back	        RB	      I-NP	         O	              -	      I-A1	  I-AM-LOC	(ADVP*)
            and	        CC	      I-NP	         O	              -	      I-A1	  I-AM-LOC	*
          torso	        NN	      E-NP	         O	              -	      I-A1	  I-AM-LOC	(VP*
         around	        IN	      S-PP	         O	              -	      I-A1	  I-AM-LOC	(PP*
           3:10	        CD	      B-NP	         O	              -	      I-A1	  I-AM-LOC	(NP*
           p.m.	        NN	      E-NP	         O	              -	      I-A1	  I-AM-LOC	*))
             in	        IN	      S-PP	         O	              -	      I-A1	  I-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	  I-AM-LOC	(NP(NP*
            200	        CD	      I-NP	         O	              -	      I-A1	  I-AM-LOC	*
          block	        NN	      E-NP	         O	              -	      I-A1	  I-AM-LOC	*)
             of	        IN	      S-PP	         O	              -	      I-A1	  I-AM-LOC	(PP*
         Spring	       NNP	      B-NP	     B-LOC	              -	      I-A1	  I-AM-LOC	(NP*
         Street	       NNP	      E-NP	     E-LOC	              -	      E-A1	  E-AM-LOC	*)))))))))))
              .	         .	         O	         O	              -	         O	         O	*))

        Stephen	       NNP	      B-NP	     B-PER	              -	      B-A0	         O	         O	         O	(S1(S(NP*
           Varn	       NNP	      E-NP	     E-PER	              -	      E-A0	         O	         O	         O	*)
           said	       VBD	      S-VP	         O	           said	       S-V	         O	         O	         O	(VP*
           that	        IN	    S-SBAR	         O	              -	      B-A1	         O	         O	         O	(SBAR*
            the	        DT	      B-NP	         O	              -	      I-A1	      B-A0	      B-A0	         O	(S(NP*
       Shooting	       NNP	      I-NP	     B-ORG	              -	      I-A1	      I-A0	      I-A0	         O	*
       Response	       NNP	      I-NP	     I-ORG	              -	      I-A1	      I-A0	      I-A0	         O	*
           Team	       NNP	      E-NP	     E-ORG	              -	      I-A1	      E-A0	      E-A0	         O	*)
       executed	       VBD	      S-VP	         O	       executed	      I-A1	       S-V	         O	         O	(VP(VP*
              a	        DT	      B-NP	         O	              -	      I-A1	      B-A1	         O	         O	(NP*
         search	        NN	      I-NP	         O	              -	      I-A1	      I-A1	         O	         O	*
        warrant	        NN	      E-NP	         O	              -	      I-A1	      E-A1	         O	         O	*))
            and	        CC	         O	         O	              -	      I-A1	         O	         O	         O	*
      recovered	       VBD	      S-VP	         O	      recovered	      I-A1	         O	       S-V	         O	(VP*
      suspected	       VBN	      B-NP	         O	      suspected	      I-A1	         O	      B-A1	       S-V	(NP*
      marijuana	        NN	      I-NP	         O	              -	      I-A1	         O	      I-A1	      B-A1	*
            and	        CC	      I-NP	         O	              -	      I-A1	         O	      I-A1	      I-A1	*
         heroin	        NN	      E-NP	         O	              -	      E-A1	         O	      E-A1	      E-A1	*))))))
              .	         .	         O	         O	              -	         O	         O	         O	         O	*))

        Crawley	       NNP	      S-NP	     S-PER	              -	      S-A0	(S1(S(NP*)
