1; 2017-04-06; 0; 10; DATE
2; Tuesday morning; 9; 24; TIME
2; Dresden Drive; 37; 50; FAC
3; 12-year - old; 41; 54; DATE
3; Tuesday; 74; 81; DATE
3; morning; 82; 89; TIME
3; Brandon Maynard; 140; 155; PERSON
4; 600; 50; 53; CARDINAL
4; Dresden Drive; 63; 76; FAC
4; Maynard; 127; 134; GPE
5; NEWLINE; 13; 20; ORG
5; 12-year - old; 23; 36; DATE
5; South Morrison; 107; 121; LOC
5; Newport News; 130; 142; ORG
5; Thursday; 143; 151; DATE
5; morning; 152; 159; TIME
6; 600; 53; 56; CARDINAL
6; Dresden Drive; 66; 79; FAC
6; 7:15 a.m.; 91; 100; TIME
6; Brandon Maynard; 120; 135; PERSON
7; today; 65; 70; DATE
7; City Center; 135; 146; FAC
7; Newport News; 155; 167; LOC
7; 12noon today; 171; 183; TIME
8; City Center; 64; 75; LOC
8; Newport News; 84; 96; LOC
8; 12noon today; 100; 112; TIME
9; today; 65; 70; DATE
9; City Center; 135; 146; FAC
9; Newport News; 155; 167; LOC
9; 12noon today; 171; 183; TIME
10; City Center; 64; 75; LOC
10; Newport News; 84; 96; LOC
10; 12noon today; 100; 112; TIME
11; Caption Filming TV; 0; 18; ORG
11; Yorktown; 36; 44; GPE
11; Turn; 78; 82; PERSON
11; Yorktown; 86; 94; GPE
11; this morning; 95; 107; TIME
12; Yorktown; 28; 36; GPE
12; this morning; 37; 49; TIME
13; Truck; 16; 21; PERSON
13; City Center Boulevard; 49; 70; FAC
14; 3; 8; 9; CARDINAL
14; City Center Three; 71; 88; FAC
14; two; 125; 128; CARDINAL
14; Advanced Life Support; 134; 155; ORG
14; Basic Life Support —; 169; 189; PRODUCT
14; Rock Landing; 207; 219; GPE
14; City Center; 244; 255; FAC
15; Three; 0; 5; CARDINAL
15; Advanced Life Support; 51; 72; ORG
15; Basic Life Support —; 86; 106; PRODUCT
15; Rock Landing; 124; 136; GPE
15; City Center; 161; 172; FAC
16; 600; 20; 23; CARDINAL
16; Dresden Drive; 30; 43; FAC
16; 1; 51; 52; CARDINAL
16; Newport News; 62; 74; ORG
16; 600; 121; 124; CARDINAL
16; Dresden Drive; 134; 147; FAC
17; 600; 35; 38; CARDINAL
17; Dresden Drive; 48; 61; FAC
18; Lou Thurston; 86; 98; PERSON
19; Maynard; 71; 78; GPE
24; NEWLINE Newport News; 13; 33; ORG
24; South Morrison; 77; 91; LOC
24; Thursday; 109; 117; DATE
24; morning; 118; 125; TIME
25; Caption Video; 0; 13; ORG
25; Hampton Hampton; 54; 69; LOC
25; Quash; 137; 142; GPE
25; Foley; 147; 152; PERSON
25; March 28 , 2017; 161; 176; DATE
26; Hampton; 0; 7; GPE
26; Quash; 75; 80; GPE
26; Foley; 85; 90; PERSON
26; March 28 , 2017; 99; 114; DATE
28; Hampton Hampton; 38; 53; LOC
28; Quash; 121; 126; GPE
28; Foley; 131; 136; PERSON
28; March 28 , 2017; 145; 160; DATE
29; Hampton; 0; 7; GPE
29; Quash; 75; 80; GPE
29; Foley; 85; 90; PERSON
29; March 28 , 2017; 99; 114; DATE
30; Truck; 16; 21; PERSON
30; City Center Boulevard; 49; 70; FAC
31; 3; 8; 9; CARDINAL
31; City Center Three; 71; 88; FAC
31; two; 125; 128; CARDINAL
31; Advanced Life Support; 134; 155; ORG
31; Basic Life Support —; 169; 189; PRODUCT
31; Rock Landing; 207; 219; GPE
31; City Center; 244; 255; FAC
32; Three; 0; 5; CARDINAL
32; Advanced Life Support; 51; 72; ORG
32; Basic Life Support —; 86; 106; PRODUCT
32; Rock Landing; 124; 136; GPE
32; City Center; 161; 172; FAC
33; 600; 20; 23; CARDINAL
33; Dresden Drive; 30; 43; FAC
33; 1; 51; 52; CARDINAL
33; Newport News; 62; 74; ORG
33; 600; 121; 124; CARDINAL
33; Dresden Drive; 134; 147; FAC
34; 600; 35; 38; CARDINAL
34; Dresden Drive; 48; 61; FAC
35; the Love Shack on; 42; 59; WORK_OF_ART
35; J. Clyde Morris Blvd; 60; 80; PERSON
35; Newport News; 84; 96; ORG
35; the Love Shack; 140; 154; WORK_OF_ART
36; the Love Shack; 43; 57; WORK_OF_ART
37; 600; 35; 38; CARDINAL
37; Dresden Drive; 48; 61; FAC
38; Lou Thurston; 86; 98; PERSON
