1; 2017-02-28; 0; 10; DATE
2; Shootout; 19; 27; ORG
3; 3; 12; 13; CARDINAL
3; Brighton Park; 21; 34; GPE
4; Torrence Reese; 0; 14; PERSON
4; 18; 17; 19; DATE
5; nine days; 54; 63; DATE
6; View Full Caption DNAinfo; 0; 25; ORG
6; Cook County Sheriff 's; 28; 50; ORG
7; Brighton Park; 41; 54; GPE
7; three; 76; 81; CARDINAL
7; two; 95; 98; CARDINAL
7; Feb. 15; 107; 114; DATE
8; Torrence Reese; 0; 14; PERSON
8; 18; 17; 19; DATE
8; Tuesday; 38; 45; DATE
8; first; 60; 65; ORDINAL
8; first; 94; 99; ORDINAL
9; Reese; 27; 32; ORG
9; 19-year - old; 37; 50; DATE
9; Julian Miller; 51; 64; PERSON
9; 3900; 93; 97; CARDINAL
9; South Albany Avenue; 107; 126; FAC
9; about 2:45 p.m.; 127; 142; TIME
9; Feb. 15; 143; 150; DATE
9; two ounces; 165; 175; QUANTITY
9; 400; 195; 198; MONEY
10; Emmanuel Camacho; 32; 48; PERSON
10; 18; 51; 53; DATE
10; Filogonio Rivera; 60; 76; PERSON
10; 20; 79; 81; DATE
10; State; 156; 161; ORG
10; Holly Grosshans; 174; 189; PERSON
10; Tuesday; 217; 224; DATE
11; Reese; 0; 5; ORG
11; Reese; 89; 94; ORG
11; Miller; 97; 103; PERSON
11; Camacho; 106; 113; GPE
11; Rivera; 118; 124; GPE
12; Feb 15; 3; 9; DATE
12; Reese; 12; 17; PERSON
12; Miller; 20; 26; PERSON
12; Camacho; 87; 94; GPE
12; Rivera; 99; 105; GPE
12; Grosshans; 156; 165; ORG
16; Reese; 64; 69; ORG
17; Grosshans; 13; 22; NORP
17; Camacho; 155; 162; GPE
17; Rivera; 167; 173; GPE
18; 5; 9; 10; CARDINAL
18; 3; 25; 26; CARDINAL
18; 2; 34; 35; CARDINAL
18; Brighton Park; 51; 64; GPE
18; — Charlie De Mar; 97; 113; FAC
18; February 15 , 2017 NEWLINE; 132; 158; DATE
19; Miller; 95; 101; ORG
20; Reese; 27; 32; ORG
20; Dunkin; 59; 65; PERSON
20; Donuts; 68; 74; PERSON
20; Grosshans; 164; 173; PERSON
21; 911; 20; 23; CARDINAL
21; Reese; 26; 31; PERSON
22; Tuesday; 9; 16; DATE
22; Reese; 19; 24; ORG
22; nine days; 39; 48; DATE
23; Miller; 21; 27; PERSON
24; Camacho; 0; 7; GPE
24; Rivera; 12; 18; GPE
25; Grosshans; 13; 22; NORP
25; 9mm; 51; 54; QUANTITY
25; Reese; 93; 98; PERSON
26; five; 28; 32; CARDINAL
26; 9mm; 33; 36; QUANTITY
26; one; 55; 58; CARDINAL
27; Reese; 120; 125; ORG
28; Reese; 0; 5; ORG
28; 900; 15; 18; CARDINAL
28; West 68th Street; 28; 44; LOC
29; Defense; 0; 7; ORG
29; Mitchell Kreiter; 17; 33; PERSON
29; Tuesday; 43; 50; DATE
29; Cook County; 101; 112; GPE
29; Peggy Chiampas; 119; 133; PERSON
30; Miller; 0; 6; ORG
30; Reese; 11; 16; ORG
30; Kreiter; 38; 45; ORG
31; Miller; 0; 6; ORG
31; 15; 27; 29; CARDINAL
31; Chiampas; 64; 72; PERSON
31; Reese; 82; 87; PERSON
32; Kreiter; 0; 7; ORG
33; Kreiter; 40; 47; ORG
35; Chiampas; 100; 108; ORG
37; 15; 40; 42; CARDINAL
37; Chiampas; 53; 61; PERSON
37; Reese; 67; 72; PERSON
37; one; 82; 85; CARDINAL
38; Chiampas; 0; 8; PERSON
38; Reese; 16; 21; PERSON
38; three; 50; 55; CARDINAL
38; one; 79; 82; CARDINAL
